"original","redirected"
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/attempt_04/evidence/S7_exact_rows.csv","/private/tmp/writer012-independent.cieJLM/word_R/S7_exact_rows.csv"
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/attempt_04/evidence/removed_paragraph_strings.csv","/private/tmp/writer012-independent.cieJLM/word_R/removed_paragraph_strings.csv"
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/attempt_04/evidence/added_paragraph_strings.csv","/private/tmp/writer012-independent.cieJLM/word_R/added_paragraph_strings.csv"
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/attempt_04/evidence/word_pre_render_checks.csv","/private/tmp/writer012-independent.cieJLM/word_R/word_pre_render_checks.csv"
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/attempt_04/evidence/verification_session.txt","/private/tmp/writer012-independent.cieJLM/word_R/verification_session.txt"
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/html_candidate_round2/structural_content_checks.csv","/private/tmp/writer012-independent.cieJLM/html_R/structural_content_checks.csv"
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/html_candidate_round2/verification_session.txt","/private/tmp/writer012-independent.cieJLM/html_R/verification_session.txt"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/C271_final_rehash.csv","/private/tmp/writer012-independent.cieJLM/preservation_R/C271_final_rehash.csv"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/N145_final_rehash.csv","/private/tmp/writer012-independent.cieJLM/preservation_R/N145_final_rehash.csv"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/static_dispatch50_final_rehash.csv","/private/tmp/writer012-independent.cieJLM/preservation_R/static_dispatch50_final_rehash.csv"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/unchanged_dispatch49_final_rehash.csv","/private/tmp/writer012-independent.cieJLM/preservation_R/unchanged_dispatch49_final_rehash.csv"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/authorized_external_transition8_rehash.csv","/private/tmp/writer012-independent.cieJLM/preservation_R/authorized_external_transition8_rehash.csv"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/authorized_external_transition.csv","/private/tmp/writer012-independent.cieJLM/preservation_R/authorized_external_transition.csv"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/accepted_svg23_final_rehash.csv","/private/tmp/writer012-independent.cieJLM/preservation_R/accepted_svg23_final_rehash.csv"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/final_native19_rehash.csv","/private/tmp/writer012-independent.cieJLM/preservation_R/final_native19_rehash.csv"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/final_preservation_session.txt","/private/tmp/writer012-independent.cieJLM/preservation_R/final_preservation_session.txt"
