"component","basis","charged_seconds"
"previous_sealed_accounting","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/decisions/brown_main_linkage_b_report_finishing_006/audit_compute_accounting.csv",864.602081084951
"methods006_headings_execution_001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/decisions/brown_main_linkage_b_technical_completion_2026_09_13/independent_evidence/methods006_headings_execution_001/finish.json",0.221917124988977
"methods006_cells_execution_001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/decisions/brown_main_linkage_b_technical_completion_2026_09_13/independent_evidence/methods006_cells_execution_001/finish.json",0.386473416991066
"methods006_inline_execution_001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/decisions/brown_main_linkage_b_technical_completion_2026_09_13/independent_evidence/methods006_inline_execution_001/finish.json",0.277240124996752
"methods006_structure_execution_001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/decisions/brown_main_linkage_b_technical_completion_2026_09_13/independent_evidence/methods006_structure_execution_001/finish.json",0.276565290987492
"methods006_mermaid_execution_001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/decisions/brown_main_linkage_b_technical_completion_2026_09_13/independent_evidence/methods006_mermaid_execution_001/finish.json",0.222824957978446
"methods006_ledger_execution_001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/decisions/brown_main_linkage_b_technical_completion_2026_09_13/independent_evidence/methods006_ledger_execution_001/finish.json",0.236777333018836
"methods006_formulas_execution_001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/decisions/brown_main_linkage_b_technical_completion_2026_09_13/independent_evidence/methods006_formulas_execution_001/finish.json",0.182823958981317
"finishing006_preservation_execution_001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/decisions/brown_main_linkage_b_technical_completion_2026_09_13/independent_evidence/finishing006_preservation_execution_001/finish.json",3.73356575000798
"finishing006_package_execution_001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/decisions/brown_main_linkage_b_technical_completion_2026_09_13/independent_evidence/finishing006_package_execution_001/finish.json",0.402551582956221
