"relative_path","sha256","bytes"
"06_derive_primary_estimands_v2.R","729ce699c57d9ab91cc16668c074742cc4929035102a079866390291964037ba",14641
"changed_ast_nodes.csv","8187530af5a61268e0292452b6e412a87a445102840032e3042ff0b2576f9e52",66
"exact_substitutions.csv","46f4296c5bbc0ca9e2c7e876af86eaee757585ddca52b27dba683623ba0f77cb",351
"independent_checks.csv","05484dd012931b5fd73746118c7fc2f09ff43d7df1834dfe994ee8b28df3c51d",1626
"protected_independent_verification.csv","f030c7c5312579ba8a997aba6798b7ddf646229f940c1885d74590be545a9bd5",734788
"reconstructed_failed_driver.R","dc88dfca95189435dcf456069d4d69857ecba5c5d2b35abba188c1fca7fc1ea0",14586
"reconstructed_original_supervisor.py","8e24c1f43f9586f6f4d491ffda7fceed0875184fd86504de7e12671eb3b5ff3b",4150
"review_and_prepare.R","b697f699115335ca3d2707caf7cf1340bfe7084069f779adff23e7485cfee96b",15028
"review_pins.csv","202a592d834143d45810b5299436ab0e290537d69110665b31a49e9455cda139",1117
"run_bounded_job_v2.py","1d108833c89ac2815b01075db8d43a1f527c4fabdd09968c4f89a77efe4f1698",6103
"scope_and_session.txt","4a6fd3e1d8f6b689dad4f1a514ab88959b988bdfd1a405001dc4317a7af0ba32",1151
"stopped_133_verification.csv","1be8b830831f0daca427748e88bdf7d044daf1386bd7e120e2be42757a2887eb",42220
"supervisor_additional_failure_DERIVE-PRIMARY-ESTIMANDS-V2.log","3b85c463f0f28f9735d4011138ec431329310cb2cf91650ead75bdf3c011bea1",81
"supervisor_additional_failure/code/06_derive_primary_estimands_v2.R","729ce699c57d9ab91cc16668c074742cc4929035102a079866390291964037ba",14641
"supervisor_additional_failure/code/run_bounded_job_v2.py","1d108833c89ac2815b01075db8d43a1f527c4fabdd09968c4f89a77efe4f1698",6103
"supervisor_additional_failure/preflight/execution_jobs/AUDIT-DERIVATIVE-STOP/execution.log","304d424ab92eae4481435776b0f4a15f47182523e57f969337fb0874ccaa803e",503
"supervisor_additional_failure/preflight/execution_jobs/AUDIT-DERIVATIVE-STOP/finish.json","0d13d08d37c351cc5e68f9e7e3176c0f0182f82c80ce11c96e8aeb2e3205b6fb",1416
"supervisor_additional_failure/preflight/execution_jobs/AUDIT-DERIVATIVE-STOP/start.json","5adc80a0efaec63bbfb5b612025d0ce9b963354eaebaaa83b51434d6c1e0aa7c",1218
"supervisor_additional_failure/preflight/execution_jobs/DERIVE-PRIMARY-ESTIMANDS/execution.log","40cc1c6cc6d2e7acdacc39d9745a2a0105bf78837f93eb975e2348e3abd32f3c",1555
