"target","action","backup_exact","installed_or_retired_exact","staging_absent"
"_build/nathealth/audit/H01/02_implementation_and_v0_comparison.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation 2.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H03-H11_gated_workflow.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/implementation_result_comparison_contract.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/index.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/descriptives 2.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/descriptives.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H01 2.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H01 3.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H01.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H02.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H03.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H04.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H05.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H06.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H06_daily.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H07.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H08.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H09.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H10.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H11.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/placement_decision.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/01_import_state_alignment.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/03_reference_profiles.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/04_metric_derivation.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/05_model_input_acquisition.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/06_model_ready_datasets.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/07_example_days.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preregistration_deviations.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/search.json","replace",TRUE,TRUE,TRUE
"_build/nathealth/sitemap.xml","replace",TRUE,TRUE,TRUE
"_build/nathealth/supplementary_information.html","replace",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery.html","retire",TRUE,TRUE,TRUE
"_build/nathealth/manuscript_changes.csv","retire",TRUE,TRUE,TRUE
"_build/nathealth/manuscript_changes.md","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-81c0645bc19072abdb8a90de0bee1110.min.css","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-icons.css","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-icons.woff","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap.min.js","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/clipboard/clipboard.min.js","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/anchor.min.js","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/popper.min.js","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/quarto.js","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tabsets/tabsets.js","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tippy.css","retire",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tippy.umd.min.js","retire",TRUE,TRUE,TRUE
"_quarto-nathealth.yml","replace",TRUE,TRUE,TRUE
"audit/report_harmonization/phase4_corpus_manifest.csv","replace",TRUE,TRUE,TRUE
