Comparison,Predictor,Reference,Alternative,Classification
Quasi-Poisson vs p = 1.8,Free day versus work day,1.45 × (1.14–1.85),1.15 × (0.91–1.45),Multiplicity-Conclusion-Sensitive
Quasi-Poisson vs p = 1.8,Active versus sedentary,2.06 × (1.54–2.76),1.91 × (1.49–2.45),Stable Within Model Uncertainty
Quasi-Poisson vs p = 1.8,Previous sleep duration (per hour),0.98 × (0.85–1.12),0.95 × (0.88–1.04),Stable Within Model Uncertainty
HC3 vs HC1,Free day versus work day,1.45 × (1.14–1.85),1.45 × (1.14–1.84),Stable Within Model Uncertainty
HC3 vs HC1,Active versus sedentary,2.06 × (1.54–2.76),2.06 × (1.55–2.74),Stable Within Model Uncertainty
HC3 vs HC1,Previous sleep duration (per hour),0.98 × (0.85–1.12),0.98 × (0.86–1.11),Stable Within Model Uncertainty
HC3 vs HC2,Free day versus work day,1.45 × (1.14–1.85),1.45 × (1.14–1.84),Stable Within Model Uncertainty
HC3 vs HC2,Active versus sedentary,2.06 × (1.54–2.76),2.06 × (1.55–2.75),Stable Within Model Uncertainty
HC3 vs HC2,Previous sleep duration (per hour),0.98 × (0.85–1.12),0.98 × (0.86–1.11),Stable Within Model Uncertainty
Site-average weighting compared with observed-site weighting,Free day versus work day,1.45 × (1.14–1.85),1.45 × (1.14–1.85),Stable Within Model Uncertainty
Site-average weighting compared with observed-site weighting,Active versus sedentary,2.06 × (1.54–2.76),2.06 × (1.54–2.76),Stable Within Model Uncertainty
Site-average weighting compared with observed-site weighting,Previous sleep duration (per hour),0.98 × (0.85–1.12),0.98 × (0.85–1.12),Stable Within Model Uncertainty
