placement,data_scenario_id,model_implementation_id,scenario,metric_order,metric_id,analysis_unit,model_question,exclusion_reason,rows
glasses,main,hypothesis_models,all_available,7,duration_above_250_wake,participant_day,latitude_and_photoperiod,metric_not_estimable:incomplete_state_domain,38
glasses,main,hypothesis_models,all_available,7,duration_above_250_wake,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_state_support,41
glasses,main,hypothesis_models,all_available,7,duration_above_250_wake,participant_day,site_and_photoperiod,metric_not_estimable:incomplete_state_domain,38
glasses,main,hypothesis_models,all_available,7,duration_above_250_wake,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_state_support,41
glasses,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,latitude_and_photoperiod,metric_not_estimable:incomplete_state_domain,38
glasses,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_state_support,109
glasses,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,latitude_and_photoperiod,metric_not_estimable:no_state_window,14
glasses,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,site_and_photoperiod,metric_not_estimable:incomplete_state_domain,38
glasses,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_state_support,109
glasses,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,site_and_photoperiod,metric_not_estimable:no_state_window,14
glasses,main,hypothesis_models,all_available,9,duration_below_1_sleep_environment,participant_day,latitude_and_photoperiod,metric_not_estimable:incomplete_state_domain,38
glasses,main,hypothesis_models,all_available,9,duration_below_1_sleep_environment,participant_day,site_and_photoperiod,metric_not_estimable:incomplete_state_domain,38
glasses,main,hypothesis_models,all_available,13,mean_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_relevance_support,43
glasses,main,hypothesis_models,all_available,13,mean_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:no_threshold_event,31
glasses,main,hypothesis_models,all_available,13,mean_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_relevance_support,43
glasses,main,hypothesis_models,all_available,13,mean_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:no_threshold_event,31
glasses,main,hypothesis_models,all_available,14,first_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_relevance_support,58
glasses,main,hypothesis_models,all_available,14,first_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:no_threshold_event,31
glasses,main,hypothesis_models,all_available,14,first_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_relevance_support,58
glasses,main,hypothesis_models,all_available,14,first_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:no_threshold_event,31
glasses,main,hypothesis_models,all_available,15,last_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_relevance_support,98
glasses,main,hypothesis_models,all_available,15,last_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:no_threshold_event,31
glasses,main,hypothesis_models,all_available,15,last_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_relevance_support,98
glasses,main,hypothesis_models,all_available,15,last_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:no_threshold_event,31
glasses,main,hypothesis_models,all_available,16,dose_time_sensitive_corrected_medi,participant_day,latitude_and_photoperiod,metric_not_estimable:low_relevance_coverage,55
glasses,main,hypothesis_models,all_available,16,dose_time_sensitive_corrected_medi,participant_day,site_and_photoperiod,metric_not_estimable:low_relevance_coverage,55
glasses,main,hypothesis_models,all_available,17,mder_mean_of_viable_ratios,participant_day,latitude_and_photoperiod,metric_not_estimable:below_viable_ratio_fraction,114
glasses,main,hypothesis_models,all_available,17,mder_mean_of_viable_ratios,participant_day,site_and_photoperiod,metric_not_estimable:below_viable_ratio_fraction,114
chest,main,hypothesis_models,all_available,1,interdaily_stability,participant,latitude_and_photoperiod,metric_not_estimable:insufficient_days,1
chest,main,hypothesis_models,all_available,1,interdaily_stability,participant,site_and_photoperiod,metric_not_estimable:insufficient_days,1
chest,main,hypothesis_models,all_available,2,intradaily_variability,participant,latitude_and_photoperiod,metric_not_estimable:insufficient_days,1
chest,main,hypothesis_models,all_available,2,intradaily_variability,participant,site_and_photoperiod,metric_not_estimable:insufficient_days,1
chest,main,hypothesis_models,all_available,7,duration_above_250_wake,participant_day,latitude_and_photoperiod,metric_not_estimable:incomplete_state_domain,41
chest,main,hypothesis_models,all_available,7,duration_above_250_wake,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_state_support,43
chest,main,hypothesis_models,all_available,7,duration_above_250_wake,participant_day,site_and_photoperiod,metric_not_estimable:incomplete_state_domain,41
chest,main,hypothesis_models,all_available,7,duration_above_250_wake,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_state_support,43
chest,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,latitude_and_photoperiod,metric_not_estimable:incomplete_state_domain,41
chest,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_state_support,105
chest,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,latitude_and_photoperiod,metric_not_estimable:no_state_window,13
chest,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,site_and_photoperiod,metric_not_estimable:incomplete_state_domain,41
chest,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_state_support,105
chest,main,hypothesis_models,all_available,8,duration_below_10_pre_sleep,participant_day,site_and_photoperiod,metric_not_estimable:no_state_window,13
chest,main,hypothesis_models,all_available,9,duration_below_1_sleep_environment,participant_day,latitude_and_photoperiod,metric_not_estimable:incomplete_state_domain,41
chest,main,hypothesis_models,all_available,9,duration_below_1_sleep_environment,participant_day,site_and_photoperiod,metric_not_estimable:incomplete_state_domain,41
chest,main,hypothesis_models,all_available,13,mean_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_relevance_support,44
chest,main,hypothesis_models,all_available,13,mean_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:no_threshold_event,27
chest,main,hypothesis_models,all_available,13,mean_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_relevance_support,44
chest,main,hypothesis_models,all_available,13,mean_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:no_threshold_event,27
chest,main,hypothesis_models,all_available,14,first_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_relevance_support,73
chest,main,hypothesis_models,all_available,14,first_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:no_threshold_event,27
chest,main,hypothesis_models,all_available,14,first_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_relevance_support,73
chest,main,hypothesis_models,all_available,14,first_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:no_threshold_event,27
chest,main,hypothesis_models,all_available,15,last_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_relevance_support,88
chest,main,hypothesis_models,all_available,15,last_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:no_threshold_event,27
chest,main,hypothesis_models,all_available,15,last_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_relevance_support,88
chest,main,hypothesis_models,all_available,15,last_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:no_threshold_event,27
chest,main,hypothesis_models,all_available,16,dose_time_sensitive_corrected_medi,participant_day,latitude_and_photoperiod,metric_not_estimable:low_relevance_coverage,51
chest,main,hypothesis_models,all_available,16,dose_time_sensitive_corrected_medi,participant_day,site_and_photoperiod,metric_not_estimable:low_relevance_coverage,51
chest,main,hypothesis_models,all_available,17,mder_mean_of_viable_ratios,participant_day,latitude_and_photoperiod,metric_not_estimable:below_viable_ratio_fraction,170
chest,main,hypothesis_models,all_available,17,mder_mean_of_viable_ratios,participant_day,site_and_photoperiod,metric_not_estimable:below_viable_ratio_fraction,170
glasses,main,hypothesis_models,paired_common_sample,1,interdaily_stability,participant,latitude_and_photoperiod,paired_common_sample_participant_metric_requires_minute_level_is_iv_recomputation,
glasses,main,hypothesis_models,paired_common_sample,1,interdaily_stability,participant,site_and_photoperiod,paired_common_sample_participant_metric_requires_minute_level_is_iv_recomputation,
glasses,main,hypothesis_models,paired_common_sample,2,intradaily_variability,participant,latitude_and_photoperiod,paired_common_sample_participant_metric_requires_minute_level_is_iv_recomputation,
glasses,main,hypothesis_models,paired_common_sample,2,intradaily_variability,participant,site_and_photoperiod,paired_common_sample_participant_metric_requires_minute_level_is_iv_recomputation,
glasses,main,hypothesis_models,paired_common_sample,7,duration_above_250_wake,participant_day,latitude_and_photoperiod,metric_not_estimable:incomplete_state_domain,35
glasses,main,hypothesis_models,paired_common_sample,7,duration_above_250_wake,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_state_support,30
glasses,main,hypothesis_models,paired_common_sample,7,duration_above_250_wake,participant_day,site_and_photoperiod,metric_not_estimable:incomplete_state_domain,35
glasses,main,hypothesis_models,paired_common_sample,7,duration_above_250_wake,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_state_support,30
glasses,main,hypothesis_models,paired_common_sample,8,duration_below_10_pre_sleep,participant_day,latitude_and_photoperiod,metric_not_estimable:incomplete_state_domain,35
glasses,main,hypothesis_models,paired_common_sample,8,duration_below_10_pre_sleep,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_state_support,93
glasses,main,hypothesis_models,paired_common_sample,8,duration_below_10_pre_sleep,participant_day,latitude_and_photoperiod,metric_not_estimable:no_state_window,10
glasses,main,hypothesis_models,paired_common_sample,8,duration_below_10_pre_sleep,participant_day,site_and_photoperiod,metric_not_estimable:incomplete_state_domain,35
glasses,main,hypothesis_models,paired_common_sample,8,duration_below_10_pre_sleep,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_state_support,93
glasses,main,hypothesis_models,paired_common_sample,8,duration_below_10_pre_sleep,participant_day,site_and_photoperiod,metric_not_estimable:no_state_window,10
glasses,main,hypothesis_models,paired_common_sample,9,duration_below_1_sleep_environment,participant_day,latitude_and_photoperiod,metric_not_estimable:incomplete_state_domain,35
glasses,main,hypothesis_models,paired_common_sample,9,duration_below_1_sleep_environment,participant_day,site_and_photoperiod,metric_not_estimable:incomplete_state_domain,35
glasses,main,hypothesis_models,paired_common_sample,13,mean_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_relevance_support,34
glasses,main,hypothesis_models,paired_common_sample,13,mean_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:no_threshold_event,22
glasses,main,hypothesis_models,paired_common_sample,13,mean_timing_above_250,participant_day,latitude_and_photoperiod,paired_other_placement:metric_not_estimable:insufficient_relevance_support,2
glasses,main,hypothesis_models,paired_common_sample,13,mean_timing_above_250,participant_day,latitude_and_photoperiod,paired_other_placement:metric_not_estimable:no_threshold_event,12
glasses,main,hypothesis_models,paired_common_sample,13,mean_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_relevance_support,34
glasses,main,hypothesis_models,paired_common_sample,13,mean_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:no_threshold_event,22
glasses,main,hypothesis_models,paired_common_sample,13,mean_timing_above_250,participant_day,site_and_photoperiod,paired_other_placement:metric_not_estimable:insufficient_relevance_support,2
glasses,main,hypothesis_models,paired_common_sample,13,mean_timing_above_250,participant_day,site_and_photoperiod,paired_other_placement:metric_not_estimable:no_threshold_event,12
glasses,main,hypothesis_models,paired_common_sample,14,first_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_relevance_support,43
glasses,main,hypothesis_models,paired_common_sample,14,first_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:no_threshold_event,22
glasses,main,hypothesis_models,paired_common_sample,14,first_timing_above_250,participant_day,latitude_and_photoperiod,paired_other_placement:metric_not_estimable:insufficient_relevance_support,3
glasses,main,hypothesis_models,paired_common_sample,14,first_timing_above_250,participant_day,latitude_and_photoperiod,paired_other_placement:metric_not_estimable:no_threshold_event,12
glasses,main,hypothesis_models,paired_common_sample,14,first_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_relevance_support,43
glasses,main,hypothesis_models,paired_common_sample,14,first_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:no_threshold_event,22
glasses,main,hypothesis_models,paired_common_sample,14,first_timing_above_250,participant_day,site_and_photoperiod,paired_other_placement:metric_not_estimable:insufficient_relevance_support,3
glasses,main,hypothesis_models,paired_common_sample,14,first_timing_above_250,participant_day,site_and_photoperiod,paired_other_placement:metric_not_estimable:no_threshold_event,12
glasses,main,hypothesis_models,paired_common_sample,15,last_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:insufficient_relevance_support,67
glasses,main,hypothesis_models,paired_common_sample,15,last_timing_above_250,participant_day,latitude_and_photoperiod,metric_not_estimable:no_threshold_event,22
glasses,main,hypothesis_models,paired_common_sample,15,last_timing_above_250,participant_day,latitude_and_photoperiod,paired_other_placement:metric_not_estimable:insufficient_relevance_support,19
glasses,main,hypothesis_models,paired_common_sample,15,last_timing_above_250,participant_day,latitude_and_photoperiod,paired_other_placement:metric_not_estimable:no_threshold_event,11
glasses,main,hypothesis_models,paired_common_sample,15,last_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:insufficient_relevance_support,67
glasses,main,hypothesis_models,paired_common_sample,15,last_timing_above_250,participant_day,site_and_photoperiod,metric_not_estimable:no_threshold_event,22
glasses,main,hypothesis_models,paired_common_sample,15,last_timing_above_250,participant_day,site_and_photoperiod,paired_other_placement:metric_not_estimable:insufficient_relevance_support,19
glasses,main,hypothesis_models,paired_common_sample,15,last_timing_above_250,participant_day,site_and_photoperiod,paired_other_placement:metric_not_estimable:no_threshold_event,11
glasses,main,hypothesis_models,paired_common_sample,16,dose_time_sensitive_corrected_medi,participant_day,latitude_and_photoperiod,metric_not_estimable:low_relevance_coverage,42
glasses,main,hypothesis_models,paired_common_sample,16,dose_time_sensitive_corrected_medi,participant_day,latitude_and_photoperiod,paired_other_placement:metric_not_estimable:low_relevance_coverage,3
glasses,main,hypothesis_models,paired_common_sample,16,dose_time_sensitive_corrected_medi,participant_day,site_and_photoperiod,metric_not_estimable:low_relevance_coverage,42
glasses,main,hypothesis_models,paired_common_sample,16,dose_time_sensitive_corrected_medi,participant_day,site_and_photoperiod,paired_other_placement:metric_not_estimable:low_relevance_coverage,3
glasses,main,hypothesis_models,paired_common_sample,17,mder_mean_of_viable_ratios,participant_day,latitude_and_photoperiod,metric_not_estimable:below_viable_ratio_fraction,105
glasses,main,hypothesis_models,paired_common_sample,17,mder_mean_of_viable_ratios,participant_day,latitude_and_photoperiod,paired_other_placement:metric_not_estimable:below_viable_ratio_fraction,49
glasses,main,hypothesis_models,paired_common_sample,17,mder_mean_of_viable_ratios,participant_day,site_and_photoperiod,metric_not_estimable:below_viable_ratio_fraction,105
glasses,main,hypothesis_models,paired_common_sample,17,mder_mean_of_viable_ratios,participant_day,site_and_photoperiod,paired_other_placement:metric_not_estimable:below_viable_ratio_fraction,49
chest,main,hypothesis_models,paired_common_sample,1,interdaily_stability,participant,latitude_and_photoperiod,paired_common_sample_participant_metric_requires_minute_level_is_iv_recomputation,
