center_group,data_scenario_id,model_implementation_id,scenario,placement_scope,metric_id,photoperiod_center_hours,photoperiod_center_rows,absolute_latitude_center_10deg,latitude_center_sites,latitude_center_weighting
main::hypothesis_models::all_available::glasses::interdaily_stability,main,hypothesis_models,all_available,glasses,interdaily_stability,13.838134604250799,141,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::intradaily_variability,main,hypothesis_models,all_available,glasses,intradaily_variability,13.838134604250799,141,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::daily_geometric_mean_medi,main,hypothesis_models,all_available,glasses,daily_geometric_mean_medi,13.871783966858645,816,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::m10_mean_medi,main,hypothesis_models,all_available,glasses,m10_mean_medi,13.871783966858645,816,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::l10_mean_medi,main,hypothesis_models,all_available,glasses,l10_mean_medi,13.871783966858645,816,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::duration_above_1000,main,hypothesis_models,all_available,glasses,duration_above_1000,13.871783966858645,816,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::duration_above_250_wake,main,hypothesis_models,all_available,glasses,duration_above_250_wake,13.896720983342549,737,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::duration_below_10_pre_sleep,main,hypothesis_models,all_available,glasses,duration_below_10_pre_sleep,13.879388676343478,655,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::duration_below_1_sleep_environment,main,hypothesis_models,all_available,glasses,duration_below_1_sleep_environment,13.887728411401811,778,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::longest_bout_above_250,main,hypothesis_models,all_available,glasses,longest_bout_above_250,13.871783966858645,816,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::m10_midpoint,main,hypothesis_models,all_available,glasses,m10_midpoint,13.871783966858645,816,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::l10_midpoint,main,hypothesis_models,all_available,glasses,l10_midpoint,13.871783966858645,816,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::mean_timing_above_250,main,hypothesis_models,all_available,glasses,mean_timing_above_250,13.880086766162758,742,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::first_timing_above_250,main,hypothesis_models,all_available,glasses,first_timing_above_250,13.955988007294337,727,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::last_timing_above_250,main,hypothesis_models,all_available,glasses,last_timing_above_250,13.945126300273387,687,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::dose_time_sensitive_corrected_medi,main,hypothesis_models,all_available,glasses,dose_time_sensitive_corrected_medi,13.831421374307181,761,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::glasses::mder_mean_of_viable_ratios,main,hypothesis_models,all_available,glasses,mder_mean_of_viable_ratios,14.055846498091128,702,3.9247676269804193,9,equal_across_observed_sites
main::hypothesis_models::all_available::chest::interdaily_stability,main,hypothesis_models,all_available,chest,interdaily_stability,13.861407121621708,153,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::intradaily_variability,main,hypothesis_models,all_available,chest,intradaily_variability,13.861407121621708,153,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::daily_geometric_mean_medi,main,hypothesis_models,all_available,chest,daily_geometric_mean_medi,13.888324994918056,902,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::m10_mean_medi,main,hypothesis_models,all_available,chest,m10_mean_medi,13.888324994918056,902,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::l10_mean_medi,main,hypothesis_models,all_available,chest,l10_mean_medi,13.888324994918056,902,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::duration_above_1000,main,hypothesis_models,all_available,chest,duration_above_1000,13.888324994918056,902,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::duration_above_250_wake,main,hypothesis_models,all_available,chest,duration_above_250_wake,13.898007319623266,818,3.8088435803529714,8,equal_across_observed_sites
