check,expected,observed,status
Historical manifest rows,15,15,PASS
Historical live-exact rows,8,8,PASS
Historical transition rows,7 exact paths,7 exact paths,PASS
Self-referential test transition,resolved from one worker row,resolved from one worker row,PASS
Test hard-coded post hash,absent,absent,PASS
Worker row changes,1,1,PASS
Worker live-exact rows,1638 plus six accepted older pins,1638 plus six accepted older pins,PASS
REPORT-016 files,7 byte-identical,7 byte-identical,PASS
Dynamic links,40 occurrences / 36 anchors,40 occurrences / 36 anchors,PASS
Complete REPORT-016 test,PASS,PASS,PASS
Focused display-refresh test,PASS,PASS,PASS
Complete reporting test,PASS,PASS,PASS
Render,not run,not run,PASS
