site,Id,position,source_modality,source_commit,source_doi,source_sha256,stream_epoch_seconds,expected_subepochs_per_minute,required_finite_subepochs_per_signal,minute_rows,source_observations,implicit_source_observations,complete_native_minute_schedules,incomplete_native_minute_schedules,finite_medi_minutes,finite_light_minutes
BAUA,BAUA_S001,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,8460,11520,0,10110,10110
BAUA,BAUA_S002,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,8460,11520,0,10110,10110
BAUA,BAUA_S003,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,9000,11520,0,10020,10020
BAUA,BAUA_S004,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,9000,11520,0,10020,10020
BAUA,BAUA_S005,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,11160,11520,0,9660,9660
BAUA,BAUA_S006,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,9148,11520,0,9995,9995
BAUA,BAUA_S007,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,4860,11520,0,10710,10710
BAUA,BAUA_S008,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,1440,8640,5501,1440,0,522,522
BAUA,BAUA_S009,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,9091,11520,0,10004,10004
BAUA,BAUA_S011,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,8999,11520,0,10020,10020
BAUA,BAUA_S012,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,9019,11520,0,10016,10016
BAUA,BAUA_S013,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,9122,11520,0,9999,9999
BAUA,BAUA_S014,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,10259,11520,0,9810,9810
BAUA,BAUA_S015,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,7020,11520,0,10350,10350
BAUA,BAUA_S016,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,9372,11520,0,9958,9958
BAUA,BAUA_S018,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,9000,11520,0,10020,10020
BAUA,BAUA_S022,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,9540,11520,0,9930,9930
BAUA,BAUA_S024,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,10646,11520,0,9745,9745
BAUA,BAUA_S025,glasses,light_glasses,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,10,6,6,11520,69120,9180,11520,0,9990,9990
BAUA,BAUA_S001,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,8460,11520,0,10109,10109
BAUA,BAUA_S002,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,8460,11520,0,10109,10109
BAUA,BAUA_S003,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9000,11520,0,10019,10019
BAUA,BAUA_S004,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9000,11520,0,10019,10019
BAUA,BAUA_S005,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,11160,11520,0,9659,9659
BAUA,BAUA_S006,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,12412,11520,0,9450,9450
BAUA,BAUA_S007,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,1440,8640,5345,1440,0,548,548
BAUA,BAUA_S008,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,5965,11520,0,10525,10525
BAUA,BAUA_S009,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9094,11520,0,10004,10004
BAUA,BAUA_S010,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9034,11520,0,10014,10014
BAUA,BAUA_S011,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,2880,17280,13888,2880,0,565,565
BAUA,BAUA_S012,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9046,11520,0,10012,10012
BAUA,BAUA_S013,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9109,11520,0,10001,10001
BAUA,BAUA_S014,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,10260,11520,0,9810,9810
BAUA,BAUA_S015,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,7020,11520,0,10349,10349
BAUA,BAUA_S016,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9398,11520,0,9953,9953
BAUA,BAUA_S017,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9025,11520,0,10015,10015
BAUA,BAUA_S018,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,8999,11520,0,10020,10020
BAUA,BAUA_S022,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9540,11520,0,9930,9930
BAUA,BAUA_S023,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9540,11520,0,9930,9930
BAUA,BAUA_S024,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,10676,11520,0,9740,9740
BAUA,BAUA_S025,chest,light_chest,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,10,6,6,11520,69120,9180,11520,0,9989,9989
FUSPCEU,FUSPCEU_S003,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,9576,11520,0,9924,9924
FUSPCEU,FUSPCEU_S004,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,9330,11520,0,9965,9965
FUSPCEU,FUSPCEU_S005,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,9041,11520,0,10013,10013
FUSPCEU,FUSPCEU_S006,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,8871,11520,0,10041,10041
FUSPCEU,FUSPCEU_S007,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11580,69480,6766,11580,0,10452,10452
FUSPCEU,FUSPCEU_S008,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11580,69480,6548,11580,0,10488,10488
FUSPCEU,FUSPCEU_S009,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,12960,77760,12912,12960,0,10808,10808
FUSPCEU,FUSPCEU_S010,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,8640,51840,11550,8640,0,6715,6715
FUSPCEU,FUSPCEU_S011,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,8940,11520,0,10030,10030
FUSPCEU,FUSPCEU_S012,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,8056,11520,0,10177,10177
FUSPCEU,FUSPCEU_S013,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,9096,11520,0,10004,10004
FUSPCEU,FUSPCEU_S014,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,60,1,1,10080,10080,1364,10080,0,8716,8716
FUSPCEU,FUSPCEU_S015,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,9348,11520,0,9962,9962
FUSPCEU,FUSPCEU_S016,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,8874,11520,0,10041,10041
FUSPCEU,FUSPCEU_S017,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,8856,11520,0,10044,10044
FUSPCEU,FUSPCEU_S018,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,9324,11520,0,9966,9966
FUSPCEU,FUSPCEU_S019,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,8700,11520,0,10070,10070
FUSPCEU,FUSPCEU_S020,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,7680,11520,0,10240,10240
FUSPCEU,FUSPCEU_S021,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,9301,11520,0,9969,9969
FUSPCEU,FUSPCEU_S022,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,8946,11520,0,10029,10029
FUSPCEU,FUSPCEU_S023,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,10052,11520,0,9844,9844
FUSPCEU,FUSPCEU_S024,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,8712,11520,0,10068,10068
FUSPCEU,FUSPCEU_S025,glasses,light_glasses,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,10,6,6,11520,69120,8676,11520,0,10074,10074
FUSPCEU,FUSPCEU_S003,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,9576,11520,0,9924,9924
FUSPCEU,FUSPCEU_S004,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,9413,11520,0,9951,9951
FUSPCEU,FUSPCEU_S005,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,9084,11520,0,10006,10006
FUSPCEU,FUSPCEU_S006,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,8868,11520,0,10042,10042
FUSPCEU,FUSPCEU_S007,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11580,69480,7205,11580,0,10379,10379
FUSPCEU,FUSPCEU_S008,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11580,69480,6593,11580,0,10481,10481
FUSPCEU,FUSPCEU_S009,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,12960,77760,12912,12960,0,10808,10808
FUSPCEU,FUSPCEU_S010,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,8640,51840,11551,8640,0,6714,6714
FUSPCEU,FUSPCEU_S011,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,8940,11520,0,10029,10029
FUSPCEU,FUSPCEU_S012,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,8052,11520,0,10178,10178
FUSPCEU,FUSPCEU_S013,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,9096,11520,0,10004,10004
FUSPCEU,FUSPCEU_S014,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,10080,60480,8184,10080,0,8716,8716
FUSPCEU,FUSPCEU_S015,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,9348,11520,0,9962,9962
FUSPCEU,FUSPCEU_S016,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,9002,11520,0,10019,10019
FUSPCEU,FUSPCEU_S017,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,8855,11520,0,10044,10044
FUSPCEU,FUSPCEU_S018,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,9329,11520,0,9965,9965
FUSPCEU,FUSPCEU_S019,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,8699,11520,0,10070,10070
FUSPCEU,FUSPCEU_S020,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,7681,11520,0,10239,10239
FUSPCEU,FUSPCEU_S022,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,8991,11520,0,10021,10021
FUSPCEU,FUSPCEU_S023,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,10123,11520,0,9832,9832
FUSPCEU,FUSPCEU_S024,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,8715,11520,0,10067,10067
FUSPCEU,FUSPCEU_S025,chest,light_chest,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,10,6,6,11520,69120,8728,11520,0,10065,10065
IZTECH,IZTECH_S001,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,12960,77760,9792,12960,0,11327,11327
IZTECH,IZTECH_S002,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,8760,11520,0,10060,10060
