"check","status","detail"
"matrix","PASS","c8990a95151ebfd5deb0a1abca3a69ad2c4a1720f30537de13deebab2386b6ac"
"result_qmd","PASS","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867"
"result_html_stale","PASS","c5724711ad1aa94631df0b6186fee92398d414ae02690ade08f320b29d6b6db7"
"companion_qmd","PASS","3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816"
"companion_html","PASS","fd6307a6a2e9365f95f18f1fd668165cf833847cab58bac9d3be1e8a9b6dde11"
"profile","PASS","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3"
"lockfile","PASS","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350"
"sensitivity_qmd","PASS","d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70"
"sensitivity_html","PASS","b9af89c035391db6e39c55064b1de7309220702d626fa2fa274000b22b879780"
"build_symlinks","PASS","0"
"protected_transition","PASS","335 exact plus accepted coordination-matrix transition"
"sass_db","PASS","22f60821f5020edfa0900fc872503bbe993388c7f5acb86c059bc53dcd606853;36864;zauner"
"sass_schema_provenance","PASS","schema=1; sealed probe 1a0f60e3c34554c849dfd11673f6bfb3868b57df7bba5d911b11e70e86042512"
"sass_wal","PASS","FALSE"
"sass_shm","PASS","FALSE"
"order60_semantic_empty","PASS","TRUE"
"order60a_semantic_not_created","PASS","No semantic directory was created because Order 60a stopped before Quarto"
"process_inventory","PASS","zero matches in elevated filtered inventory"
