"table_index","table_endpoint","attribute","attribute_index","pre_value_start_byte","pre_value_end_byte","pre_value","post_value","intended_pre_ids","intended_post_ids","post_value_start_byte","post_value_end_byte","pre_value_bytes","post_value_bytes"
1,"tbl-h11-primary-samples","id",1,36115,36121,"a::stub","tbl-h11-primary-samples--gt-0001","","",36115,36146,7,32
1,"tbl-h11-primary-samples","id",2,36239,36242,"Role","tbl-h11-primary-samples--gt-0002","","",36264,36295,4,32
1,"tbl-h11-primary-samples","id",3,36364,36375,"Participants","tbl-h11-primary-samples--gt-0003","","",36417,36448,12,32
1,"tbl-h11-primary-samples","id",4,36506,36531,"Female-/-Male-participants","tbl-h11-primary-samples--gt-0004","","",36579,36610,26,32
1,"tbl-h11-primary-samples","id",5,36676,36691,"Participant-days","tbl-h11-primary-samples--gt-0005","","",36755,36786,16,32
1,"tbl-h11-primary-samples","id",6,36826,36848,"a30-minute-observations","tbl-h11-primary-samples--gt-0006","","",36921,36952,23,32
1,"tbl-h11-primary-samples","id",7,36989,36993,"Sites","tbl-h11-primary-samples--gt-0007","","",37093,37124,5,32
1,"tbl-h11-primary-samples","id",8,37178,37185,"stub_1_1","tbl-h11-primary-samples--gt-0008","","",37309,37340,8,32
1,"tbl-h11-primary-samples","headers",1,37314,37326,"stub_1_1 Role","tbl-h11-primary-samples--gt-0008 tbl-h11-primary-samples--gt-0002","stub_1_1|Role","tbl-h11-primary-samples--gt-0008|tbl-h11-primary-samples--gt-0002",37469,37533,13,65
1,"tbl-h11-primary-samples","headers",2,37379,37399,"stub_1_1 Participants","tbl-h11-primary-samples--gt-0008 tbl-h11-primary-samples--gt-0003","stub_1_1|Participants","tbl-h11-primary-samples--gt-0008|tbl-h11-primary-samples--gt-0003",37586,37650,21,65
1,"tbl-h11-primary-samples","headers",3,37448,37482,"stub_1_1 Female / Male participants","tbl-h11-primary-samples--gt-0008 tbl-h11-primary-samples--gt-0004","stub_1_1|Female-/-Male-participants","tbl-h11-primary-samples--gt-0008|tbl-h11-primary-samples--gt-0004",37699,37763,35,65
1,"tbl-h11-primary-samples","headers",4,37535,37559,"stub_1_1 Participant-days","tbl-h11-primary-samples--gt-0008 tbl-h11-primary-samples--gt-0005","stub_1_1|Participant-days","tbl-h11-primary-samples--gt-0008|tbl-h11-primary-samples--gt-0005",37816,37880,25,65
1,"tbl-h11-primary-samples","headers",5,37608,37638,"stub_1_1 30-minute observations","tbl-h11-primary-samples--gt-0008 tbl-h11-primary-samples--gt-0006","stub_1_1|a30-minute-observations","tbl-h11-primary-samples--gt-0008|tbl-h11-primary-samples--gt-0006",37929,37993,31,65
1,"tbl-h11-primary-samples","headers",6,37690,37703,"stub_1_1 Sites","tbl-h11-primary-samples--gt-0008 tbl-h11-primary-samples--gt-0007","stub_1_1|Sites","tbl-h11-primary-samples--gt-0008|tbl-h11-primary-samples--gt-0007",38045,38109,14,65
1,"tbl-h11-primary-samples","id",9,37745,37752,"stub_1_2","tbl-h11-primary-samples--gt-0009","","",38151,38182,8,32
1,"tbl-h11-primary-samples","headers",7,37889,37901,"stub_1_2 Role","tbl-h11-primary-samples--gt-0009 tbl-h11-primary-samples--gt-0002","stub_1_2|Role","tbl-h11-primary-samples--gt-0009|tbl-h11-primary-samples--gt-0002",38319,38383,13,65
1,"tbl-h11-primary-samples","headers",8,37971,37991,"stub_1_2 Participants","tbl-h11-primary-samples--gt-0009 tbl-h11-primary-samples--gt-0003","stub_1_2|Participants","tbl-h11-primary-samples--gt-0009|tbl-h11-primary-samples--gt-0003",38453,38517,21,65
1,"tbl-h11-primary-samples","headers",9,38051,38085,"stub_1_2 Female / Male participants","tbl-h11-primary-samples--gt-0009 tbl-h11-primary-samples--gt-0004","stub_1_2|Female-/-Male-participants","tbl-h11-primary-samples--gt-0009|tbl-h11-primary-samples--gt-0004",38577,38641,35,65
1,"tbl-h11-primary-samples","headers",10,38149,38173,"stub_1_2 Participant-days","tbl-h11-primary-samples--gt-0009 tbl-h11-primary-samples--gt-0005","stub_1_2|Participant-days","tbl-h11-primary-samples--gt-0009|tbl-h11-primary-samples--gt-0005",38705,38769,25,65
1,"tbl-h11-primary-samples","headers",11,38233,38263,"stub_1_2 30-minute observations","tbl-h11-primary-samples--gt-0009 tbl-h11-primary-samples--gt-0006","stub_1_2|a30-minute-observations","tbl-h11-primary-samples--gt-0009|tbl-h11-primary-samples--gt-0006",38829,38893,31,65
1,"tbl-h11-primary-samples","headers",12,38326,38339,"stub_1_2 Sites","tbl-h11-primary-samples--gt-0009 tbl-h11-primary-samples--gt-0007","stub_1_2|Sites","tbl-h11-primary-samples--gt-0009|tbl-h11-primary-samples--gt-0007",38956,39020,14,65
2,"tbl-h11-global-tests","id",1,53390,53396,"a::stub","tbl-h11-global-tests--gt-0001","","",54071,54099,7,29
2,"tbl-h11-global-tests","id",2,53514,53517,"Role","tbl-h11-global-tests--gt-0002","","",54217,54245,4,29
2,"tbl-h11-global-tests","id",3,53639,53642,"Test","tbl-h11-global-tests--gt-0003","","",54367,54395,4,29
2,"tbl-h11-global-tests","id",4,53764,53774,"F-statistic","tbl-h11-global-tests--gt-0004","","",54517,54545,11,29
2,"tbl-h11-global-tests","id",5,53904,53915,"Numerator-df","tbl-h11-global-tests--gt-0005","","",54675,54703,12,29
2,"tbl-h11-global-tests","id",6,54046,54059,"Denominator-df","tbl-h11-global-tests--gt-0006","","",54834,54862,14,29
2,"tbl-h11-global-tests","id",7,54192,54196,"Raw-p","tbl-h11-global-tests--gt-0007","","",54995,55023,5,29
2,"tbl-h11-global-tests","id",8,54320,54333,"FDR-adjusted-p","tbl-h11-global-tests--gt-0008","","",55147,55175,14,29
2,"tbl-h11-global-tests","id",9,54466,54472,"Support","tbl-h11-global-tests--gt-0009","","",55308,55336,7,29
2,"tbl-h11-global-tests","id",10,54658,54665,"stub_1_1","tbl-h11-global-tests--gt-0010","","",55522,55550,8,29
2,"tbl-h11-global-tests","headers",1,54794,54806,"stub_1_1 Role","tbl-h11-global-tests--gt-0010 tbl-h11-global-tests--gt-0002","stub_1_1|Role","tbl-h11-global-tests--gt-0010|tbl-h11-global-tests--gt-0002",55679,55737,13,59
2,"tbl-h11-global-tests","headers",2,54858,54870,"stub_1_1 Test","tbl-h11-global-tests--gt-0010 tbl-h11-global-tests--gt-0003","stub_1_1|Test","tbl-h11-global-tests--gt-0010|tbl-h11-global-tests--gt-0003",55789,55847,13,59
2,"tbl-h11-global-tests","headers",3,54956,54975,"stub_1_1 F statistic","tbl-h11-global-tests--gt-0010 tbl-h11-global-tests--gt-0004","stub_1_1|F-statistic","tbl-h11-global-tests--gt-0010|tbl-h11-global-tests--gt-0004",55933,55991,20,59
2,"tbl-h11-global-tests","headers",4,55027,55047,"stub_1_1 Numerator df","tbl-h11-global-tests--gt-0010 tbl-h11-global-tests--gt-0005","stub_1_1|Numerator-df","tbl-h11-global-tests--gt-0010|tbl-h11-global-tests--gt-0005",56043,56101,21,59
2,"tbl-h11-global-tests","headers",5,55098,55120,"stub_1_1 Denominator df","tbl-h11-global-tests--gt-0010 tbl-h11-global-tests--gt-0006","stub_1_1|Denominator-df","tbl-h11-global-tests--gt-0010|tbl-h11-global-tests--gt-0006",56152,56210,23,59
2,"tbl-h11-global-tests","headers",6,55169,55182,"stub_1_1 Raw p","tbl-h11-global-tests--gt-0010 tbl-h11-global-tests--gt-0007","stub_1_1|Raw-p","tbl-h11-global-tests--gt-0010|tbl-h11-global-tests--gt-0007",56259,56317,14,59
2,"tbl-h11-global-tests","headers",7,55250,55272,"stub_1_1 FDR-adjusted p","tbl-h11-global-tests--gt-0010 tbl-h11-global-tests--gt-0008","stub_1_1|FDR-adjusted-p","tbl-h11-global-tests--gt-0010|tbl-h11-global-tests--gt-0008",56385,56443,23,59
