"key","part","pixel_width","pixel_height","actual_cx","actual_cy","expected_cx","expected_cy","exact"
"main_table_1",1,2640,1160,9646920,4238798,9646920,4238798,TRUE
"main_table_1",2,2640,1106,9646920,4041474,9646920,4041474,TRUE
"main_table_2",1,1794,898,9646920,4828837,9646920,4828837,TRUE
"main_table_3",1,2320,1268,9646920,5272540,9646920,5272540,TRUE
"main_table_3",2,2320,986,9646920,4099941,9646920,4099941,TRUE
"main_table_3",3,2320,1178,9646920,4898306,9646920,4898306,TRUE
"main_table_3",4,2320,1400,9394806,5669280,9394806,5669280,TRUE
"supp_table_s1",1,1792,1260,8062976,5669279,8062976,5669279,TRUE
"supp_table_s2",1,2980,1738,13953807,8138160,13953807,8138160,TRUE
"supp_table_s2",2,2980,1452,14218920,6928144,14218920,6928144,TRUE
"supp_table_s2",3,2980,1480,14218920,7061745,14218920,7061745,TRUE
"supp_table_s3",1,1798,1464,6962681,5669280,6962681,5669280,TRUE
"supp_table_s4",1,1796,882,9646920,4737518,9646920,4737518,TRUE
"supp_table_s4",2,1796,954,9646920,5124254,9646920,5124254,TRUE
"supp_table_s5",1,1804,792,9646920,4235233,9646920,4235233,TRUE
"supp_table_s6",1,1804,792,9646920,4235233,9646920,4235233,TRUE
"supp_table_s7",1,1792,1028,9646920,5534059,9646920,5534059,TRUE
"supp_table_s7",2,1792,1010,9646920,5437159,9646920,5437159,TRUE
"supp_table_s7",3,1792,1534,6622783,5669280,6622783,5669280,TRUE
"supp_table_s8",1,1794,1200,8475573,5669279,8475573,5669279,TRUE
"supp_table_s9",1,1794,362,9646920,1946591,9646920,1946591,TRUE
"supp_table_s10",1,1808,986,9646920,5260986,9646920,5260986,TRUE
"supp_table_s10",2,1808,1012,9646920,5399714,9646920,5399714,TRUE
"supp_table_s11a",1,1790,1116,9093200,5669280,9093200,5669280,TRUE
"supp_table_s11b",1,1790,930,9646920,5012086,9646920,5012086,TRUE
"supp_table_s12",1,1794,968,9646920,5205250,9646920,5205250,TRUE
"supp_table_s13",1,1794,956,9646920,5140722,9646920,5140722,TRUE
"supp_table_s14",1,1796,1074,9480471,5669280,9480471,5669280,TRUE
"supp_table_s15",1,1798,464,9646920,2489527,9646920,2489527,TRUE
