"id","name","name_preexisted"
"360","fig-study-overview",TRUE
"361","tbl-participant-site",TRUE
"362","tbl-brown-adherence",TRUE
"363","fig-daily-architecture",TRUE
"364","tbl-metric-context",TRUE
"365","fig-activity-context",TRUE
"366","fig-s1",FALSE
"367","fig-s2",FALSE
"368","fig-s4",FALSE
"369","fig-s5",FALSE
"370","fig-s6",FALSE
"371","fig-s7",FALSE
"372","fig-s8",FALSE
"373","fig-s9",FALSE
"374","fig-s10",FALSE
"375","fig-s11",FALSE
"376","fig-s12",FALSE
"377","fig-s13",FALSE
"378","fig-s14",FALSE
"379","fig-s15",FALSE
"380","fig-s16",FALSE
"381","fig-s17",FALSE
