"check","pass"
"52 inline drawings, no anchors or native tables",TRUE
"unique drawing and relationship IDs",TRUE
"23 SVG appearances, 22 exact physical sources",TRUE
"SVG map Main Figure 1",TRUE
"SVG map Main Figure 2",TRUE
"SVG map Main Figure 3",TRUE
"SVG map Supplementary Figure S1",TRUE
"SVG map Supplementary Figure S2",TRUE
"SVG map Supplementary Figure S3",TRUE
"SVG map Supplementary Figure S4",TRUE
"SVG map Supplementary Figure S5",TRUE
"SVG map Supplementary Figure S6",TRUE
"SVG map Supplementary Figure S7A",TRUE
"SVG map Supplementary Figure S7B",TRUE
"SVG map Supplementary Figure S8",TRUE
"SVG map Supplementary Figure S9",TRUE
"SVG map Supplementary Figure S10",TRUE
"SVG map Supplementary Figure S11",TRUE
"SVG map Supplementary Figure S12",TRUE
"SVG map Supplementary Figure S13",TRUE
"SVG map Supplementary Figure S14",TRUE
"SVG map Supplementary Figure S15A",TRUE
"SVG map Supplementary Figure S15B",TRUE
"SVG map Supplementary Figure S16",TRUE
"SVG map Supplementary Figure S17",TRUE
"29 exact table payloads from19keys in order",TRUE
"all29 per-axis geometry values reproduce frozen Inches floor exactly",TRUE
"one named Heading1 style resolved",TRUE
"13 named top-level headings retain true page starts",TRUE
"22 exact repaired ID-name pairs",TRUE
"six reused names and16netnew names correctly classified",TRUE
"unique paired bookmarks and126 resolving internal links",TRUE
"native main XML exact Main Figure 1",TRUE
"native main relationship exact rId21",TRUE
"native main XML exact Main Figure 2",TRUE
"native main relationship exact rId28",TRUE
"native main XML exact Main Figure 3",TRUE
"native main relationship exact rId35",TRUE
"supplemental input had base-only SVG Supplementary Figure S1",TRUE
"supplemental input had base-only SVG Supplementary Figure S2",TRUE
"supplemental input had base-only SVG Supplementary Figure S3",TRUE
"supplemental input had base-only SVG Supplementary Figure S4",TRUE
"supplemental input had base-only SVG Supplementary Figure S5",TRUE
"supplemental input had base-only SVG Supplementary Figure S6",TRUE
"supplemental input had base-only SVG Supplementary Figure S7A",TRUE
"supplemental input had base-only SVG Supplementary Figure S7B",TRUE
"supplemental input had base-only SVG Supplementary Figure S8, panels A-C",TRUE
"supplemental input had base-only SVG Supplementary Figure S8, panel D",TRUE
"supplemental input had base-only SVG Supplementary Figure S9",TRUE
"supplemental input had base-only SVG Supplementary Figure S10",TRUE
"supplemental input had base-only SVG Supplementary Figure S11",TRUE
"supplemental input had base-only SVG Supplementary Figure S12",TRUE
"supplemental input had base-only SVG Supplementary Figure S13",TRUE
"supplemental input had base-only SVG Supplementary Figure S14",TRUE
"supplemental input had base-only SVG Supplementary Figure S15A",TRUE
"supplemental input had base-only SVG Supplementary Figure S15B",TRUE
"supplemental input had base-only SVG Supplementary Figure S16",TRUE
"supplemental input had base-only SVG Supplementary Figure S17",TRUE
"independent complete document XML reversal exact",TRUE
"only19 documented formerSVG deletions and19newSVG members",TRUE
"every unrelated surviving package part byte-exact",TRUE
"one correct SVG content type",TRUE
"31section alternating orientation contract",TRUE
"protected Table3 exact",TRUE
