run_id,placement,approximate_p_values_not_primary,smooth,edf,Ref.df,F,p.value
temporal_activity_long__near_eye,Near-eye,TRUE,s(time_hour),8.99111846472845,10,38.85760491563165,0
temporal_activity_long__near_eye,Near-eye,TRUE,"s(time_hour,activity)",35.94205424577506,40.4453180454841,59.27446395839043,0
temporal_activity_long__near_eye,Near-eye,TRUE,"s(time_hour,site)",66.0209688836679,73.24475751907316,5.351823394886083,0
temporal_activity_long__near_eye,Near-eye,TRUE,"s(time_hour,participant)",617.6551132381068,1243,16.29042903278557,0
temporal_activity_long__near_eye,Near-eye,TRUE,s(participant_day),495.23506560099423,715,4.6458282141972,0
temporal_no_activity__near_eye,Near-eye,TRUE,s(time_hour),9.68564394117626,10,139.60626921153053,0
temporal_no_activity__near_eye,Near-eye,TRUE,"s(time_hour,site)",66.79394513912955,73.97690486442178,4.946566331483508,0
temporal_no_activity__near_eye,Near-eye,TRUE,"s(time_hour,participant)",645.9775914735361,1243,18.524277667507846,0
temporal_no_activity__near_eye,Near-eye,TRUE,s(participant_day),500.9395204850702,715,4.764508644080325,0
temporal_activity_long__chest,Chest,TRUE,s(time_hour),9.187698966482195,10,50.955035136499006,0
temporal_activity_long__chest,Chest,TRUE,"s(time_hour,activity)",34.50760159555113,39.668973476369906,79.52753975777686,0
temporal_activity_long__chest,Chest,TRUE,"s(time_hour,site)",62.948376640814324,69.65294578997657,8.016907712796034,0
temporal_activity_long__chest,Chest,TRUE,"s(time_hour,participant)",637.1016452015442,1485,12.949486419839825,0
temporal_activity_long__chest,Chest,TRUE,s(participant_day),616.1294289957319,867,4.615910105688092,0
temporal_no_activity__chest,Chest,TRUE,s(time_hour),9.75300972518102,10,147.22480662871436,0
temporal_no_activity__chest,Chest,TRUE,"s(time_hour,site)",64.60082821964805,70.96671612209798,8.033470703696409,0
temporal_no_activity__chest,Chest,TRUE,"s(time_hour,participant)",661.5586643282793,1485,15.91863814410653,0
temporal_no_activity__chest,Chest,TRUE,s(participant_day),623.249051530443,867,4.7830684178416885,0
