run_id,data_scenario,placement,sample_scenario,analytical_role,metric_order,metric_id,manuscript_name,abbreviation,manuscript_category,analysis_unit,response_family,response_transform,effect_scale,display_unit,site,estimate_model,standard_error,conf_low_model,conf_high_model,participants,observed_participant_weight,equal_site_weight,weighting,predictor,estimate_practical,conf_low_practical,conf_high_practical,site_display_order,site_display_name,site_color_hex
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,,-0.11803524685786178,0.1121354720597796,-0.33976111294860567,0.1036906192328821,,,,equal_site,age,0.8886647294231939,0.7119403757872086,1.1092572189736836,,,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,,-0.02624051734257464,0.08335821470605728,-0.1910650105379624,0.13858397585281307,,,,observed_participant,age,0.9741007733019168,0.826078882572943,1.148646136059054,,,
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,RISE,0.04115632195846953,0.08011081983778397,-0.11724708586151898,0.19955972977845804,16,0.1038961038961039,0.125,site_specific,age,1.0420149826373553,0.8893654163925485,1.2208651292569253,1,Borås (SE),#88CCEE
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,THUAS,0.06909972467101057,0.09206337975689333,-0.11293752221333052,0.25113697155535164,15,0.0974025974025974,0.125,site_specific,age,1.0715430630997114,0.8932064639356534,1.28548614731009,2,Delft (NL),#117733
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,BAUA,0.0891362485229515,0.07464138613125543,-0.05845242865623275,0.23672492570213577,20,0.12987012987012986,0.125,site_specific,age,1.0932295970974713,0.943223109723213,1.267092525246348,3,Dortmund (DE),#DDCC77
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,TUM,-1.7640011412026655,0.5363265809761911,-2.824481589450463,-0.7035206929548681,10,0.06493506493506493,0.125,site_specific,age,0.17135786333919537,0.0593394110337812,0.4948400534588735,5,Munich (DE),#DDCC77
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,FUSPCEU,0.02070060521982923,0.08514391693805369,-0.14765476332389166,0.18905597376355016,22,0.14285714285714285,0.125,site_specific,age,1.020916348851066,0.8627289091953317,1.208108572974004,6,Madrid (ES),#CC6677
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,IZTECH,-0.16774511632732234,0.3747821617421409,-0.908803212228834,0.5733129795741894,17,0.11038961038961038,0.125,site_specific,age,0.8455693290365845,0.40300624848550853,1.7741349988847372,7,Izmir (TR),#332288
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,UCR,0.04195552823817507,0.07676242691398481,-0.10982709039348508,0.1937381468698352,39,0.2532467532467532,0.125,site_specific,age,1.042848100427166,0.8959890470168413,1.2137784096640942,8,San José (CR),#44AA99
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,KNUST,0.7254158540566576,0.5857002041578214,-0.4326912341909156,1.8835229423042308,15,0.0974025974025974,0.125,site_specific,age,2.0655899053267848,0.6487607760288374,6.576633197686203,9,Kumasi (GH),#AA4499
