"check","observed","expected","status","r_version","digest_version"
"release pin rows","23","23","PASS","4.6.1","0.6.39"
"release pin paths unique","23","23","PASS","4.6.1","0.6.39"
"release pin identities","23","23","PASS","4.6.1","0.6.39"
"R chunks","26","26","PASS","4.6.1","0.6.39"
"R chunk parse","26","26","PASS","4.6.1","0.6.39"
"table endpoint labels","21/TRUE","21/TRUE","PASS","4.6.1","0.6.39"
"figure endpoint labels","3/TRUE","3/TRUE","PASS","4.6.1","0.6.39"
"forbidden scientific calls","","none","PASS","4.6.1","0.6.39"
"dynamic result links","../../../notebooks/hypotheses/H07.qmd|../../../notebooks/hypotheses/H07.qmd|../../../notebooks/hypotheses/H07.qmd#h07-preregistration-deviations","../../../notebooks/hypotheses/H07.qmd|../../../notebooks/hypotheses/H07.qmd|../../../notebooks/hypotheses/H07.qmd#h07-preregistration-deviations","PASS","4.6.1","0.6.39"
"companion deviations anchor","1","1","PASS","4.6.1","0.6.39"
"relative reader targets resolve","14/14","14/14","PASS","4.6.1","0.6.39"
"profile companion registration","1","1","PASS","4.6.1","0.6.39"
"stale build QMD classification","e32aff685b713838acd5e416003edae8c9d066abe8dbd52fe9e133159b23e663","e32aff685b713838acd5e416003edae8c9d066abe8dbd52fe9e133159b23e663","PASS","4.6.1","0.6.39"
"current preparation manifest rows","1235","1235","PASS","4.6.1","0.6.39"
"current preparation manifest uniqueness","1235","1235","PASS","4.6.1","0.6.39"
"current preparation manifest exact rows","1231","1231","PASS","4.6.1","0.6.39"
"current preparation manifest expected mismatches","_build/nathealth/notebooks/hypotheses/H07.html|_quarto-nathealth.yml|audit/hypotheses/H07/H07_analysis_preparation.qmd|notebooks/hypotheses/H07.qmd","_build/nathealth/notebooks/hypotheses/H07.html|_quarto-nathealth.yml|audit/hypotheses/H07/H07_analysis_preparation.qmd|notebooks/hypotheses/H07.qmd","PASS","4.6.1","0.6.39"
"held stale HTML assertion classification","1","1","PASS","4.6.1","0.6.39"
"build symlinks","0","0","PASS","4.6.1","0.6.39"
"scientific preservation phrases","7/7","7/7","PASS","4.6.1","0.6.39"
