"path","historical_sha256","historical_bytes","live_sha256","live_bytes","authority","authority_path","authority_row_exact","disposition"
"audit/hypotheses/H09/H09_stage1_gate_and_stage2_transition.md","616ea14964da0b2e80210bd124750c75664e81568b7d6db1ddd83d3639a8270d",4639,"f13862886a47dbb7bbbfe62b4292bc567b14bc4b5e9427e7c285315e7d9acaff",4635,"current row in immutable H09 preparation manifest","artifacts/12_manifests/H09/H09_preparation_report_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"scripts/hypotheses/H09/h09_contract.R","13cd364b9136488d117f48a9cf3c65ab79e2408568cf0f8e600c1ef9214708ae",16293,"866b0f8736c8a25f50a3f1ce6e38c5d33d4666d4bf06031f0021ee1cb6d0b701",16374,"order57a exact authorized postimage and reverse proof","audit/hypotheses/H09/report018_order57a_companion_retry/authorized_postimages_postfailure.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"scripts/hypotheses/H09/run_h09_stage2.R","49a7b9e76775b5bf91f9468481755732a79c205c37411ccf6997676e6a4f2cfb",90288,"4711057eacebdfc7ee9295d9f895e8ab73f60c0f7a51d0b03ea61459b7ac611c",92080,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/10_figures/H09/H09_diagnostics_chest.pdf","614b46f3cb2026ea1f6c7350959482ce4473c114b0c90ec066a176f73c635596",695820,"1f8dd115d2e249f23acaa7560c8df432418f129c97f733cea5177f675997f09c",696614,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/10_figures/H09/H09_diagnostics_chest.png","e82b32d5d69a73e45a7d93e8b1bb8357dc3104e67c5f128eba4f3f5538961a75",2626860,"dcced15b55b9f4abd912f1fbad0ccd3eaddcbabe820b41591350601df29f0f1a",2874977,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/10_figures/H09/H09_diagnostics_near_eye.pdf","a01d7184d3fc68bf33375f950c9ba422ac7f86f803cd214064ddf86d003ca5ac",627893,"e63794d0eaad64d0fe8fd65f31e9e4a8162a6dbf50f047a1af2caf18f78f3db5",628572,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/10_figures/H09/H09_diagnostics_near_eye.png","df6a267517ea08635a00fcfa153a1e3a7f6dbbbe764745860c16bd3b53165e96",2557336,"cfb7136446dabf79334933f0677ba0db89b4a3052f1871ced3e90dbc3ed7d5b5",2795403,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/10_figures/H09/H09_paired_placement_effects.pdf","5d8f8e95c4642ca29391941f63852776ee6d4ee3cb0cbdedfe74d24ec645ff7c",16857,"e3371426b6a2c7a3d2db32ce5641697fad1aec6592b86a80d316ec81d54a7ea2",16853,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/10_figures/H09/H09_paired_placement_effects.png","4cffc5339801d25e817639064b6f40e0b0a6bbe69a735e5f245d97cee898e185",129869,"ae6fc387a28a840d57ad5088dc446f3ab902136cb9038a7f119ace2db7a6a4be",131504,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/10_figures/H09/H09_primary_effects.pdf","b354077d2c1225104ecef7af1d879acd2037a7b740940392092b2d09f2f833e0",17970,"69275a6a3fbfa7bd0b47efa4f53cb61ccbe3c7a776f146148f58026f4329357f",17941,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/10_figures/H09/H09_primary_effects.png","f288cfaff6e555715af30c778974e50d9bcc8c9a90c643b5e994ad2d8b95be1f",139103,"8525b9dda4a635efe2d8410e6eeb6a99722c6bc0d225f09abe684a73595dc4dd",162887,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/06_model_data/H09/H09_base_bundle_audit.csv","ced64a4d6720082ca94f585f3779e9e65d8e16d9eae089ba47f6bec72eb316a2",386,"21e8a8f965de898e88fc3ab6702e3b26472be3b345e7aa0f4e39df07a42255ae",491,"accepted METRIC-011 H09 provenance reseal","artifacts/12_manifests/H09/H09_METRIC-011_provenance_reseal_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/06_model_data/H09/H09_input_audit.csv","cfc1c4a10dd68daebaf5aeab262e7571ec7438cdaa2961b5e2bc75f02ca1af04",4172,"1ea3910539378434533dcaeeaee6ab613e325468d99ffd10e02bdc868a4175ed",4401,"order57a exact authorized postimage and reverse proof","audit/hypotheses/H09/report018_order57a_companion_retry/authorized_postimages_postfailure.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"artifacts/12_manifests/H09/H09_figure_manifest.csv","0ad64452efd82932b5db6782090f9b3660b31d63d115cd7d806c10597fbdf76b",4284,"74c0f444f5670ec86b319f09836e2fb670ebba768f81b0bbdeeaf989159f15ce",4360,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"_build/nathealth/notebooks/hypotheses/H09.html","ce6c4c644af675e5feb25dcbc834b55c3ddfc87ec3dc581c95366edc0de067b1",229798,"901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"notebooks/hypotheses/H09.qmd","bd365fb4f9e0e23fd1555e0a8db62f7d3a0ff9ad076eaaaf738ec22e698d50ff",33345,"c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",36970,"order56b accepted current display or result identity","audit/hypotheses/H09/report018_order56b_environment_retry/current_display_manifest.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"config/metric_display_registry.csv","6c0adc3ca061ac49591d71243dd7ff0693311eb1f499836cf52c2742328b8154",3182,"c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0",3203,"order57 MDER-only scientific-scope adjudication","audit/report_harmonization/report018_h09_order57_scientific_scope_audit.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"_quarto-nathealth.yml","d12881b61d830170c0ac380487dae9ea2461df6e3b574195c472f7dbaaae88fc",6168,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"accepted REPORT-018 H09 result release pin","audit/report_harmonization/report018_h09_result_release_pins.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
"audit/decisions/figure_readability_and_layout.md","62cedcc013c404a445455cae9beff5ffd21c6a2d82689103a98406e34cceb0b3",10941,"33bac9392c35ed2fb6fd8bef0cf80ba867229e97d31cd1ea28ce625a51c1565b",10910,"accepted REPORT-018 H09 result release pin","audit/report_harmonization/report018_h09_result_release_pins.csv",TRUE,"ACCEPTED_HISTORICAL_TO_LIVE"
