"path","role","sha256","bytes","status"
"notebooks/preparation/01_import_state_alignment.qmd","accepted source","93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872","34924","unchanged through render and QA"
"_quarto-nathealth.yml","accepted profile","b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5","7031","unchanged through render and QA"
"_build/nathealth/notebooks/preparation/01_import_state_alignment.html","accepted target HTML","6a312ee826c0a4944bf2d9e5c3d0d3ea09521a6e1ae26c84ac30f0493973907e","371295","targeted render output"
"_build/nathealth/search.json","targeted search index","7374fb9fc7e20ac83f0a70d32dfec3d3f8eb592cf7f4af19a5dc880ec9f33ddc","1535924","targeted render output"
"_build/nathealth/sitemap.xml","targeted sitemap","1126d501ee279da25eed02854986453631888888a2715dc1dd14d8fdd248e8b5","5219","targeted render output"
"tests/test_preparation01_report.R","focused source/render test","0237de70ff1659326b99e068d134b01d1927536fc6a805548ff3749a1160a337","6640","PASS under R 4.6.1"
"audit/preparation_reports/verify_scoped_readset.R","protected-input verifier","90ad8dceb597b97ccf4d43db285d62ea92bbdfe03fdc29eefadb34470149cdb8","3744","PASS under R 4.6.1"
"audit/report_harmonization/report017_preparation01_order02b_postrender_scoped_verification.csv","post-render protected verification","70f7e6b231e31e0f325de72d2cebb6042285755e2d060b552497878899ca4f85","49444","149 of 149 unchanged"
"audit/report_harmonization/report017_preparation01_order02b_final_scoped_verification.csv","post-loopback protected verification","70f7e6b231e31e0f325de72d2cebb6042285755e2d060b552497878899ca4f85","49444","149 of 149 unchanged"
"audit/report_harmonization/report017_preparation01_order02b_desktop_top.png","desktop top viewport","83eb1e21b7293bdfd084ec1ab08768cf34c0e9697243b1b876d2c8f93ede9e8c","119852","PASS"
"audit/report_harmonization/report017_preparation01_order02b_desktop_diagram.png","desktop complete diagram","0bb80387563c5442271b7e830d1ac9320997bc6a0b0364a00a43d6ec2dc02b96","95484","PASS"
"audit/report_harmonization/report017_preparation01_order02b_narrow_top.png","narrow top viewport","8517d672d9a941c43695ad10863d2454d08238d433df1a1a6abde58663046724","75051","PASS"
"audit/report_harmonization/report017_preparation01_order02b_narrow_diagram.png","narrow complete diagram","130ab65f6d86f2f6c01e4c321808da84b63b01f1193d24c5e8b98b350b7a2f9d","51725","RH-VIS-001 resolved"
"audit/report_harmonization/report017_preparation01_order02b_narrow_tables_01_02.png","narrow source tables","c2ad5c7f4b87c07547755ec4edaac964bd5bff93bc91c4ead84ed621240903c0","87594","PASS"
"audit/report_harmonization/report017_preparation01_order02b_narrow_tables_08_09.png","narrow sample tables","631d6a21e7ba4a0c33f78c7ca03b7606597bb40b25ddc217ad38ddf53d37c154","89890","PASS"
"audit/report_harmonization/report017_preparation01_order02b_narrow_callout.png","narrow callout and validation table","e242099aaafad44b68c3941f460ac129487cdd7a2bf6a27bafefe509f5058b89","114907","PASS"
"audit/report_harmonization/report017_preparation01_order02b_narrow_bottom.png","narrow final sections","9506cbac8d4812bbdaaa9d6998a9ace33b7c9594189b197614bc440237bb1f5e","71165","PASS"
