"source","line","kind","label","content"
"index.qmd",207,"heading","#","# Abstract"
"index.qmd",211,"heading","#","# Introduction {#sec-intro}"
"index.qmd",225,"heading","#","# Results {#sec-results}"
"index.qmd",227,"heading","##","## A unique dataset capturing exposure to light around the world"
"index.qmd",235,"heading","###","### Light exposure metrics capture specific, physiologically based aspects of personal light exposure"
"index.qmd",239,"heading","###","### Daytime recommendations were not reached on average"
"index.qmd",249,"heading","###","### Sites differed in environment, behaviour, chronotype, and age"
"index.qmd",261,"heading","##","## Research Question 1: Sites differ, but individual patterns dominate"
"index.qmd",263,"heading","###","### Sites differed in exposure level and timing"
"index.qmd",271,"heading","###","### Site effects were usually specific"
"index.qmd",275,"heading","###","### Latitude explained daytime levels better than site"
"index.qmd",279,"heading","###","### Photoperiod predicted several metric classes"
"index.qmd",287,"heading","###","### Site and photoperiod were not dominant drivers"
"index.qmd",293,"heading","###","### Sites diverged mainly around morning and afternoon"
"index.qmd",301,"heading","###","### Participant patterns outweighed site patterns"
"index.qmd",305,"heading","##","## Research Question 2: Behaviour and micro-environment shape exposure"
"index.qmd",307,"heading","###","### Daylight access matters"
"index.qmd",319,"heading","###","### Activity and micro-environment strongly shaped exposure"
"index.qmd",337,"heading","###","### LEBA factors were weakly related to exposure"
"index.qmd",341,"heading","###","### Day type, exercise, and sleep showed small associations"
"index.qmd",351,"heading","###","### Photoperiod showed ceiling effects"
"index.qmd",355,"heading","##","## Research Question 3: Participant characteristics showed limited associations"
"index.qmd",357,"heading","###","### Light sensitivity was not associated with exposure"
"index.qmd",361,"heading","###","### Chronotype shifted exposure timing"
"index.qmd",365,"heading","###","### Sex and age showed weak effects"
"index.qmd",371,"heading","###","### Females showed behaviourally driven lower morning exposure"
"index.qmd",375,"heading","##","## Chest-level analysis were broadly consistent with eye-level findings, but larger sample in Costa Rica makes a difference"
"index.qmd",379,"heading","#","# Discussion {#sec-discussion}"
"index.qmd",397,"heading","#","# Methods {#sec-methods}"
"index.qmd",401,"heading","##","## Research questions and hypotheses"
"index.qmd",433,"heading","##","## Study design"
"index.qmd",443,"heading","##","## Inclusion and exclusion criteria"
"index.qmd",451,"heading","##","## Data collection procedures"
"index.qmd",459,"heading","##","## Wearable light logger"
"index.qmd",469,"heading","##","## Surveys"
"index.qmd",508,"heading","##","## Primary and co-variates"
"index.qmd",522,"heading","##","## Transformation of variables and preprocessing steps"
"index.qmd",540,"heading","##","## Statistical analysis"
"index.qmd",552,"heading","##","## Deviation from the preregistration and protocol {#sec-preregdev}"
"index.qmd",558,"heading","#","# Statements"
"index.qmd",560,"heading","##","## Acknowledgements"
"index.qmd",564,"heading","##","## Funding statement"
"index.qmd",570,"heading","##","## Statement of Author contributions"
"index.qmd",606,"heading","##","## Statement of data availability"
"index.qmd",626,"heading","##","## Statement of AI use"
"index.qmd",632,"heading","##","## Statement of competing interests"
"index.qmd",644,"heading","#","# References"
"index.qmd",651,"heading","#","# Supplementary Materials"
"index.qmd",653,"heading","##","## Figures"
"index.qmd",675,"heading","##","## Tables"
"supplementary_information.qmd",8,"heading","#","# Supplementary Methods"
"supplementary_information.qmd",14,"heading","#","# Preregistration and deviations"
"supplementary_information.qmd",19,"heading","#","# Hypothesis-level results"
"supplementary_information.qmd",21,"heading","##","## H01"
"supplementary_information.qmd",23,"heading","##","## H02"
"supplementary_information.qmd",25,"heading","##","## H03"
"supplementary_information.qmd",27,"heading","##","## H04"
"supplementary_information.qmd",29,"heading","##","## H05"
"supplementary_information.qmd",31,"heading","##","## H06"
"supplementary_information.qmd",33,"heading","##","## H07"
"supplementary_information.qmd",35,"heading","##","## H08"
"supplementary_information.qmd",37,"heading","##","## H09"
"supplementary_information.qmd",39,"heading","##","## H10"
"supplementary_information.qmd",41,"heading","##","## H11"
"supplementary_information.qmd",43,"heading","#","# Sensor-placement analysis"
"supplementary_information.qmd",48,"heading","#","# Sensitivity analyses"
"supplementary_information.qmd",53,"heading","#","# Supplementary figures"
"supplementary_information.qmd",55,"heading","#","# Supplementary tables"
"supplementary_information.qmd",57,"heading","#","# References"
"notebooks/placement_decision.qmd",6,"heading","##","## Purpose"
"notebooks/placement_decision.qmd",12,"heading","##","## What this notebook uses and produces"
"_deviations.qmd",1,"heading","###","### General"
"_deviations.qmd",8,"heading","###","### Preprocessing"
"_deviations.qmd",15,"heading","###","### RQ1"
"_deviations.qmd",22,"heading","###","### RQ2"
"notebooks/descriptives.qmd",30,"heading","##","## Scope and result"
"notebooks/descriptives.qmd",126,"heading","##","## Updated sample"
"notebooks/descriptives.qmd",162,"heading","##","## Table 1: participant and site characteristics"
"notebooks/descriptives.qmd",179,"heading","###","### Manuscript Table 1 variant"
"notebooks/descriptives.qmd",213,"heading","##","## Table 2: metric distributions"
"notebooks/descriptives.qmd",249,"heading","##","## Figure 1: study overview"
"notebooks/descriptives.qmd",279,"heading","##","## Figure 2: site-specific profiles"
"notebooks/descriptives.qmd",314,"heading","##","## Figure 3: reader-facing metric distributions"
"notebooks/descriptives.qmd",329,"heading","##","## Figure 4: from time series to a daily metric"
"notebooks/descriptives.qmd",353,"heading","##","## Figure 5: latitude and observed photoperiod"
