"from_document_or_class","to_document_or_class","dynamic_qmd_link_pattern","reader_value","timing","decision"
"index.qmd","notebooks/descriptives.qmd; preparation sequence; H01-H11 results; notebooks/preregistration_deviations.qmd; supplementary_information.qmd","Relative .qmd paths from project root","Provides a single reader route after landing-page claims are reconciled.","After index scientific hold is cleared","proposed"
"Every H01-H11 result","Its preparation/provenance companion","../../audit/hypotheses/Hxx/Hxx_analysis_preparation.qmd","Lets readers reach methods and provenance without interrupting the principal result.","Phase 3 owner implementation","mandatory"
"Every H01-H11 companion","Its result","../../../notebooks/hypotheses/Hxx.qmd","Provides a reciprocal return to the scientific result.","Phase 3 owner implementation","mandatory"
"Every reader document mentioning a preregistration deviation","Exact stable entry","Relative path to notebooks/preregistration_deviations.qmd#lowercase-stable-id","Makes the stated departure understandable without internal workflow knowledge.","After deviation QMD and central mapping repair exist","mandatory"
"notebooks/descriptives.qmd","notebooks/preparation/01_import_state_alignment.qmd and 02_coverage_sample_flow.qmd","preparation/01_import_state_alignment.qmd; preparation/02_coverage_sample_flow.qmd","Explains where shared descriptive denominators and aligned states come from.","Phase 3 owner implementation","proposed"
"Preparation 01","Preparation 02","02_coverage_sample_flow.qmd","Carries the reader from aligned records to coverage and sample flow.","Phase 3 owner implementation","proposed"
"Preparation 02","Preparation 03 and 04","03_reference_profiles.qmd; 04_metric_derivation.qmd","Connects retained records to reference profiles and derived metrics.","Phase 3 owner implementation","proposed"
"Preparation 03","Preparation 04","04_metric_derivation.qmd","Shows how reference profiles feed metric derivation.","Phase 3 owner implementation","proposed"
"Preparation 04","Preparation 06","06_model_ready_datasets.qmd","Connects metric definitions to model-ready datasets.","Phase 3 owner implementation","proposed"
"Preparation 05","Preparation 06","06_model_ready_datasets.qmd","Connects acquired inputs to the model-ready chain.","Phase 3 owner implementation","proposed"
"Preparation 06","Preparation 07","07_example_days.qmd","Offers a visual interpretation of the processed day-level data.","Phase 3 owner implementation","optional if already clear"
"H01, H05, H08, H09, H10 and affected reports","Preparation 04 and/or 06","Relative .qmd paths appropriate to each result","Avoids repeating metric-repair or model-ready definitions in every result.","Phase 3 owner implementation","only where it materially aids interpretation"
"H11 companion","H02 companion","../H02/H02_analysis_preparation.qmd","Documents the inherited temporal-model and curve-variation architecture once.","Phase 3 owner implementation","proposed"
"H06_daily result and companion","Main hourly H06 result; reciprocal H06_daily result/companion","H06.qmd; ../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd; ../../../notebooks/hypotheses/H06_daily.qmd","Places the accepted daily analysis as complementary context while preserving the hourly analysis as the main H06 result.","Implemented after H06_daily Stage 3/4 acceptance","accepted in source; rendered-link verification pending serial render"
"Nature Health sidebar","H03, H04, H07, H09, H11 companions","Existing companion .qmd paths","Makes accepted provenance companions discoverable consistently.","Shared coordinator change after owner revisions","accepted"
"Nature Health sidebar","implementation comparison contract; H03-H11 gated workflow; assemble workflow","Remove reader-navigation entries; keep audit files","Prevents internal production mechanics from competing with scientific content.","Shared coordinator change","accepted"
"All internal links","All internal targets","Relative .qmd path with optional #anchor; never .html, file://, absolute local, _build, or build-directory path","Preserves links across output formats and render locations.","All owner revisions and Phase 4 tests","accepted source contract; render verification pending"
