role,path,sha256,bytes
stopped_acceptance,audit/report_harmonization/report017_h05_order36a_stopped_independent_acceptance.md,d3ac5dd3adf810b1d1e687b07c562e98b02b19597ac2f3077c33f8b065e91236,3841
owner_order,audit/report_harmonization/owner_orders/36b_h05_endpoint_metadata_and_wrapped_prose_final_verifier.md,727df63dc041c54665d1541509435a9f39f452db1499b6c239b4511c27230e17,4686
prior_stopped_acceptance,audit/report_harmonization/report017_h05_order36_stopped_independent_acceptance.md,66368be09d4a3957da3f67baa849108f2b53d0ce67984687c6dd7267ab40756f,4082
prior_owner_order,audit/report_harmonization/owner_orders/36a_h05_assignment_walker_final_source_verifier.md,3dbddb5aaa20b9f2915815d7b6109c6b6f6501712ff823fea4daa1439fdb86e4,6097
prior_dispatch,audit/report_harmonization/report017_h05_order36a_dispatch_manifest.csv,049d3b4b15ba8f0f6efd76265ef2649f313ec6ea7bd0e4f98ac5dd5bd9646e9e,3744
owner_stopped_state,audit/hypotheses/H05/report017_order36a_assignment_walker/order36a_stopped_state.md,36c4242f14c520db7c4a71e0f8dad07455fddaafbf995af5399e68c2f652ceb2,4056
owner_stopped_manifest,audit/hypotheses/H05/report017_order36a_assignment_walker/order36a_stopped_state_manifest.csv,ea41cbcdbd0f3ee6a57835898d25d3ec54694672a5bfb19f3e11ca51f50a4433,6538
snapshot_manifest,audit/hypotheses/H05/report017_order36a_assignment_walker/order36a_seven_row_snapshot_manifest.csv,84889363af60d0f973ccc5c56190db2516475e2c77912968d845f4e315997371,1778
prior_verifier_diff,audit/hypotheses/H05/report017_order36a_assignment_walker/verifier_assignment_walker_exact.diff,02acb306f6ba6c0ca3aafa199adc42a538aba6db53f17fab06f4e33dac49f6ed,769
prior_reverse_proof,audit/hypotheses/H05/report017_order36a_assignment_walker/verifier_assignment_walker_reverse_proof.csv,f1877155f116fe698aebe39cee46a639ca6a94e44d669ec68eb289f3a3063a9e,526
failed_source_manifest,audit/hypotheses/H05/report017_order36/H05_report017_order36_source_manifest.csv,70ed24b61d942b4e5d8e97539fb40ce5cf93fcb21b3d06323cb53c435b619b60,25002
failed_defect_list,audit/hypotheses/H05/report017_order36/defect_list.csv,29c44fc01304f3a92fb6cb32f8e578f3721b45a1106ba15bf79a97af36ab4952,2303
failed_bounded_audit,audit/hypotheses/H05/report017_order36/bounded_audit.md,fb89602246456be99c850787d5e6658b0c4a5bc8ee556109d2de63f7eec24309,3572
failed_execution_record,audit/hypotheses/H05/report017_order36/execution_record.md,3db5219d41f27b1df9d42cde5a62583a38bdbbf98672a5cc7fec254b13225101,995
result_source,notebooks/hypotheses/H05.qmd,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,74309
companion_source,audit/hypotheses/H05/H05_analysis_preparation.qmd,0a5296442b46c8b9e43773d97eb979ffbbf3512faabe6f4399da2214d38cb81c,75630
owner_handoff,audit/handoffs/H05_stage4_handoff.md,71a8d4664504da7b6e621d5b24aa699df793ee120373ae28aeb75d1c980246da,19132
mutable_verifier,tests/hypotheses/H05/test_h05_report017_source_harmonization.R,a39c924b5ed35eb7ed20093574b766d23ab5e7abd001e32b6792f452bde080da,60058
sealed_pre_edit,/private/tmp/h05-report017-order36.pdKad8/H05.qmd.pre,b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c,70979
sealed_pre_edit,/private/tmp/h05-report017-order36.pdKad8/H05_analysis_preparation.qmd.pre,f7d7d3ef4bdf9b29403e85592b7dd2737f7e3c9dcfdc0ff7275eeefa7735c28f,74171
sealed_pre_edit,/private/tmp/h05-report017-order36.pdKad8/H05_stage4_handoff.md.pre,896205d9b7f0403e7cb70023ebb392526e58a30825c4d2b151488098602018b4,14619
profile,_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480
lockfile,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493
controlling_manifest,audit/report_harmonization/report017_h05_consolidated_audit_manifest.csv,b3e29a03f349e6ffa4cf1ab0adf5f39e8d6262fe4f2f38efdd51ccc63a59f452,4271
