"authority","project_relative_path","bytes","sha256","role"
"central","audit/report_harmonization/brown_stage3_stage4_paired_language_read_only_audit.md",9189,"4c28cebece937a0d8f34f5c1a41b3272fdfaf9c916e9cd0885fa91bc17bc44f2","read_only_audit"
"central","audit/report_harmonization/brown_stage3_stage4_language_change_matrix.csv",29488,"4f684d62236658b3bc7ae6fdfc37984fcb2bfc727e151842144e53e83c8aafae","exact_34_action_matrix"
"central","audit/report_harmonization/owner_orders/brown_stage3_stage4_language_harmonization_source_only_proposed_dispatch.md",9363,"d0c015860627efbdd4802fbd23f2119c74087053684d476c2e535fcc486ad345","proposed_owner_order"
"central","scripts/report_harmonization/check_brown_stage3_stage4_paired_language_audit.R",14787,"bf335549abbcf6966a09684351dfec973f63732e74bcf65877d87688d7d08d9f","read_only_checker"
"central","audit/decisions/brown_adherence_cross_state_stage4_acceptance_and_language_harmonization_transition.md",7972,"3bf604c4ad60a8ef3efb452626598306f5e473b341781e89a84218b6eb9a7583","controlling_transition"
"central","audit/report_harmonization/owner_orders/brown_stage3_stage4_language_harmonization_source_only.md",7229,"4b1f1857e66cb486fcc94fe1e65bbc47cda39e7cd33f34efbf79081b9e24a89a","queued_source_authority"
"central","audit/report_harmonization/vocabulary_proposal.csv",12513,"4ecd5d1d4d9249d258967245afe7c4ee7ef3ce69289f37bc30033bc1d0637f1c","reader_vocabulary_authority"
"central","audit/report_harmonization/crosslink_plan.csv",4285,"96df3d7f24928785bbb042817ab6ec2b027a0fc4befacd02baaa138b9970c141","reader_crosslink_authority"
"central","audit/report_harmonization/report018_h06_daily_order49c_independent_acceptance.md",4606,"69a7eccb5d214761896ea6d0e04b13034bdf65787bd83831252139aa80c564cc","serial_safe_point"
"central","audit/report_harmonization/report018_h06_daily_order49c_independent_acceptance_manifest.csv",5510,"f5f883bd829dbd843d4878999349a8d78bed62468ae0824a3009a27846859d72","serial_safe_point_seal"
"central","audit/decisions/brown_adherence_cross_state_stage4_semantic_repair_independent_acceptance.md",6479,"35cfb2b616f88a8036a2c277262046cd5b0aeaae8e22007c9a3ab0a439a0a62e","stage4_semantic_acceptance"
"central","audit/decisions/brown_adherence_cross_state_stage4_semantic_repair_independent_acceptance_verification.md",2122,"dd2edcf1bcaf4a112e538cde9bc726d0bffeb812438db98c33e40f38417d107d","stage4_semantic_verification"
"central","audit/decisions/brown_adherence_cross_state_stage4_semantic_repair_independent_acceptance_manifest.csv",7573,"fae90c39845ebcf0eb02cb3032e01d4ed0c35557295e748d2ba6e4d82b356068","stage4_semantic_seal"
"brown","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",52506,"80bd2167095dfcf025de7f79baa495c111641cbd02622345e9c5641225aa0997","stage3_source"
"brown","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.html",4808772,"9a4f89f2291eaa8926a429a1e12acdc4d7de8d9ca47d37db5801fbd4d5b35fe0","stage3_html"
"brown","audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",24147,"642a004048182d18225c34f6f06819838f801f5c23c03fd03bf52119f5430d29","stage4_source"
"brown","audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.html",4340432,"c32f4a20da7533e1ae722b0bbad6b4e822889ac14bbbddf0ef0303a8ea1e9f3f","stage4_html"
