check,viewport_or_surface,observed,acceptance_rule,status
desktop_page_width,1440x1000,"client width 1425 px; scroll width 1425 px","no page-level horizontal overflow",PASS
narrow_page_width,708x1000,"client width 693 px; scroll width 693 px","no page-level horizontal overflow",PASS
native_tables,narrow,"27 tables; three wider than the content column; all three use contained horizontal scrolling","desktop usable and narrow overflow contained",PASS
table_text,narrow,"minimum measured table text 9.3 px; visually legible","reader-usable HTML table text",PASS
figures,narrow,"four endpoints; each displayed at 642 px within the 667.5 px content edge","no clipping or page overflow",PASS
analysis_map,narrow,"top-down Mermaid 642 px wide; minimum rendered text 16 px","labels legible with no clipping or overlap",PASS
page_zoom,200-percent-equivalent,"clean wrapping; tables usable; figures and Mermaid inside content edge","no harmful overflow or overlap",PASS
stored_pngs,native-final-size,"all four stored PNGs inspected; labels readable and unclipped","exported PNGs are the controlling final-size figure check",PASS
errors,all_views,"zero embedded error warning or stderr nodes","no rendered execution defect",PASS
loopback_lifecycle,127.0.0.1:49317,"served only the exact H03 companion route; server stopped; no listener remained; viewport reset; QA tabs closed","secure-loopback lifecycle complete",PASS
