kind,context,expression,observed,expected,pass
literal,site,"<main class=""content column-body"" id=""quarto-document-content"">",1,1,TRUE
literal,manuscript,"<main class=""content page-columns page-full"" id=""quarto-document-content"">",1,1,TRUE
literal,site,"<meta name=""author""",1,1,TRUE
literal,manuscript,"<meta name=""author""",28,28,TRUE
literal,site,</title>,1,1,TRUE
literal,manuscript,</title>,1,1,TRUE
literal,site,"<nav id=""TOC""",1,1,TRUE
literal,manuscript,"<nav id=""TOC""",1,1,TRUE
literal,manuscript,"<h2 id=""toc-title"">Table of contents</h2>",1,1,TRUE
literal,manuscript,"<style type=""text/css"">div.manuscript-table,",1,1,TRUE
literal,site,</head>,1,1,TRUE
literal,site,"<div class=""modal fade"" id=""quarto-embedded-source-code-modal""",1,1,TRUE
literal,site,</div> <!-- /content -->,1,1,TRUE
literal,site,"<header id=""quarto-header""",1,1,TRUE
literal,site,"<footer class=""footer"">",1,1,TRUE
literal,site,"<nav class=""page-navigation column-body"">",1,1,TRUE
xpath,site,//main,1,1,TRUE
xpath,site,//nav[@id='TOC'],1,1,TRUE
xpath,site,//header[@id='quarto-header'],1,1,TRUE
xpath,site,"//footer[contains(concat(' ',normalize-space(@class),' '),' footer ')]",1,1,TRUE
xpath,site,"//nav[contains(concat(' ',normalize-space(@class),' '),' page-navigation ')]",1,1,TRUE
xpath,site,//meta[@name='author'],1,1,TRUE
xpath,manuscript,//main,1,1,TRUE
xpath,manuscript,//nav[@id='TOC'],1,1,TRUE
xpath,manuscript,//meta[@name='author'],28,28,TRUE
xpath,manuscript,"//main//p[contains(concat(' ',normalize-space(@class),' '),' author ')]",28,28,TRUE
xpath,manuscript,"//table[contains(concat(' ',normalize-space(@class),' '),' gt_table ')]",19,19,TRUE
xpath,manuscript,//main//img,74,74,TRUE
xpath,manuscript,"//main//a[starts-with(@href,'#')]",124,124,TRUE
xpath,candidate,//main,1,1,TRUE
xpath,candidate,//nav[@id='TOC'],1,1,TRUE
xpath,candidate,//header[@id='quarto-header'],1,1,TRUE
xpath,candidate,//meta[@name='author'],28,28,TRUE
xpath,candidate,"//main//p[contains(concat(' ',normalize-space(@class),' '),' author ')]",28,28,TRUE
xpath,candidate,"//table[contains(concat(' ',normalize-space(@class),' '),' gt_table ')]",19,19,TRUE
xpath,candidate,//main//img,74,74,TRUE
xpath,candidate,"//main//a[starts-with(@href,'#')]",124,124,TRUE
xpath,candidate,"//a[contains(translate(@href,'DOCX','docx'),'.docx')]",1,1,TRUE
xpath,candidate,//*[@id='fig-s6']//img,1,1,TRUE
xpath,candidate,//*[@id='fig-s8']//img,1,1,TRUE
xpath,candidate,//*[@id='fig-s12']//img,1,1,TRUE
xpath,candidate,"//*[@id='tbl-metric-context']//img[contains(concat(' ',normalize-space(@class),' '),' metric-density-thumb ')]",17,17,TRUE
xpath,candidate,//nav[@id='TOC']//a,42,42,TRUE
xpath,candidate,"//nav[@id='TOC']//a[starts-with(@href,'#')]",39,39,TRUE
xpath,candidate,//script,20,20,TRUE
semantic,candidate,ordered_author_meta_exact,28,28,TRUE
semantic,candidate,duplicate_ids,0,0,TRUE
semantic,candidate,table_header_tokens,2762,2762,TRUE
semantic,candidate,manuscript_main_children_exact,16,16,TRUE
semantic,candidate,brown_svg_exact,1,1,TRUE
