"role","path","sha256","bytes","note"
"stage_c_verification","audit/report_harmonization/report017_h01_gt_semantic_post_render_integration_verification.md","4d9c1a57d1eb8d46b575a89113357215b47a62429520de1367ecab6000441742",8639,"source-only Stage C verification; no render"
"controlling_order","audit/report_harmonization/owner_orders/31d_h01_gt_semantic_post_render_integration.md","3f19729b3d60a76ae34d443e138517709b19a446899dbca221ce2653f2264f74",4828,"bounded Stage C integration order"
"post_render_wrapper","scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,"profile-specific fail-closed post-render wrapper"
"stage_c_focused_test","tests/report_harmonization/test_post_render_gt_html_semantics.R","696e3308275d366dcc4aefb8e60c36d7c4c42d02a88402e3d06717b6383d0fae",16662,"temporary-copy Quarto-environment and rollback test"
"post_hook_profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"one post-render declaration added; 37 render sources preserved"
"accepted_repair_engine","scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"accepted Stage A raw-attribute repair engine"
"accepted_stage_a_test","tests/report_harmonization/test_gt_html_semantic_repair.R","d5d06f831c7b09690b63fbc39f6f37d745fcbb8644197415541d767702523db6",3885,"historical pre-hook Stage A temporary-copy test preserved"
"stage_a_mapping","audit/report_harmonization/report017_h01_gt_semantic_dry_run_mapping.csv","b9971f45a91af81bfdd34fef6a32a2bab44f864895aab5807e2a0d53c88c5d8f",1620684,"accepted 5,581-row reversible mapping"
"stage_a_summary","audit/report_harmonization/report017_h01_gt_semantic_dry_run_summary.csv","fd9793bdc29f1b79206eea22d420b5a0c78b3cdc89d923d4fa7e0d5e1b883be1",1886,"accepted Stage A execution summary"
"stage_a_verification","audit/report_harmonization/report017_h01_gt_semantic_dry_run_verification.md","dd285eeebf9a33f5cc4c2ebc2dc376c5b77335988fb926d70cf1e917c66ddcec",8195,"accepted Stage A verification"
"stage_a_manifest","audit/report_harmonization/report017_h01_gt_semantic_dry_run_manifest.csv","1a65158c8b0f5d2d6b9eae920eb717473d4987be8ed6af0a1fd6beecd538ede1",2719,"accepted Stage A non-circular manifest"
"stage_b_acceptance","audit/report_harmonization/report017_h01_order31b_source_test_independent_acceptance.md","a0c81ff5f916d6a66c6a350b65a1f4a1eae020844799a37f5692409f77e475c2",4049,"accepted FDR display-label source/test stage"
"order31c_acceptance","audit/report_harmonization/report017_h01_order31c_manifest_reseal_independent_acceptance.md","aeeff0d65c9c22aaa2226077fc14d565133d9d8c5c3ed3d7af71181daf466f55",3611,"accepted H01 reporting-manifest reseal"
"accepted_h01_source","notebooks/hypotheses/H01.qmd","31c477fae21e0506521d27147cd3f1ea33941dac4c0a6e3a6d485f5acbc129a6",90640,"current H01 result source preserved"
"accepted_h01_companion","audit/hypotheses/H01/H01_analysis_preparation.qmd","962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8",54405,"current H01 companion source preserved"
"accepted_h01_test","tests/hypotheses/H01/test_h01_reporting_inputs.R","ab648ac80bc1c8a149a11bb958fd683b38722487c53179b42b215a2b000e6fd5",21025,"complete H01 reporting test preserved and passing"
"accepted_reporting_manifest","artifacts/12_manifests/H01_reporting_artifacts.csv","d0ed8e0c62579597f11c3fa701af35b5016e4921bee0000d2fd700b719f25079",11054,"49-row reporting manifest preserved"
"accepted_stage3_manifest","artifacts/12_manifests/H01_stage3_reporting_artifacts.csv","08da3090e895f8d99f3a4a32eddb2a3c9d8582076ed2fe69d1b5795a8415a54f",22735,"95-row Stage 3 reporting manifest preserved"
"sealed_h01_html","_build/nathealth/notebooks/hypotheses/H01.html","ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72",1371249,"durable pre-render H01 HTML intentionally unchanged"
"stored_l10_support","artifacts/09_tables/H01/stage3/H01_stage3_l10_noon_sensitivity.csv","5814d5518ab23b3578dac54b19c6c6deea46e8d76aff2f3a6e30bce28752a26a",3003,"stored H01 display source preserved"
"base_profile","_quarto.yml","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,"base Quarto profile preserved"
"website_profile","_quarto-website.yml","f0327d16ca5b402893c920d14c32b33975ca8d1e954f1d1e5a1ef5e26313e8f9",269,"website profile preserved"
