"role","path","sha256","bytes","verification_mode","note"
"dry_run_verification","audit/report_harmonization/report017_h01_gt_semantic_dry_run_verification.md","dd285eeebf9a33f5cc4c2ebc2dc376c5b77335988fb926d70cf1e917c66ddcec",8195,"live","Stage A implementation, temporary-copy verification, and post-order-31c final dependency refresh"
"dry_run_summary","audit/report_harmonization/report017_h01_gt_semantic_dry_run_summary.csv","fd9793bdc29f1b79206eea22d420b5a0c78b3cdc89d923d4fa7e0d5e1b883be1",1886,"live","pre/post hashes, counts, versions, and preservation summary"
"mapping_ledger","audit/report_harmonization/report017_h01_gt_semantic_dry_run_mapping.csv","b9971f45a91af81bfdd34fef6a32a2bab44f864895aab5807e2a0d53c88c5d8f",1620684,"live","5,581 reversible raw-attribute substitutions"
"repair_script","scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"live","fail-closed raw-byte repair engine"
"focused_test","tests/report_harmonization/test_gt_html_semantic_repair.R","d5d06f831c7b09690b63fbc39f6f37d745fcbb8644197415541d767702523db6",3885,"live","independent temporary-copy and six-live-protection test after order 31c"
"diagnostic_scope_audit","scripts/report_harmonization/check_h01_gt_accessibility_scope.R","0a30a240d2756753396e170995b38d4e312ee320d81f651109e1404ccaabce7c",3266,"live","confirmed gt 1.3.0 defect scope"
"accepted_h01_html","_build/nathealth/notebooks/hypotheses/H01.html","ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72",1371249,"live","unchanged durable H01 result HTML"
"historical_h01_source_at_dry_run","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",90547,"historical_execution_identity","H01 result source used during the original Stage A dry run; current order 31b source is separately sealed"
"accepted_h01_companion","audit/hypotheses/H01/H01_analysis_preparation.qmd","962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8",54405,"live","unchanged accepted companion source"
"accepted_profile","_quarto-nathealth.yml","5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565",7404,"live","unchanged Nature Health profile with no repair hook"
"accepted_order31a_stop","audit/report_harmonization/report017_h01_order31a_stop_independent_acceptance.md","7cf9d2f1b6089d3136f6abda67c76c14f96c9f5f105fd975ea16bae77beeb740",5047,"live","independent classification controlling the dry run"
"order31b_source_only","audit/report_harmonization/owner_orders/31b_h01_fdr_display_label_source_only.md","6b7b10ef378ccfc593bbeaeb6462db38731420ef5e816043279248671a5392a0",3787,"live","separate H01 compact FDR display order"
