"audit_id","document","reader_surface","current_label_tokens","token_count","classification","bounded_disposition"
"BROWN-BA-M-AUDIT-001","Stage 3","Main Figure 3 orientation prose","BA-M4; BA-M6",2,"UNTRANSLATED_READER_LABEL","Replace both codes with the two scientific comparison questions."
"BROWN-BA-M-AUDIT-002","Stage 3","Main Figure 3 localization prose","BA-M6",1,"UNTRANSLATED_READER_LABEL","Replace the code with departures from the state-specific site-average estimate."
"BROWN-BA-M-AUDIT-003","Stage 3","Main Figure 3 caption","BA-M4; BA-M6",2,"UNTRANSLATED_READER_LABEL","Replace only the two codes with differences from zero and departures from the state-specific site-average estimate."
"BROWN-BA-M-AUDIT-004","Stage 3","Main Figure 3 accessible description","BA-M4; BA-M6; BA-M4",3,"UNTRANSLATED_READER_LABEL","Replace only the three codes with the corresponding scientific marker meanings."
"BROWN-BA-M-AUDIT-005","Stage 3","Embedded Figure 3 subtitle","BA-M4; BA-M6",2,"UNTRANSLATED_DISPLAY_LABEL","Replace the two codes and equal-site wording with differences from zero and departures from the site average."
"BROWN-BA-M-AUDIT-006","Stage 3","Embedded Figure 3 legend","BA-M4; BA-M4; BA-M6",3,"UNTRANSLATED_DISPLAY_LABEL","Use compact versus-zero and versus-site-average legend labels while retaining the exact FDR inequalities and symbols."
"BROWN-BA-M-AUDIT-007","Stage 3","Embedded Figure 3 footer","none",0,"DEPENDENT_INTERNAL_TERM","Replace state-specific equal-site estimate with state-specific site-average estimate in the same terminology-only display refresh."
"BROWN-BA-M-AUDIT-008","Stage 4","Separate inferential families prose","BA-M4; BA-M6",2,"TRANSLATED_AT_POINT_OF_USE","Retain. Each code is immediately defined by its scientific comparison."
"BROWN-BA-M-AUDIT-009","Stage 4","Multiplicity-family table","BA-M1; BA-M2; BA-M3; BA-M4; BA-M5; BA-M6; BA-CS-M1",7,"TRANSLATED_IN_ADJACENT_SCOPE_COLUMN","Retain the provenance identifiers and all seven rows. The adjacent Scope column supplies the scientific meaning."
"BROWN-BA-M-AUDIT-010","Stage 4","Site-specific-differences section heading and table of contents","BA-M6",1,"TRANSLATED_IN_HEADING","Retain. The scientific estimand precedes the code in the same heading."
"BROWN-BA-M-AUDIT-011","Stage 4","Stored-covariance derivation prose","BA-M6; BA-M4; BA-M1; BA-M5; BA-M5",5,"PARTLY_UNTRANSLATED_TECHNICAL_PROSE","Translate every component at point of use while retaining each code as a provenance identifier."
"BROWN-BA-M-AUDIT-012","Stage 4","Derivation and localization table captions and derivation display column","BA-M6; BA-M6; BA-M6",3,"UNTRANSLATED_READER_LABEL","Expand each display label to the scientific estimand and retain BA-M6 in parentheses."
"BROWN-BA-M-AUDIT-013","Stage 4","How to verify the analysis items 5 and 6","BA-M1; BA-M6; BA-CS-M1; BA-M6; BA-M1; BA-M4; BA-M5",7,"UNTRANSLATED_TECHNICAL_INSTRUCTION","Refer item 5 to the fully translated multiplicity table and translate every component in item 6 at point of use."
"BROWN-BA-M-AUDIT-014","Stage 4","Quarto embedded source-code modal","17 source reflections",17,"TECHNICAL_SOURCE_REFLECTION","Do not rewrite technical chunk IDs, object names, input column names, or file paths. Require the normal report body to translate every displayed provenance code and require the source modal to retain the matching display-label mapping."
