"check","observed","expected","status","r_version","digest_version","xml2_version"
"owner manifest columns","scope|path|sha256|bytes","scope|path|sha256|bytes","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest rows","109","109","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest paths unique","109","109","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest non-circular","0","0","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest live identities","109","109","PASS","4.6.1","0.6.39","1.6.0"
"identity: audit/hypotheses/H07/report018_order53a_companion_no_rerender_completion/ORDER53A_COMPLETION.md","aed7f2b3b59768c7244b7ef6b463089776096ecd14e9905aef92b80b6f6ca8f1/2069","aed7f2b3b59768c7244b7ef6b463089776096ecd14e9905aef92b80b6f6ca8f1/2069","PASS","4.6.1","0.6.39","1.6.0"
"identity: audit/hypotheses/H07/report018_order53a_companion_no_rerender_completion/order53a_evidence_manifest.csv","07d97047e534799483b58302e829892201d970aa253976f0e1413019e7c8c40d/21724","07d97047e534799483b58302e829892201d970aa253976f0e1413019e7c8c40d/21724","PASS","4.6.1","0.6.39","1.6.0"
"identity: notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226/45440","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226/45440","PASS","4.6.1","0.6.39","1.6.0"
"identity: _build/nathealth/notebooks/hypotheses/H07.html","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40/265730","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40/265730","PASS","4.6.1","0.6.39","1.6.0"
"identity: audit/hypotheses/H07/H07_analysis_preparation.qmd","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b/49762","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b/49762","PASS","4.6.1","0.6.39","1.6.0"
"identity: _build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.qmd","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b/49762","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b/49762","PASS","4.6.1","0.6.39","1.6.0"
"identity: _build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93/654955","4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93/654955","PASS","4.6.1","0.6.39","1.6.0"
"identity: artifacts/12_manifests/H07/H07_preparation_report_manifest.csv","db1b00058848d27eed9d5ece9d9eae97851d1bdc997c4f2fe28d2ce9abd3c8e2/335146","db1b00058848d27eed9d5ece9d9eae97851d1bdc997c4f2fe28d2ce9abd3c8e2/335146","PASS","4.6.1","0.6.39","1.6.0"
"identity: _quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3/7480","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3/7480","PASS","4.6.1","0.6.39","1.6.0"
"static_acceptance_checks.csv all PASS","26/26","26/26","PASS","4.6.1","0.6.39","1.6.0"
"order53a_completion_reconciliation.csv all PASS","23/23","23/23","PASS","4.6.1","0.6.39","1.6.0"
"qa_screenshot_manifest.csv all PASS","36/36","36/36","PASS","4.6.1","0.6.39","1.6.0"
"QA screenshot identities","36","36","PASS","4.6.1","0.6.39","1.6.0"
"post-QA build preservation","851/851","851/851","PASS","4.6.1","0.6.39","1.6.0"
"post-QA protected preservation","1404/1404","1404/1404","PASS","4.6.1","0.6.39","1.6.0"
"canonical source-side cleanup","16/16","16/16","PASS","4.6.1","0.6.39","1.6.0"
"preparation manifest live identities","1235/1235","1235/1235","PASS","4.6.1","0.6.39","1.6.0"
"semantic_replay.csv all PASS","6/6","6/6","PASS","4.6.1","0.6.39","1.6.0"
"semantic_invariance_replay.csv all PASS","7/7","7/7","PASS","4.6.1","0.6.39","1.6.0"
"semantic counts table/id/headers/total","21/116/734/850","21/116/734/850","PASS","4.6.1","0.6.39","1.6.0"
"unique main element","1","1","PASS","4.6.1","0.6.39","1.6.0"
"duplicate document IDs","0","0","PASS","4.6.1","0.6.39","1.6.0"
"native gt tables","21","21","PASS","4.6.1","0.6.39","1.6.0"
"two unique PNG figure endpoints","1/1","1/1","PASS","4.6.1","0.6.39","1.6.0"
"one top-down Mermaid","1/TD","1/TD","PASS","4.6.1","0.6.39","1.6.0"
"table header tokens","1144","1144","PASS","4.6.1","0.6.39","1.6.0"
"table header resolution","TRUE","TRUE","PASS","4.6.1","0.6.39","1.6.0"
"reader links and controls","405/3","405/3","PASS","4.6.1","0.6.39","1.6.0"
"figure_170mm_contract_replay.csv all PASS","2/2","2/2","PASS","4.6.1","0.6.39","1.6.0"
"170-mm effective text floor","7.8740157480315",">=7","PASS","4.6.1","0.6.39","1.6.0"
"loopback teardown and capability classification","1/5","NON_DEFECT=1/PASS=5","PASS","4.6.1","0.6.39","1.6.0"
