"check","observed","expected","status","r_version","digest_version","prospective_manifest_rows_before_render","expected_manifest_rows_after_render"
"release pin rows","34","34","PASS","4.6.1","0.6.39",449,450
"release pin paths unique","34","34","PASS","4.6.1","0.6.39",449,450
"release pin set non-circular","0","0","PASS","4.6.1","0.6.39",449,450
"release pin identities","34","34","PASS","4.6.1","0.6.39",449,450
"result acceptance manifest","37/37","37/37","PASS","4.6.1","0.6.39",449,450
"R chunks","22","22","PASS","4.6.1","0.6.39",449,450
"R chunk parse","22","22","PASS","4.6.1","0.6.39",449,450
"table endpoint order","tbl-h09-prep-input-identities|tbl-h09-prep-integrity-checks|tbl-h09-prep-score-audit|tbl-h09-prep-predictor-contract|tbl-h09-prep-metric-contract|tbl-h09-prep-primary-samples|tbl-h09-prep-common-samples|tbl-h09-prep-primary-formulas|tbl-h09-prep-sensitivity-formulas|tbl-h09-prep-families|tbl-h09-prep-diagnostic-summary|tbl-h09-prep-sensitivity-map|tbl-h09-prep-boundary|tbl-h09-prep-intermediate-artifacts|tbl-h09-prep-code-map|tbl-h09-prep-script-map|tbl-h09-prep-reader-manifest-check|tbl-h09-prep-key-output-identities|tbl-h09-prep-execution","tbl-h09-prep-input-identities|tbl-h09-prep-integrity-checks|tbl-h09-prep-score-audit|tbl-h09-prep-predictor-contract|tbl-h09-prep-metric-contract|tbl-h09-prep-primary-samples|tbl-h09-prep-common-samples|tbl-h09-prep-primary-formulas|tbl-h09-prep-sensitivity-formulas|tbl-h09-prep-families|tbl-h09-prep-diagnostic-summary|tbl-h09-prep-sensitivity-map|tbl-h09-prep-boundary|tbl-h09-prep-intermediate-artifacts|tbl-h09-prep-code-map|tbl-h09-prep-script-map|tbl-h09-prep-reader-manifest-check|tbl-h09-prep-key-output-identities|tbl-h09-prep-execution","PASS","4.6.1","0.6.39",449,450
"figure endpoint order","fig-h09-prep-sample-support","fig-h09-prep-sample-support","PASS","4.6.1","0.6.39",449,450
"top-down Mermaid","1","1","PASS","4.6.1","0.6.39",449,450
"forbidden scientific calls","","none","PASS","4.6.1","0.6.39",449,450
"relative reader targets resolve","23/23","23/23","PASS","4.6.1","0.6.39",449,450
"dynamic result links","../../../notebooks/hypotheses/H09.qmd|../../../notebooks/hypotheses/H09.qmd#h09-preregistration-deviations","../../../notebooks/hypotheses/H09.qmd|../../../notebooks/hypotheses/H09.qmd#h09-preregistration-deviations","PASS","4.6.1","0.6.39",449,450
"profile adjacency","41/42","single adjacent entries","PASS","4.6.1","0.6.39",449,450
"stale build QMD","4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c","source differs before helper","PASS","4.6.1","0.6.39",449,450
"held companion HTML","593181/4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05","593181/4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05","PASS","4.6.1","0.6.39",449,450
"historical source-side HTML","593181/4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05","593181/4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05","PASS","4.6.1","0.6.39",449,450
"current preparation manifest rows","132","132","PASS","4.6.1","0.6.39",449,450
"current preparation manifest uniqueness","132","132","PASS","4.6.1","0.6.39",449,450
"current preparation manifest exact rows","113","113","PASS","4.6.1","0.6.39",449,450
"current preparation manifest expected mismatches","_build/nathealth/notebooks/hypotheses/H09.html|_quarto-nathealth.yml|artifacts/06_model_data/H09/H09_base_bundle_audit.csv|artifacts/06_model_data/H09/H09_input_audit.csv|artifacts/10_figures/H09/H09_diagnostics_chest.pdf|artifacts/10_figures/H09/H09_diagnostics_chest.png|artifacts/10_figures/H09/H09_diagnostics_near_eye.pdf|artifacts/10_figures/H09/H09_diagnostics_near_eye.png|artifacts/10_figures/H09/H09_paired_placement_effects.pdf|artifacts/10_figures/H09/H09_paired_placement_effects.png|artifacts/10_figures/H09/H09_primary_effects.pdf|artifacts/10_figures/H09/H09_primary_effects.png|artifacts/12_manifests/H09/H09_figure_manifest.csv|audit/decisions/figure_readability_and_layout.md|audit/hypotheses/H09/H09_analysis_preparation.qmd|config/metric_display_registry.csv|notebooks/hypotheses/H09.qmd|scripts/hypotheses/H09/h09_contract.R|scripts/hypotheses/H09/run_h09_stage2.R","_build/nathealth/notebooks/hypotheses/H09.html|_quarto-nathealth.yml|artifacts/06_model_data/H09/H09_base_bundle_audit.csv|artifacts/06_model_data/H09/H09_input_audit.csv|artifacts/10_figures/H09/H09_diagnostics_chest.pdf|artifacts/10_figures/H09/H09_diagnostics_chest.png|artifacts/10_figures/H09/H09_diagnostics_near_eye.pdf|artifacts/10_figures/H09/H09_diagnostics_near_eye.png|artifacts/10_figures/H09/H09_paired_placement_effects.pdf|artifacts/10_figures/H09/H09_paired_placement_effects.png|artifacts/10_figures/H09/H09_primary_effects.pdf|artifacts/10_figures/H09/H09_primary_effects.png|artifacts/12_manifests/H09/H09_figure_manifest.csv|audit/decisions/figure_readability_and_layout.md|audit/hypotheses/H09/H09_analysis_preparation.qmd|config/metric_display_registry.csv|notebooks/hypotheses/H09.qmd|scripts/hypotheses/H09/h09_contract.R|scripts/hypotheses/H09/run_h09_stage2.R","PASS","4.6.1","0.6.39",449,450
"historical companion test classifications","3/3","3/3","PASS","4.6.1","0.6.39",449,450
"helper confinement and non-circularity","3/3","3/3","PASS","4.6.1","0.6.39",449,450
"prospective helper inventory before render","449/0","449/0","PASS","4.6.1","0.6.39",449,450
"companion figure frozen source","108/108","108/108","PASS","4.6.1","0.6.39",449,450
"scientific preservation phrases","9/9","9/9","PASS","4.6.1","0.6.39",449,450
"phase4 H09 historical classification","2/2","2/2","PASS","4.6.1","0.6.39",449,450
"build files","851","851","PASS","4.6.1","0.6.39",449,450
"build symlinks","0","0","PASS","4.6.1","0.6.39",449,450
"Quarto version","1.9.37","1.9.37","PASS","4.6.1","0.6.39",449,450
