"source","target_kind","links"
"audit/hypotheses/implementation_result_comparison_contract.qmd","dynamic_qmd",1
"index.qmd","dynamic_qmd",1
"notebooks/hypotheses/H01.qmd","dynamic_qmd",1
"notebooks/preparation/03_reference_profiles.qmd","dynamic_qmd",2
"index.qmd","external",9
"notebooks/preparation/05_model_input_acquisition.qmd","external",2
"audit/hypotheses/H01/H01_analysis_preparation.qmd","internal_html",2
"audit/hypotheses/H02/H02_analysis_preparation.qmd","internal_html",2
"audit/hypotheses/H03/H03_analysis_preparation.qmd","internal_html",1
"audit/hypotheses/H04/H04_analysis_preparation.qmd","internal_html",2
"audit/hypotheses/H05/H05_analysis_preparation.qmd","internal_html",2
"audit/hypotheses/H06/H06_analysis_preparation.qmd","internal_html",2
"audit/hypotheses/H07/H07_analysis_preparation.qmd","internal_html",2
"audit/hypotheses/H08/H08_analysis_preparation.qmd","internal_html",2
"audit/hypotheses/H09/H09_analysis_preparation.qmd","internal_html",1
"audit/hypotheses/H10/H10_analysis_preparation.qmd","internal_html",2
"audit/hypotheses/H11/H11_analysis_preparation.qmd","internal_html",1
"notebooks/hypotheses/H01.qmd","internal_html",1
"notebooks/hypotheses/H05.qmd","internal_html",1
"notebooks/hypotheses/H07.qmd","internal_html",1
"notebooks/hypotheses/H08.qmd","internal_html",1
"notebooks/hypotheses/H09.qmd","internal_html",1
"notebooks/hypotheses/H10.qmd","internal_html",1
"notebooks/hypotheses/H11.qmd","internal_html",1
"audit/hypotheses/H01/H01_analysis_preparation.qmd","other",3
"audit/hypotheses/H02/H02_analysis_preparation.qmd","other",1
"audit/hypotheses/H03/H03_analysis_preparation.qmd","other",6
"audit/hypotheses/H04/H04_analysis_preparation.qmd","other",2
"audit/hypotheses/H05/H05_analysis_preparation.qmd","other",20
"audit/hypotheses/H06/H06_analysis_preparation.qmd","other",4
"audit/hypotheses/H07/H07_analysis_preparation.qmd","other",7
"audit/hypotheses/H08/H08_analysis_preparation.qmd","other",18
"audit/hypotheses/H09/H09_analysis_preparation.qmd","other",15
"audit/hypotheses/H10/H10_analysis_preparation.qmd","other",10
"audit/hypotheses/H11/H11_analysis_preparation.qmd","other",4
"audit/hypotheses/implementation_result_comparison_contract.qmd","other",8
"index.qmd","other",24
"notebooks/hypotheses/H01.qmd","other",37
"notebooks/hypotheses/H03.qmd","other",18
"notebooks/hypotheses/H04.qmd","other",22
"notebooks/hypotheses/H05.qmd","other",21
"notebooks/hypotheses/H06.qmd","other",12
"notebooks/hypotheses/H07.qmd","other",4
"notebooks/hypotheses/H08.qmd","other",22
"notebooks/hypotheses/H09.qmd","other",17
"notebooks/hypotheses/H10.qmd","other",18
"notebooks/hypotheses/H11.qmd","other",13
"notebooks/preparation/01_import_state_alignment.qmd","other",3
"notebooks/preparation/03_reference_profiles.qmd","other",7
"notebooks/preparation/04_metric_derivation.qmd","other",3
"notebooks/preparation/05_model_input_acquisition.qmd","other",2
"notebooks/preparation/06_model_ready_datasets.qmd","other",2
"notebooks/preparation/07_example_days.qmd","other",3
"notebooks/sensitivity_battery.qmd","other",1
