"role","path","sha256","bytes","note"
"acceptance_record","audit/report_harmonization/report017_h06_daily_corpus_contract_repair_independent_acceptance.md","bf93932680e890243566d8229d6c897b4953cbea14eb830df4392cb65ec77975",3852,"independent structural-repair acceptance"
"corpus_builder","scripts/report_harmonization/build_phase4_corpus_manifest.R","c01f0dc86e25bcf4a37685515cd692e2007774a004a4e902eac5936521749e2e",7282,"accepted 37-source builder"
"navigation_test","tests/report_harmonization/test_navigation_contract.R","1ba59346328e8e4fb2aa898c5806313763711867514097969f5e4df1c22d3407",922,"accepted 37-source navigation contract"
"generated_manifest","audit/report_harmonization/phase4_corpus_manifest.csv","52baecfc4d40288cf26cbe259115abddb72f749eae7e538eebafae97ced6aafb",11872,"37 current reader sources and 36 existing HTML targets"
"accepted_profile","_quarto-nathealth.yml","5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565",7404,"unchanged Nature Health profile"
"accepted_h01_result_source","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",90547,"unchanged accepted H01 result source"
"accepted_h01_companion_source","audit/hypotheses/H01/H01_analysis_preparation.qmd","962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8",54405,"unchanged accepted H01 companion source"
"fresh_h01_result_html","_build/nathealth/notebooks/hypotheses/H01.html","ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72",1371249,"retained fresh H01 order 31 result HTML"
"reader_link_test","tests/report_harmonization/test_reader_links.R","3b4164069b36493a643886d87065cffd1b5ca644854d4e3be12db0ac9e8aee21",10233,"37-source reader-link contract passed"
"country_code_test","tests/report_harmonization/test_country_coded_site_names.R","aab0faa578f2e4a0de093247dec65b395837789a5c6211ee46669b82f6402c2b",3490,"37-source country-coded site-name contract passed"
