"role","path","sha256","bytes","note"
"acceptance_record","audit/report_harmonization/report017_h01_order31a_stop_independent_acceptance.md","7cf9d2f1b6089d3136f6abda67c76c14f96c9f5f105fd975ea16bae77beeb740",5047,"independent stop acceptance and disposition request"
"gt_accessibility_scope_audit","scripts/report_harmonization/check_h01_gt_accessibility_scope.R","0a30a240d2756753396e170995b38d4e312ee320d81f651109e1404ccaabce7c",3266,"R 4.6.1 scope audit and minimal gt 1.3.0 reproduction"
"owner_order","audit/report_harmonization/owner_orders/31a_h01_result_existing_html_semantic_visual_qa.md","cca90345dcbc6db724b25859aad99641d5599a108d7142d952363505063138d5",6456,"existing-HTML semantic and visual QA order"
"owner_verification","audit/report_harmonization/report017_h01_order31_result_render/verification_31a.md","c98e2479334dd3d5650d4dc05d9080b499929772730edc8426d8e0840e1be6a5",3651,"accepted mandatory stop record"
"owner_manifest","audit/report_harmonization/report017_h01_order31_result_render/manifest_31a.csv","0edbdbb322b73112ec4a4faab7451525aa411ca34d82d680e3bd7260cd05bfd7",11288,"56-entry owner identity manifest"
"duplicate_id_evidence","audit/report_harmonization/report017_h01_order31_result_render/duplicate_id_audit.csv","6d8663f2c6c4f15cb0a3604d30f8f66efd09937ad4aa3c88885b0be5b0c3eb32",22630,"document-level duplicate gt ID evidence"
"compact_bh_evidence","audit/report_harmonization/report017_h01_order31_result_render/compact_bh_audit.csv","2a074e84a57aff6c4d879c0f30d1666702a49e00e50e570e4250e401912b2cec",508,"eight compact reader cells"
"link_evidence","audit/report_harmonization/report017_h01_order31_result_render/link_audit.csv","f495be2c3dc34fb3210ce6fc2ec29cd8f669beed6d92b3b65271da858c85cda7",51843,"internal, shared pending, and external repository links"
"failure_summary","audit/report_harmonization/report017_h01_order31_result_render/semantic_failure_summary_31a.csv","621fa57dd87a8d9d4cdb7017491e560f9494264db19d3b7542432590ccf4b116",967,"four owner stop findings"
"accepted_h01_result_source","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",90547,"unchanged accepted H01 result source"
"accepted_h01_companion_source","audit/hypotheses/H01/H01_analysis_preparation.qmd","962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8",54405,"unchanged accepted H01 companion source"
"accepted_profile","_quarto-nathealth.yml","5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565",7404,"unchanged 37-source Nature Health profile"
"accepted_corpus_manifest","audit/report_harmonization/phase4_corpus_manifest.csv","52baecfc4d40288cf26cbe259115abddb72f749eae7e538eebafae97ced6aafb",11872,"accepted 37-source and 36-rendered-target corpus"
"fresh_h01_result_html","_build/nathealth/notebooks/hypotheses/H01.html","ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72",1371249,"preserved fresh order 31 result HTML"
"protected_h01_companion_html","_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38",667418,"unchanged protected companion HTML"
