role,project_relative_path,bytes,sha256
owner_order69b,audit/report_harmonization/owner_orders/69b_nature_health_word_footer_line_number_recovery.md,10094,2a563d1d237c84b87055cf2452797b43960eedde1d87ee6b3a4c17ac0f2b2f34
dispatch_manifest,audit/report_harmonization/report018_order69b_footer_line_number_recovery_dispatch_manifest.csv,2986,79f30002833cad3f593c5b7cd89e94fa6e61909ea71bbd689e63b762513ba4c0
dispatch_record,audit/report_harmonization/report018_order69b_footer_line_number_recovery_dispatch.md,1501,f6140f31760b5c3247c302f33e6326708a7b566ea4b38a771cd9f0d1606ec25b
dispatch_receipt,audit/report_harmonization/report018_order69b_footer_line_number_recovery_dispatch_receipt.md,1441,624a4313a211d3fb4386ac1053c85ab8ca7e1a00e0d3a79524fb88458117f288
dispatch_receipt_manifest,audit/report_harmonization/report018_order69b_footer_line_number_recovery_dispatch_receipt_manifest.csv,757,22cda727516274eef48cba1125785e815cf9889cb8dec3707bfceac59baa3a8f
owner_completion,audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/order69b_completion.md,5751,894e6201ea94f178185690b360d5c5f4ed6374f503b27f4bb354b1cf3a649b39
owner_completion_manifest,audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/order69b_completion_manifest.csv,4609,a682c82ee1753f2d060945094cc83e477705efebc9c920a780b41bbfe6e03910
postprocessor_postimage,scripts/manuscript_nature_health/prepare_word_manuscript.py,31160,05ed9ca826757c643970a6d201fbcc15cfc83648d2ebdc8d44f707d85f214727
verified_candidate,audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/candidate_reference_styled_11pt_footerfix.docx,28792333,6cd592391f720829ed278a35e81c854ee7fd54eca6a4a4e664faad7b37310f91
accepted_canonical_docx,manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.docx,28792333,6cd592391f720829ed278a35e81c854ee7fd54eca6a4a4e664faad7b37310f91
structural_checks,audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/order69b_candidate_structural_checks.json,64589,67dbbbb279d7e8dde5c803a46e63ab22d7fd12e9e96b0f12e944ab9afa7084b5
page_inventory_summary,audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/order69b_docx_page_inventory_summary.json,2134,4f40530e5ad65fdc4fdbd62b12883f9c531977f46783f59d745fdc971aca0f9f
accepted_page_render,audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/docx_pages_11pt_footerfix/candidate_reference_styled_11pt_footerfix.pdf,14534582,bf80090749ff7e334422f8e584455b1c10ff147a01728745b71a8f984f559c73
postflight_stability,audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/order69b_postflight_stability.json,4861,b6f7b0e9b4a97c19778874987cd7ed13ebe5edc6585d4e418448e8fb4937e499
process_teardown,audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/order69b_process_teardown.md,605,4b4a0085dbf2271c13d9a4b2f238f56447651ffd5b4c3c59cb0a2ee0cd32cd44
frozen_manuscript_source,manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd,80774,9853f0bd462c8c6ed0e74dae8a7bae9a570fdc8ba6f13644dfbc0d88109657d0
accepted_nested_profile,manuscript/R0_NatHealth/_quarto.yml,482,c7c3fc8a96f1e65914cfb88c8d4de2bf8bcacb75fcf37902b262c79d2becae24
accepted_canonical_html,manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.html,30881505,8fba7308cf0f06362419a144628fe91ec9a2741551c72c7014fd278d76114fac
immutable_reference_docx,assets/reference.docx,60429,8c0cf634a4958aa05412de3f5f15aa92c40cbb5331a2319f761530472697e15f
website_preflight_inventory,audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/preflight_build_inventory.csv,140567,05c516493bc5ae43775ed940425c1577a9690cd4e552ac5086ea604c00fc4808
protected_corpus_manifest,audit/report_harmonization/phase4_corpus_manifest.csv,11479,5d66d43ddfa2858193603db656c0cd25c0c2229ea9bee3678dc4c56a9705855b
protected_website_index,_build/nathealth/index.html,405444,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184
independent_acceptance,audit/report_harmonization/report018_nature_health_order69b_word_independent_acceptance.md,4405,385ffe1a97e5219fe87378b17fe51b7698577e2c3c8c2a90289228638bcbfe73
