role,path,sha256,bytes,note
repaired_source,notebooks/placement_decision.qmd,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498,2425,reader-facing placement context after the approved bounded source repair
dispatch_config,_quarto-nathealth.yml,b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5,7031,unchanged before and after the target render
rendered_html,_build/nathealth/notebooks/placement_decision.html,672ccfb77050e373e447c2e552131f95dd579bb6027e6a66979c79b7c4a3824c,48597,Quarto 1.9.37 profile render with execution disabled
render_support,_build/nathealth/search.json,be603bfabb04512afce13546878088514f2bb9869924518a9a9b0c0bd6423711,1489213,updated search index for the repaired reader text
render_support,_build/nathealth/sitemap.xml,0204e3156cfd4192762e9024b5868431041b94e84652a4bc162615619c7841de,5219,updated sitemap containing the placement page exactly once
linked_source,notebooks/descriptives.qmd,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,25629,dynamic Descriptive results target
linked_html,_build/nathealth/notebooks/descriptives.html,2d88888c888bc6f89374bd43753c239329bb1b9dd33f0f6e466d5cece5556ce0,2197203,resolved rendered Descriptive results target
linked_source,notebooks/preparation/02_coverage_sample_flow.qmd,1bc72ab367443ef48727c7069ad9f58d950b00264e7ea78b5a72d05b4a979c50,28391,dynamic Preparation 02 target
linked_html,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,54f0c716963d5ce5736eb2b10817cee78c7a733762cacc9eb65005d7dcb452d9,312161,resolved rendered Preparation 02 target
structural_manifest,audit/report_harmonization/phase4_corpus_manifest.csv,b6d411ecb0dee70e79d35f196fbc67d81dc1f2277db2cbe962ef132142937518,11198,35 accepted sources and 34 currently rendered HTML files
exact_diff,audit/report_harmonization/report017_render_order_00c_source.diff,96853e71968a1b01096d0b80bb7d80058c367e0d3d427e3b2671e29b1ba83529,4251,exact unified source diff against the sealed pre-edit QMD
verification_record,audit/report_harmonization/report017_render_order_00c_verification.md,c6bbf955268f2129111edae201933ebe489f1830b3ba8c3d3e3192a2ab72ea40,5366,non-circular verification record
