role,path,sha256,bytes
continuation_order,audit/report_harmonization/owner_orders/39b_h02_companion_provenance_reconciliation_and_render.md,48bdc8e82180b52e03dc876bb4d4eeccc73310043a1a58bbee718014db40d710,12039
input_reconciliation,audit/report_harmonization/report018_h02_order39a_input_reconciliation.md,07d8c15833396cbcd86475358ab487a54210115ad5139f8bf7af1ddf4705a277,6690
input_reconciliation_evidence,audit/report_harmonization/report018_h02_order39a_input_reconciliation_evidence.csv,26c2922147bb0a0ef5ad6b34ce513a364823c3951dccaba2e525779e91261797,2978
input_reconciliation_manifest,audit/report_harmonization/report018_h02_order39a_input_reconciliation_manifest.csv,8aaf2725ec885dffd16a7c6061eec4716b636be9bd726dde2b1beebc68bfd82a,3463
coordination_evidence,audit/report_harmonization/coordination_matrix.csv,078f5eb92ca12507337c6f7e84cf8baa8eed330166e6d9a02da6dcedc316a474,26221
prior_order39a,audit/report_harmonization/owner_orders/39a_h02_companion_renv_startup_retry.md,37f64d36c4ef786421dff15fc772d6bfbe870e7163ecf376cf9b3d5e8f34361b,6954
prior_order39a_dispatch,audit/report_harmonization/report018_h02_companion_order39a_dispatch_manifest.csv,c3a6cf8d0ff3d2bc75cc5b6b18db131097b27bd3834d9e19b50c14adc01d9a67,4652
prior_startup_acceptance,audit/report_harmonization/report018_h02_companion_order39_startup_stop_acceptance.md,d6f71c3f08f468c5a92b0ea74ae5507e634b9f80235aaa9f7609e08ce611a231,5551
prior_startup_manifest,audit/report_harmonization/report018_h02_companion_order39_startup_stop_acceptance_manifest.csv,a9430b8e8ce5a7fad4177b4eacafadeda7e0d16f905b9b36cef1a7284b898b3e,3471
original_order39,audit/report_harmonization/owner_orders/39_h02_companion_target_render.md,21c0b6ca19651186955ea6fa19d7a7a033ae56774abd64fec0ed7fd25679918f,11013
report018_decision,audit/decisions/report_harmonization_render_completion_priority.md,0cb7c62806b40c1702c7fdde994d98090f0fc820abfa32205a8e58e392681ecf,4731
scheduling_override,audit/report_harmonization/report017_render_completion_scheduling_override.md,117dfedc650dc035b74978a7621cac8ef7bf14c8caf4533d0a94f7fecb1b52e0,2477
accepted_result,audit/report_harmonization/report018_h02_result_independent_acceptance.md,13a5121a00974e7660b7b045319c945e3c84a56a7ea13b2d72e23b16d204ab4d,4454
accepted_supplementary,audit/report_harmonization/report018_supplementary_information_independent_acceptance.md,2c1b25a9d96963b7e8030867117bb70b9958bc18a1918a9da7463f2245b545b2,5329
contract_mutation_target,scripts/hypotheses/H02/h02_contract.R,76a72eb8a164f93756796ac593c76c09d5aff983167861ae39efac45974ee025,11946
contract_test,tests/hypotheses/H02/test_h02_contract.R,0211746b1f1b45968d847f440081885110ae1740ca66641062d250dd211243d5,4418
helper,scripts/hypotheses/H02/build_h02_preparation_report_manifest.R,3e69748ad3b3ef3dde7dcd0dc3c913d21971c1c5ef5098e44452d3f2f37111b1,10401
reader_test,tests/hypotheses/H02/test_h02_reader_report.R,479a702e7c5c52cf85e8591300a30c759da945f4c65ecb28cad67bb2e6752d3f,16545
preparation_test,tests/hypotheses/H02/test_h02_preparation_report.R,ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8,14895
paired_test,tests/hypotheses/H02/test_h02_paired_placement_display.R,873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a,3790
companion_source,audit/hypotheses/H02/H02_analysis_preparation.qmd,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,55146
result_source,notebooks/hypotheses/H02.qmd,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,57148
stale_companion_html,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,d02a0963d657ab5044ef30b5c081d627f8cb64d5781c7edc1d95d2d58c055dfa,580722
accepted_result_html,_build/nathealth/notebooks/hypotheses/H02.html,736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9,296427
accepted_supplementary_html,_build/nathealth/supplementary_information.html,a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb,49234
profile,_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480
semantic_wrapper,scripts/report_harmonization/post_render_gt_html_semantics.R,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453
semantic_engine,scripts/report_harmonization/repair_gt_html_semantics.R,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747
historical_input_record,artifacts/06_model_data/H02/input_hashes.csv,aa1c2c9b63cbe080ced3862de904921c0c6112ed5050844294b4138a63317548,4308
current_near_eye_input,artifacts/06_model_data/base/metrics_glasses_30_minute_context.rds,85a927003c54821ae9ed5d9b4266e07f75488c743b570ec67b48a14ecfa88920,399680
current_chest_input,artifacts/06_model_data/base/metrics_chest_30_minute_context.rds,b2c0290c3eff5ef5ae5e92af6d8c693043f3ad0409392e80652e97ffcac8ef15,437084
current_base_manifest,artifacts/12_manifests/base_model_data_artifacts.csv,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,10273
current_index,index.qmd,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,91250
metric011_decision,audit/decisions/l10_numerical_zero_normalization.md,23b9f70d1d16f7fd3ebbdbc57aaf78c0a701fe1f9d22bd667d926cd320d40797,5435
metric011_invariance,audit/reconciliation/l10_METRIC-011/invariance_summary.csv,34ddcd418be07d50484bad2b62411e6c8961788af0b45d0ff436708ed3d0c213,770
order00b_verification,audit/report_harmonization/report017_render_order_00b_verification.md,14be1395553e08e61697d231f62b6c5d27d31a8a0efa4c85dd299a5623eb1687,4253
frozen_frame,artifacts/06_model_data/H02/main__glasses__all_available.rds,8420e7a5c1d1b89eda29807abf1c339c5d3b43095ae5d297ebed85f13f6de11e,356660
frozen_frame,artifacts/06_model_data/H02/main__chest__all_available.rds,5826c426d127c096a381e4b894c514b95552672fa12b59b28d6fd26c9b655c90,398764
frozen_frame,artifacts/06_model_data/H02/main__glasses__paired_common_sample.rds,4c69dc4219220662628377fe2d9e71195f65080409c300eedd48be64464238b1,287936
frozen_frame,artifacts/06_model_data/H02/main__chest__paired_common_sample.rds,a5ab949b605e7fb0730baea601b2fedecd469231435e97a34199ea4873a71c67,290760
preparation_manifest,artifacts/12_manifests/H02/H02_preparation_report_manifest.csv,c2e8c5a3b4fcebe53f3f813aa75fac6d3d960384333f59dd1b1501d90b08aaf7,12457
worker_manifest,artifacts/12_manifests/H02/H02_worker_output_hashes.csv,0f3a96ab08f7fed2b59eb4a45f203297483919b3067bee560c9e239693242331,40049
handoff,audit/handoffs/H02_worker_handoff.md,fbb74b2ed98756e1e8eb7f4b0be14cc8ec4a1873d766c1828390ebd9f5793441,45489
r_profile,.Rprofile,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,26
renv_activation,renv/activate.R,51798a35c2772b94b4a73ae7a7cc928975ff6e628a17bad1bc73d30defca82e6,39946
renv_lock,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493
build_preinventory,audit/hypotheses/H02/report018_order39_companion_render/build_inventory_pre.csv,e4cb7cd9270c509400e5c7b07f70a0d2dabda25f526caecf93caa8fd7689677b,194873
