"action_id","target_path","target_kind","locator","preimage","postimage","expected_occurrences","classification","preservation_contract"
"BROWN-WINDOW-QMD-001","audit/analyses/brown_adherence/07_results.qmd","qmd_prose","line 394","began with the prior evening's three-hour Pre-sleep interval, continued","began with the prior three-hour Pre-sleep interval, continued",1,"exact_window_terminology","Only this use of evening denotes the exact three-hour Pre-sleep window; ordinary clock-time evening and bibliographic titles remain unchanged."
"BROWN-WINDOW-QMD-002","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","qmd_prose","lines 568-570","Estimated Work-day adherence was 26.5% during Wake, 61.9% during Pre-sleep,","Estimated Work-day adherence was 26.5% during Daytime, 61.9% during Pre-sleep,",1,"display_orientation","Preserve all six percentages and the Work-day and Free-day estimands."
"BROWN-WINDOW-QMD-003","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","figure_caption","fig-main-adherence-levels","Site-average Brown-recommendation adherence by state and day type.","Site-average recommendation adherence by day type. Daytime, Pre-sleep, and Sleep identify the Brown et al. recommendation windows.",1,"caption_harmonization","Preserve the figure endpoint, equal-site estimand, values, intervals, and day types."
"BROWN-WINDOW-QMD-004","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","figure_alt","fig-main-adherence-levels","Point-and-interval chart. Wake adherence decreases from 26.5% on Work days to 21.6% on Free days. Pre-sleep adherence increases from 61.9% to 69.9%. Sleep adherence decreases from 90.3% to 84.1%. Error bars are 95% confidence intervals.","Point-and-interval chart. Daytime adherence decreases from 26.5% on Work days to 21.6% on Free days. Pre-sleep adherence increases from 61.9% to 69.9%. Sleep adherence decreases from 90.3% to 84.1%. Error bars are 95% confidence intervals.",1,"alt_harmonization","Preserve all six percentages, directions, and interval meaning."
"BROWN-WINDOW-QMD-005","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","qmd_prose","fig-main-site-workday-adherence orientation","level for every site and state. Its seven diamonds identify the sites whose","level for every site and recommendation window. Its seven diamonds identify the sites whose",1,"display_orientation","Preserve the seven-marker count and its FDR meaning."
"BROWN-WINDOW-QMD-006","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","figure_caption","fig-main-site-workday-adherence","Site-specific Work-day Brown adherence from the pooled model. Points are adherence levels and bars are 95% confidence intervals. The long-dashed blue line is the state-specific site-average Work-day estimate. Filled diamonds emphasize the seven sites whose separate deviation from that site-average estimate met its FDR threshold. The markers do not test the plotted adherence levels. Sites are neither independent replications nor causal effects of location.","Site-specific Work-day recommendation adherence by Brown et al. recommendation window. Daytime, Pre-sleep, and Sleep identify the Brown et al. recommendation windows. Points are adherence estimates and bars are 95% confidence intervals. The long-dashed blue line is the window-specific site-average Work-day estimate. Filled diamonds identify the seven sites whose separate deviation from that estimate met the FDR criterion; the markers do not test the plotted adherence level. Sites are components of one pooled model, not independent replications or causal effects of location.",1,"caption_harmonization","Preserve nine sites, seven diamonds, the 95% intervals, reference line, pooled model, and non-causal qualification."
"BROWN-WINDOW-QMD-007","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","figure_alt","fig-main-site-workday-adherence","Three vertically stacked panels for Wake, Pre-sleep, and Sleep. Each panel shows nine country-coded site estimates of Work-day adherence with 95% confidence intervals and a long-dashed blue line for the site-average Work-day estimate. Seven rows use filled diamonds and heavier intervals because their separate deviations from the site-average estimate met the FDR threshold; the other 20 use open circles. The markers do not test the plotted adherence levels, rank sites, or imply causal effects.","Three vertically stacked panels for Daytime, Pre-sleep, and Sleep. Each panel shows nine country-coded site estimates of Work-day adherence with 95% confidence intervals and a long-dashed blue line for the window-specific site-average Work-day estimate. Seven rows use filled diamonds and heavier intervals because their separate deviations from the site-average estimate met the FDR criterion; the other 20 use open circles. The markers do not test the plotted adherence levels, rank sites, or imply causal effects.",1,"alt_harmonization","Preserve nine sites, seven emphasized rows, 20 open circles, intervals, line, and non-causal qualification."
"BROWN-WINDOW-QMD-008","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","qmd_prose","fig-main-site-free-work-contrasts orientation","against the state-specific site-average Free-minus-Work estimate shown by the","against the window-specific site-average Free-minus-Work estimate shown by the",1,"display_orientation","Preserve the separate tests against zero and the site-average estimate."
"BROWN-WINDOW-QMD-009","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","qmd_prose","fig-main-site-free-work-contrasts localization","site-average estimate, Wake was 15.0 percentage points higher in Dortmund (95%","site-average estimate, Daytime was 15.0 percentage points higher in Dortmund (95%",1,"display_orientation","Preserve estimate, interval, FDR result, site, and direction."
"BROWN-WINDOW-QMD-010","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","qmd_prose","fig-main-site-free-work-contrasts localization","after requiring at least 80% coverage. Wake in Kumasi was the one non-FDR","after requiring at least 80% coverage. Daytime in Kumasi was the one non-FDR",1,"display_orientation","Preserve coverage threshold, non-FDR classification, interval qualification, and site."
"BROWN-WINDOW-QMD-011","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","figure_caption","fig-main-site-free-work-contrasts","Site-specific Free-minus-Work differences in Brown adherence. Points are differences in percentage points; bars are 95% confidence intervals. Orange filled diamonds mark the five site-specific contrasts that differed from zero after their FDR adjustment. Black asterisks mark the three contrasts that differed from the state-specific site-average Free-minus-Work estimate after adjustment across the 27-member family. The dotted black line marks zero, and the long-dashed blue line is the site-average estimate. A point may carry both markers because the two tests answer different questions. All site estimates are components of one pooled model, not independent site replications or causal effects of location.","Site-specific Free-minus-Work differences in recommendation adherence by Brown et al. recommendation window. Daytime, Pre-sleep, and Sleep identify the Brown et al. recommendation windows. Points are percentage-point differences and bars are 95% confidence intervals. Orange filled diamonds mark the five site-specific contrasts that differed from zero after FDR adjustment. Black asterisks mark the three contrasts that differed from the window-specific site-average Free-minus-Work estimate after adjustment across the 27-member family. The dotted black line marks zero, and the long-dashed blue line marks the site-average estimate. A point may carry both markers because the two tests answer different questions. Sites are components of one pooled model, not independent site replications or causal effects of location.",1,"caption_harmonization","Preserve five diamonds, three asterisks, 27-member family, both lines, intervals, pooled model, and non-causal qualification."
