scope_root,path,bytes,sha256,role
central,audit/report_harmonization/owner_orders/65_brown_stage3_window_label_and_ba_m_display_repair.md,6187,497aa2f1ece654f908f2b58abfaf04f4887a7af0da81b183ea582fd4a8f9cef5,parent order
central,audit/report_harmonization/owner_orders/65a_brown_stage3_window_label_formatter_scope_continuation.md,8090,9636ddd68cdedfaa42460a442e04db42aa45ce5673d68fd183b994a112018d42,stopped continuation order
central,audit/report_harmonization/owner_orders/65b_brown_stage3_accepted_rasterizer_and_svg_verifier_continuation.md,9255,56c59e009c26cc4ff1d6e12b368a09afa25832348fca4c5b7c3303695aef1c59,final bounded continuation order
central,scripts/report_harmonization/check_brown_order65b_environment_preflight.R,10347,0d5080765df5548e5e74a41ddba380708411ffa2b3e865cc2c39f90b80e034f9,non-mutating R 4.6.1 environment and SVG preflight
central,audit/report_harmonization/report018_brown_order65a_dispatch_manifest.csv,2615,b535be190661881b66c37f90a81aea4511dc6a09fe608b5cd607c2aabc5db9b3,prior continuation dispatch seal
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/stop_manifest.csv,5355,89278456eff14714825b9499b6e11672f1bfe3f4b3e22576db2e64ffa7abcfe8,parent stopped seal
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/01_refresh_window_label_figures.R,25817,d9cf082cdd2ec09bb1b5b60133cf5ce928962f4fbb41a52097859150b5939bc5,unchanged dedicated refresh
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/asset_preservation_verification.csv,3915,cd0f2e4d6bc5ebca0ee104389cb267a836441fcf055118ee8514fd7e7da08153,ten unpromoted durable endpoints
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/protected_endpoint_verification.csv,812,395233aa93b513b7cae02a61faf4566e3fa65c9954627e0815946a6f55169ebb,four protected endpoints
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65a/final_manifest.csv,5548,1d83387068ccc8753e27f33f849fef413444bcfec46acf580fa4eac51724b9fd,29-row exact non-circular stopped seal
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65a/01_verify_candidates.R,30181,5a3e328deaee6b690774b0afa63b155c29dce03e2fa153412a4f37e020b396fa,verifier preimage for six-wrapper correction
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65a/candidate_gate_checks.csv,2715,fe55c546d246ead3049a0eb67488af16d50541471ce58aacb074cd4410c88d31,14-of-17 stopped gate
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65a/candidate_inventory.csv,1968,50704d6a9e4a0d45e0394a37e928a36c25c475920ea304bbef9a74b69e545601,unpromoted Order 65a candidates
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65a/package_versions.csv,566,109216e152ec8c26bfdb14a8db7c6011654c138b9bbf02301d4fdd2bdaa35505,stopped default-library record
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65a/source_checks.csv,1642,1c18b65d37cd26bbb0262c072506fc4fd3a9a8068c78a5767f925259687030e0,six exact source postimages
