"check","observed","expected","status","r_version","digest_version","xml2_version"
"owner manifest columns","scope|path|sha256|bytes","scope|path|sha256|bytes","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest rows","174","174","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest paths unique","174","174","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest non-circular","0","0","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest live identities","174","174","PASS","4.6.1","0.6.39","1.6.0"
"identity: audit/hypotheses/H08/report018_order54_result_render/ORDER54_COMPLETION.md","d2594bd1b63cac66ead98c378cdc05686fc79cc9c4988ec523c60d330c39b15d/7062","d2594bd1b63cac66ead98c378cdc05686fc79cc9c4988ec523c60d330c39b15d/7062","PASS","4.6.1","0.6.39","1.6.0"
"identity: audit/hypotheses/H08/report018_order54_result_render/order54_evidence_manifest.csv","f89ae6a67f8f2c965ce8d4e071c7d826973a9d791e4f382a7f0c1b8a518ee829/30043","f89ae6a67f8f2c965ce8d4e071c7d826973a9d791e4f382a7f0c1b8a518ee829/30043","PASS","4.6.1","0.6.39","1.6.0"
"identity: notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1/44031","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1/44031","PASS","4.6.1","0.6.39","1.6.0"
"identity: _build/nathealth/notebooks/hypotheses/H08.html","472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a/340040","472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a/340040","PASS","4.6.1","0.6.39","1.6.0"
"identity: audit/hypotheses/H08/H08_analysis_preparation.qmd","3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d/57777","3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d/57777","PASS","4.6.1","0.6.39","1.6.0"
"identity: _build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html","95f5ba0aede0ee6cf0d1b65fcdc53623d52810f8316c846cb214b4fb34a5f135/675700","95f5ba0aede0ee6cf0d1b65fcdc53623d52810f8316c846cb214b4fb34a5f135/675700","PASS","4.6.1","0.6.39","1.6.0"
"identity: _quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3/7480","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3/7480","PASS","4.6.1","0.6.39","1.6.0"
"identity: tests/hypotheses/H08/test_h08_stage3_reader_report.R","3049ecd80bc7f6c83dce7370b2877a92c6693dd9585f1f45ed7ac19fdf64be8f/18954","3049ecd80bc7f6c83dce7370b2877a92c6693dd9585f1f45ed7ac19fdf64be8f/18954","PASS","4.6.1","0.6.39","1.6.0"
"identity: tests/hypotheses/H08/test_h08_preparation_report.R","2e83542b120021e0c337a3769127e6eba2fe61ebc4d56014693b34066a3fc2a4/13024","2e83542b120021e0c337a3769127e6eba2fe61ebc4d56014693b34066a3fc2a4/13024","PASS","4.6.1","0.6.39","1.6.0"
"identity: artifacts/12_manifests/H08/H08_stage3_artifacts.csv","e8dcec4bfdaf129002c875681f22b0f9d226ebbc95f706309c98ae4e21244af2/23368","e8dcec4bfdaf129002c875681f22b0f9d226ebbc95f706309c98ae4e21244af2/23368","PASS","4.6.1","0.6.39","1.6.0"
"identity: audit/report_harmonization/phase4_corpus_manifest.csv","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334/11937","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334/11937","PASS","4.6.1","0.6.39","1.6.0"
"render_console_classification.csv all PASS","5/5","5/5","PASS","4.6.1","0.6.39","1.6.0"
"nonvisual_status.csv all PASS","16/16","16/16","PASS","4.6.1","0.6.39","1.6.0"
"table_endpoint_audit.csv all PASS","15/15","15/15","PASS","4.6.1","0.6.39","1.6.0"
"figure_endpoint_audit.csv all PASS","5/5","5/5","PASS","4.6.1","0.6.39","1.6.0"
"formula_table_audit.csv all PASS","9/9","9/9","PASS","4.6.1","0.6.39","1.6.0"
"table_header_reference_audit.csv all PASS","864/864","864/864","PASS","4.6.1","0.6.39","1.6.0"
"semantic_reverse_audit.csv all PASS","6/6","6/6","PASS","4.6.1","0.6.39","1.6.0"
"semantic_invariance_audit.csv all PASS","7/7","7/7","PASS","4.6.1","0.6.39","1.6.0"
"dynamic_link_audit.csv all PASS","4/4","4/4","PASS","4.6.1","0.6.39","1.6.0"
"reader_link_audit.csv all PASS","26/26","26/26","PASS","4.6.1","0.6.39","1.6.0"
"visual_qa_status.csv all PASS","13/13","13/13","PASS","4.6.1","0.6.39","1.6.0"
"figure_final_size_typography_audit.csv all PASS","5/5","5/5","PASS","4.6.1","0.6.39","1.6.0"
"phase4_manifest_transition.csv all PASS","1/1","1/1","PASS","4.6.1","0.6.39","1.6.0"
"build_delta_postrender.csv all PASS","3/3","3/3","PASS","4.6.1","0.6.39","1.6.0"
"protected_reconciliation_postrender.csv all PASS","153/153","153/153","PASS","4.6.1","0.6.39","1.6.0"
"postqa_rehash_reconciliation.csv all PASS","2/2","2/2","PASS","4.6.1","0.6.39","1.6.0"
"final_source_freeze_audit.csv all PASS","7/7","7/7","PASS","4.6.1","0.6.39","1.6.0"
"historical Stage 3 manifest classification","99/102; transitions=3","99/102; transitions=3","PASS","4.6.1","0.6.39","1.6.0"
"post-QA build inventory identity","851/bb919e09794ae969e39ddca0b3f1a21b1a46148d0c5da50503da37bc31d7fb02","851/bb919e09794ae969e39ddca0b3f1a21b1a46148d0c5da50503da37bc31d7fb02","PASS","4.6.1","0.6.39","1.6.0"
"post-QA protected inventory identity","153/c104b0149860c2cd7715fd49f779593aeead3fa55142401ef7558ececeada4a8","153/c104b0149860c2cd7715fd49f779593aeead3fa55142401ef7558ececeada4a8","PASS","4.6.1","0.6.39","1.6.0"
"build symlinks absent throughout","0/0/0","0/0/0","PASS","4.6.1","0.6.39","1.6.0"
"unique main element","1","1","PASS","4.6.1","0.6.39","1.6.0"
"duplicate document IDs","0","0","PASS","4.6.1","0.6.39","1.6.0"
"native gt table count","15","15","PASS","4.6.1","0.6.39","1.6.0"
"unique table endpoints","1/1/1/1/1/1/1/1/1/1/1/1/1/1/1","1/1/1/1/1/1/1/1/1/1/1/1/1/1/1","PASS","4.6.1","0.6.39","1.6.0"
"unique figure endpoints","1/1/1/1/1","1/1/1/1/1","PASS","4.6.1","0.6.39","1.6.0"
"table header token count","864","864","PASS","4.6.1","0.6.39","1.6.0"
"table header token resolution","TRUE","TRUE","PASS","4.6.1","0.6.39","1.6.0"
"single render execution","1/0/941","1/0/941","PASS","4.6.1","0.6.39","1.6.0"
"visual screenshot evidence","74/74","74/74","PASS","4.6.1","0.6.39","1.6.0"
"170-mm typography floor","7.5",">=7","PASS","4.6.1","0.6.39","1.6.0"
"loopback lifecycle and teardown","9/10","9 PASS plus 1 no-server-created precheck","PASS","4.6.1","0.6.39","1.6.0"
