"role","path","sha256","bytes","note"
"independent_acceptance","audit/report_harmonization/report017_h01_order31c_manifest_reseal_independent_acceptance.md","aeeff0d65c9c22aaa2226077fc14d565133d9d8c5c3ed3d7af71181daf466f55",3611,"order 31c independent acceptance"
"controlling_order","audit/report_harmonization/owner_orders/31c_h01_reporting_manifest_qmd_pin_reseal.md","5d4e85c29c41c8e01f43b6f2f3401addf58eba448765d4fbf50e8eb522276907",3974,"manifest-only two-row owner order"
"accepted_reporting_manifest","artifacts/12_manifests/H01_reporting_artifacts.csv","d0ed8e0c62579597f11c3fa701af35b5016e4921bee0000d2fd700b719f25079",11054,"49/49 rows exact"
"accepted_stage3_manifest","artifacts/12_manifests/H01_stage3_reporting_artifacts.csv","08da3090e895f8d99f3a4a32eddb2a3c9d8582076ed2fe69d1b5795a8415a54f",22735,"95/95 rows exact"
"accepted_h01_source","notebooks/hypotheses/H01.qmd","31c477fae21e0506521d27147cd3f1ea33941dac4c0a6e3a6d485f5acbc129a6",90640,"order 31b source preserved"
"accepted_h01_test","tests/hypotheses/H01/test_h01_reporting_inputs.R","ab648ac80bc1c8a149a11bb958fd683b38722487c53179b42b215a2b000e6fd5",21025,"complete reporting test preserved"
"accepted_h01_companion","audit/hypotheses/H01/H01_analysis_preparation.qmd","962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8",54405,"companion source preserved"
"sealed_prerender_html","_build/nathealth/notebooks/hypotheses/H01.html","ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72",1371249,"durable H01 HTML preserved"
"stored_l10_support","artifacts/09_tables/H01/stage3/H01_stage3_l10_noon_sensitivity.csv","5814d5518ab23b3578dac54b19c6c6deea46e8d76aff2f3a6e30bce28752a26a",3003,"stored scientific table source preserved"
"accepted_profile","_quarto-nathealth.yml","5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565",7404,"profile preserved with no semantic-repair hook"
