role,path,sha256,bytes
acceptance_record,audit/report_harmonization/report018_h05_result_independent_acceptance.md,a77defa5342ed410e8e0e8041f60463b4fdf4cc1019303e1afe80ab83b73284b,3387
owner_acceptance,/private/tmp/H05-order44-evidence.3IiPQb/report018_h05_order44_acceptance.md,b3b31d1db3e68d85c5a00f46f2c144796742ce4f39a46ba8bbec05d5c5cfec23,5172
owner_manifest,/private/tmp/H05-order44-evidence.3IiPQb/evidence_manifest.csv,c49fe27dd1776e32e4d669f8f4ed032e034960fc8d71f5f65e90f98d9255649d,5185
owner_order,audit/report_harmonization/owner_orders/44_h05_result_report018_render.md,7c532a12205bde81e4ed76f5da23237702b1b8a4e54cc640c7989913f1b83700,8986
dispatch_manifest,audit/report_harmonization/report018_h05_result_order44_dispatch_manifest.csv,fd33145831014423afa89315881835ade493e7bd297ffdc3f5ad8ec81b73a9bc,3071
source_acceptance,audit/report_harmonization/report017_h05_order36_source_independent_acceptance.md,07ae1d95e8374c9b29659e9fc760d392047b229252320e2767d7d68404ea07ec,2837
source_acceptance_manifest,audit/report_harmonization/report017_h05_order36_source_acceptance_manifest.csv,580d5f63dab78e1a5f427384a17009125231dacdf8bc4d2d8ab521d3bb94c7f4,2782
result_qmd,notebooks/hypotheses/H05.qmd,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,74309
companion_qmd,audit/hypotheses/H05/H05_analysis_preparation.qmd,0a5296442b46c8b9e43773d97eb979ffbbf3512faabe6f4399da2214d38cb81c,75630
result_html,_build/nathealth/notebooks/hypotheses/H05.html,a088e105be1987508280e91b938142773c8fb9275f1e924ac1ec9958a9b199f1,640855
held_companion_html,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,c44f4f77f4e2295f6b265ed9505c3c560361a7280562dd9ce1afce73149d5866,839152
profile,_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480
semantic_wrapper,scripts/report_harmonization/post_render_gt_html_semantics.R,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453
semantic_engine,scripts/report_harmonization/repair_gt_html_semantics.R,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747
semantic_summary,/private/tmp/H05-order44-semantics.iVk2Wb/gt_html_semantic_post_render_summary.csv,3ecf702bb0d5c5f1b33745920cf5647978789ea7054e7c99acd020dab70db4e1,457
semantic_ledger,/private/tmp/H05-order44-semantics.iVk2Wb/001__build__nathealth__notebooks__hypotheses__H05.html_gt_semantic_ledger.csv,92c4e214e536fcdba8e355c1fc830d36224f17e78ca0f246544bf5bba7f3dc1d,380981
static_summary,/private/tmp/H05-order44-evidence.3IiPQb/static_acceptance_summary.csv,4e488e9a49f1415abad648d25b0fd98e810f866225469dbd0dba5268257f4f06,470
visual_qa,/private/tmp/H05-order44-evidence.3IiPQb/h05_visual_qa.json,0ec4c9e25584a1e115e2f77289b4967db94bc7f04193f2a401274493096976a4,3222
postqa_build_inventory,/private/tmp/H05-order44-evidence.3IiPQb/build_inventory_postqa.csv,49a47164036e3a0f465466b5b55f90d933cd449d591d3a4c0a00c9d88fa3e1e6,139749
protected_reconciliation,/private/tmp/H05-order44-evidence.3IiPQb/protected_reconciliation_postrender.csv,5ba4ef524890a7d504886cae9c069c5a7dc4237bfb2699273c0c2b6660fbee8c,28469
