"document","output_type","proposed_output_id","current_output_id_or_set","source_qmd_and_anchor","stored_artifact_or_data_path","current_dimensions_and_style","intended_role","current_polish_assessment","approved_small_adjustment_to_request","scientific_exception_or_constraint"
"Descriptives","figure","fig-descriptive-overview","fig-descriptive-overview","notebooks/descriptives.qmd#fig-descriptive-overview; _build/nathealth/notebooks/descriptives.html#fig-descriptive-overview","artifacts/10_figures/descriptives/descriptive_overview.png","4725 x 4500 px; 300 dpi; five-panel publication raster","One-page orientation to participants, sites, light distributions, and temporal context.","Highly polished but dense at narrow width.","Retain full-width placement; standardize panel-label and caption hierarchy; preserve the approved country-coded site names, order, and colours; confirm concise alt text and target-size legibility.","No panel may be dropped because the figure is the shared descriptive orientation; no numerical or graphical recomputation."
"Descriptives","table","tbl-participant-site","tbl-participant-site","notebooks/descriptives.qmd#tbl-participant-site; _build/nathealth/notebooks/descriptives.html#tbl-participant-site","artifacts/09_tables/descriptives/participant_site_characteristics_replica.csv","Semantic gt HTML table; responsive width.","Main descriptive table for participant, site, collection, sleep, chronotype, and wear characteristics.","Publication-formatted.","Use one clear title, restrained group headers, concise unit-bearing column labels, and footnotes only for qualifications needed to interpret cells.","Stored values and denominators remain unchanged."
"H01","figure","fig-h01-model-support","fig-h01-model-support","notebooks/hypotheses/H01.qmd#fig-h01-model-support; _build/nathealth/notebooks/hypotheses/H01.html#fig-h01-model-support","artifacts/10_figures/H01/stage3/H01_stage3_model_support.png","3360 x 2368 px; 320 dpi; two-panel support matrix.","Immediate overview of which model-level associations retained FDR-adjusted support across placements.","Highly polished and unusually efficient.","Retain design; expand the adjustment and symbol meanings in the caption; preserve accessible check/dash encoding and approved site/metric order.","Support status, test families, and thresholds must not change."
"H01","table","tbl-h01-primary-publication-summary","tbl-h01-primary-publication-summary","notebooks/hypotheses/H01.qmd#tbl-h01-primary-publication-summary; _build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-primary-publication-summary","artifacts/09_tables/H01/stage3/H01_stage3_primary_publication_summary.csv","Semantic gt HTML table; responsive width.","Compact main table of primary near-eye results with exact fitted samples.","Publication-formatted and accepted.","Retain approved p-value formatting; simplify title and move detailed sample notation to a concise footnote; use site-average wording where applicable.","Bootstrap intervals and all exact fitted samples remain unchanged."
"H02","figure","fig-h02-near-patterns","fig-h02-near-patterns","notebooks/hypotheses/H02.qmd#fig-h02-near-patterns; _build/nathealth/notebooks/hypotheses/H02.html#fig-h02-near-patterns","artifacts/10_figures/H02/figure4_exact_layout_replication.png","3300 x 4200 px; 300 dpi; four-panel daily-pattern figure.","Main visual summary of the accepted near-eye daily pattern and participant/site variation.","Highly polished but information-dense.","Mandatory: make source prose, caption, and alt text match the rendered panel order (B shows sites; C shows participant curves). Then standardize panel/caption hierarchy and explain pointwise intervals.","This is a display-description mismatch only; do not alter curves, intervals, counts, or Shapley results."
"H02","table","tbl-h02-near-variation","tbl-h02-near-variation","notebooks/hypotheses/H02.qmd#tbl-h02-near-variation; _build/nathealth/notebooks/hypotheses/H02.html#tbl-h02-near-variation","artifacts/09_tables/H02/variation_summary.csv","Semantic gt HTML table; responsive width.","Main table quantifying fitted-curve variation and participant-to-site ratios.","Publication-formatted and accepted.","Define each ratio in the title or first footnote; keep units and the distinction between participant and site variation explicit.","No reallocation or recomputation of variance summaries."
"H03","figure","fig-h03-primary-estimates","fig-h03-primary-estimates","notebooks/hypotheses/H03.qmd#fig-h03-primary-estimates; _build/nathealth/notebooks/hypotheses/H03.html#fig-h03-primary-estimates","artifacts/10_figures/H03/H03_reader_heterogeneity_category_estimates.png","3840 x 3060 px; 300 dpi; two-panel estimate plot.","Main summary of light-source category estimates and ratios.","Highly polished.","Replace unexplained heterogeneity-model/site-standardized language with predictor-by-site interaction model and site-average estimate, including the equal-weight explanation; retain typography and geometry.","The missing complementary category that cannot be standardized across all chest sites must remain explicit."
"H03","table","tbl-h03-primary-results","tbl-h03-primary-results","notebooks/hypotheses/H03.qmd#tbl-h03-primary-results; _build/nathealth/notebooks/hypotheses/H03.html#tbl-h03-primary-results","artifacts/09_tables/H03/H03_reader_heterogeneity_category_estimands.csv","Semantic gt HTML table; responsive width.","Main numerical companion to the category-estimate figure.","Publication-formatted.","Use reader terms in title and headers; retain units, reference category, exact intervals, and approved p-value display.","Model source and estimand do not change."
"H04","figure","fig-h04-primary-estimates","fig-h04-primary-estimates","notebooks/hypotheses/H04.qmd#fig-h04-primary-estimates; _build/nathealth/notebooks/hypotheses/H04.html#fig-h04-primary-estimates","artifacts/10_figures/H04/H04_reader_heterogeneity_category_estimates.png","3840 x 3060 px; 300 dpi; two-panel estimate plot.","Main summary of activity-category estimates and contrasts.","Highly polished.","Use activity-by-site interaction model and site-average estimate in place of unexplained heterogeneity/equal-site terms; explain the display-only Other category in the caption.","The additive display-only estimate for Other/unspecified must remain visibly distinct."
"H04","table","tbl-h04-primary-results","tbl-h04-primary-results","notebooks/hypotheses/H04.qmd#tbl-h04-primary-results; _build/nathealth/notebooks/hypotheses/H04.html#tbl-h04-primary-results","artifacts/09_tables/H04/H04_reader_category_estimands.csv","Semantic gt HTML table; responsive width.","Main numerical table for activity-category means, ratios, and differences.","Publication-formatted.","Shorten title with the site-average explanation in a footnote; clearly distinguish ratios from differences and state the reference category.","Retain the source-model flag that distinguishes interaction-model from additive display-only values."
"H05","figure","fig-h05-near-effects","fig-h05-near-effects","notebooks/hypotheses/H05.qmd#fig-h05-near-effects; _build/nathealth/notebooks/hypotheses/H05.html#fig-h05-near-effects","artifacts/10_figures/H05/H05_reader_near_eye_effects.png","2700 x 2700 px; 300 dpi; 17-by-4 heat map.","Main overview showing the complete association pattern and the four unfit cells.","Highly polished and central to the null result.","Expand LEBA and SD at first use; shorten only labels that remain unambiguous; retain grey suppression with accessible text/pattern contrast; state plainly that none of 68 tests retained adjusted support.","The four sleep-environment cells remain suppressed as unfit for inference; do not create estimates for them."
"H05","table","tbl-h05-near-results","tbl-h05-near-results-a plus tbl-h05-near-results-b","notebooks/hypotheses/H05.qmd#tbl-h05-near-results-a and #tbl-h05-near-results-b; _build/nathealth/notebooks/hypotheses/H05.html#tbl-h05-near-results-a","artifacts/11_source_data/H05/H05_reader_near_eye_results.csv","Two semantic HTML tables currently used as one continued 17-row display.","One logical main table with all near-eye associations.","Publication-formatted but split for width/length.","Present as one explicitly continued table with one title, repeated column headers, and a shared footnote; keep approved p-value display and visibly mark unfit cells.","Display-only regrouping; all 68 associations and multiplicity family remain unchanged."
"H06","figure","fig-h06-core-effects","core-effects-figure","notebooks/hypotheses/H06.qmd#core-effects-figure; _build/nathealth/notebooks/hypotheses/H06.html#core-effects-figure","artifacts/10_figures/H06/H06_reader_primary_effects.png","2141 x 1486 px; 320 dpi; three aligned forest-plot panels.","Main hourly H06 summary across primary and contextual analyses.","Highly polished.","Repair the Quarto identifier; replace expected supported-hour phrasing with a plain description; define participant-cluster-robust intervals once; retain null line and multiplicity distinctions.","Hourly H06 is the main result. Do not wait for or reopen it when the separate daily complement is later accepted."
"H06","table","tbl-h06-primary-effects","primary-effects","notebooks/hypotheses/H06.qmd#primary-effects; _build/nathealth/notebooks/hypotheses/H06.html#primary-effects","artifacts/09_tables/H06/H06_robust_F3_practical_contrasts.csv","Semantic gt HTML table; responsive width; current identifier is nonconforming.","Main numerical table for the three primary near-eye associations.","Publication-formatted.","Repair the identifier; use a plain title, explicit comparison directions, ratios with intervals, and the approved adjusted-p convention.","No change to HC3 inference, test family, or common-effect model."
"H07","figure","fig-h07-near-smooth-derivative-pairs","fig-h07-near-smooth-derivative-pairs","notebooks/hypotheses/H07.qmd#fig-h07-near-smooth-derivative-pairs; _build/nathealth/notebooks/hypotheses/H07.html#fig-h07-near-smooth-derivative-pairs","artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_near_eye.png","2430 x 4860 px; 270 dpi; nine paired curve/derivative rows.","Main visual evidence for the nonlinear photoperiod classifications.","Scientifically polished but necessarily tall and dense.","Keep full-width and do not redesign; add a short how-to-read explanation before the figure; define derivative, pointwise interval, and the exact qualifying transition rule.","The display must not imply a biological ceiling or a permanently flat response; uneven site support remains visible."
"H07","table","tbl-h07-near-results","tbl-h07-near-results","notebooks/hypotheses/H07.qmd#tbl-h07-near-results; _build/nathealth/notebooks/hypotheses/H07.html#tbl-h07-near-results","artifacts/09_tables/H07/H07_revised_plateau_summary.csv","Semantic gt HTML table; responsive width.","Main classification table paired with the nonlinear figure.","Publication-formatted.","Use qualifying transition or near-flat tail in reader headers; retain the formal derivative-defined classification in a methods footnote; state endpoint units and interval type.","The accepted derivative method and every classification remain unchanged."
"H08","figure","fig-h08-near-eye-effects","fig-h08-near-eye-effects","notebooks/hypotheses/H08.qmd#fig-h08-near-eye-effects; _build/nathealth/notebooks/hypotheses/H08.html#fig-h08-near-eye-effects","artifacts/10_figures/H08/H08_near_eye_effects.png","2007 x 1606 px; 300 dpi; mixed difference/percent-change forest plot.","Main overview of near-eye VLSQ-8 associations.","Highly polished and readable.","Expand VLSQ-8 and SD at first use; preserve the visibly separated difference and percent-change scales; clarify the comparison unit in caption and alt text.","The identity-Gaussian outcome remains a difference in hours while other outcomes remain percent changes."
"H08","table","tbl-h08-near-eye-results","tbl-h08-near-eye-results","notebooks/hypotheses/H08.qmd#tbl-h08-near-eye-results; _build/nathealth/notebooks/hypotheses/H08.html#tbl-h08-near-eye-results","artifacts/09_tables/H08/H08_model_results_master.csv","Semantic gt HTML table; responsive width.","Main numerical table for the primary VLSQ-8 associations.","Publication-formatted.","Group rows by reported scale; expand abbreviations in the title/footnote; retain raw and adjusted p-value formatting and exact samples.","No family, transformation, or response-scale change."
"H09","figure","fig-h09-primary-effects","fig-h09-primary-effects","notebooks/hypotheses/H09.qmd#fig-h09-primary-effects; _build/nathealth/notebooks/hypotheses/H09.html#fig-h09-primary-effects","artifacts/10_figures/H09/H09_primary_effects.png","4725 x 2700 px; 300 dpi; two-panel forest plot.","Main comparison of chronotype associations across instruments and sensor positions.","Highly polished.","Expand MCTQ MSFsc and MEQ before the figure; keep colour-plus-shape placement encoding; spell out abbreviated timing metrics in caption or glossary.","Near-eye remains primary and chest complementary; components are not pooled."
"H09","table","tbl-h09-near-eye-results","tbl-h09-near-eye-results","notebooks/hypotheses/H09.qmd#tbl-h09-near-eye-results; _build/nathealth/notebooks/hypotheses/H09.html#tbl-h09-near-eye-results","artifacts/09_tables/H09/H09_model_results_master.csv","Semantic gt HTML table; responsive width.","Main numerical table for primary near-eye chronotype associations.","Publication-formatted.","Use reader labels for both instruments and five timing outcomes; keep signed hour effects, intervals, approved p-values, and exact samples.","Instrument scoring and reference directions remain unchanged."
