check_id,domain,status,observed,expected,disposition
SEL-I-001,current_identity,PASS,"QMD 7bf0c39745e6828201e955514712faea0a26031edb26606f165830ca04cb66ee, 48022 bytes","sealed current QMD identity","accepted"
SEL-I-002,current_identity,PASS,"HTML 4639b6f27608cb818bb4125851d7b297b64fa8e1d7f1fcabd463bb5c1e0d73d1, 27417440 bytes","sealed current HTML identity","accepted"
SEL-I-003,current_identity,PASS,"builder 52fcf891e153c45587e247c658f906b6e586a9082db4ecde6a8363ebb256e40f","sealed builder identity","accepted"
SEL-I-004,current_identity,PASS,"checker 5a308c34057d12abe181e028555291437c781fa6108fb60298a6a157f8246cd9","sealed checker identity","accepted"
SEL-I-005,isolated_builder,PASS,"13 outputs; 22 tables; 13 figures; 31 assets; 1174 semantic substitutions","byte-exact replay in isolated temporary tree under R 4.6.1","accepted"
SEL-I-006,isolated_render,PASS,"target render exited 0; HTML byte-identical to current 4639b6f2...","one target only; no author-tree render","accepted"
SEL-I-007,isolated_checker,PASS,"32/32 checks; 26 tables; 19 native gt tables; 40 images; 3909 header tokens","complete current checker","accepted"
SEL-I-008,selection_contract,PASS,"Figures 1-4 followed by Tables 1-3","author-approved main order","accepted"
SEL-I-009,sample_flow,PASS,"13 populated rows, each copied from a nonmissing scalar in audit/descriptives/sample_count_contract.csv","accepted counts only; no new derived value","accepted"
SEL-I-010,h01_mder_gate,PASS,"descriptive MDER uses mean of viable minute-level ratios; eight H01 model cells remain explicitly pending","no silent merge with accepted ratio-of-integrals H01 model","accepted"
SEL-I-011,brown_scope,PASS,"four cross-window contrasts remain a separate Supplementary block; within-participant claims withheld; between-participant claims limited","not merged into main Table 2","accepted"
SEL-I-012,historical_records,PASS_WITH_CLASSIFICATION,"root 37-row package manifest is 24/37 live exact; two prose QA records describe earlier package states","historical records must not be treated as current acceptance evidence","historical_only"
SEL-I-013,desktop_visual,PASS,"1440x1000; 40/40 images complete; no page overflow; fixed right table of contents; no browser console warning or error","desktop reader inspection","accepted"
SEL-I-014,narrow_visual,FAIL,"708x1000 document width 797 px versus 693 px viewport content width; document-level horizontal overflow 104 px","no document-level horizontal overflow; wide tables contained locally","blocking_visual_defect"
SEL-I-015,mobile_visual,FAIL,"390x844 document width 797 px versus 375 px viewport content width; document-level horizontal overflow 422 px","no document-level horizontal overflow; wide tables contained locally","blocking_visual_defect"
SEL-I-016,loopback_lifecycle,PASS,"served only one exact HTML copy from 127.0.0.1:53762; tab closed; viewport reset; server stopped; no listener","bounded loopback QA and teardown","accepted"
