document,locus,classification,current_issue,consolidated_action,scientific_preservation,verification
H05 result,HTML format,mandatory accessibility repair,Dense figures have no zoom affordance,Add lightbox true,No asset regeneration or figure-content change,YAML parse and later desktop/narrow lightbox check
H05 result,Answer in brief,mandatory hierarchy repair,The answer is accurate but too detailed for first orientation,Keep a concise central answer and move detailed magnitudes and sensitivity qualifications to their result sections,All inline values and claims retained,Inline-expression and protected-token comparison
H05 result,Opening orientation,mandatory hierarchy repair,Primary/complementary roles and recurring terms are spread across later sections,Create one compact orientation for sensor roles factors participant-day SD CI FDR and common sample,Definitions only with no sample or estimand change,Approved-vocabulary scan
H05 result,Principal endpoint order,mandatory hierarchy repair,Four methods or sample tables precede the main result table,Make fig-h05-near-effects the first figure and tbl-h05-near-results-a the first table,Every endpoint and scientific value retained,Exact first-endpoint and endpoint-set checks
H05 result,Principal figure,mandatory hierarchy repair,The main figure follows detailed methods context,Move fig-h05-near-effects directly after the opening orientation,Asset caption alt text and source link unchanged,Path caption alt and source-data preservation
H05 result,Principal continued table,mandatory hierarchy repair,The two main table parts are delayed by four supplemental tables,Place tbl-h05-near-results-a and tbl-h05-near-results-b immediately after the main figure,Native gt rows values units captions and notes unchanged,Native-gt source and order checks
H05 result,Leading F2 magnitudes,mandatory interpretation repair,Detailed estimates overfill the opening callout,Keep both exact magnitudes intervals and p-values immediately after the main table,All inline expressions and non-retained interpretation preserved,Exact inline-R multiset
H05 result,Factor table,mandatory hierarchy repair,tbl-h05-factors delays the principal result,Move to the late detailed analysis record,All four factor definitions and score rules unchanged,Endpoint and chunk preservation
H05 result,Formula table,mandatory hierarchy repair,tbl-h05-formulas delays the principal result,Move to the late detailed analysis record,All six exact formulas unchanged,Formula and endpoint checks
H05 result,Response specification table,mandatory hierarchy repair,tbl-h05-response-specifications delays the principal result,Move to the late detailed analysis record,All analysis levels transforms and reported scales unchanged,Endpoint and table-code checks
H05 result,Near-eye sample table,mandatory hierarchy repair,tbl-h05-near-samples precedes the central figure and table,Move to the detailed sample record after the main result,Exact samples and source link unchanged,Sample-token and source-link checks
H05 result,Near-eye model checks,mandatory progressive disclosure repair,Several detailed tables and residual figures interrupt the result flow,Keep the model-check conclusion visible and put all detailed endpoints in Show detailed near-eye model checks,Every diagnostic classification and limitation retained,Endpoint and caption/alt checks
H05 result,Complementary chest result,mandatory progressive disclosure repair,Full complementary tables and checks dominate the main narrative,Keep the complementary conclusion visible and put detailed endpoints in Show complementary chest results and model checks,All chest samples estimates intervals and diagnostics retained,Endpoint and scientific-token checks
H05 result,MDER section,mandatory progressive disclosure repair,Detailed scenario and influence tables obscure the overall conclusion,Keep the MDER conclusion visible and put detailed endpoints in Show MDER details and upper-tail checks,MDER estimand samples values and influence results unchanged,Exact endpoint and artifact checks
H05 result,Sensitivity section,mandatory progressive disclosure repair,Common-sample and site-sensitivity detail is long,Keep stability conclusions visible and put tables in Show detailed sensitivity results,All paired random-site leave-site gap and exact-period results retained,Exact endpoint and source-data checks
H05 result,Common-sample language,mandatory clarity repair,Paired/common shorthand can imply a direct placement test,First explain same participants and participant-days at both positions then use common sample,Concordance-not-equivalence boundary unchanged,Phrase and claim scan
H05 result,Site model language,mandatory clarity repair,Fixed and random site roles need plain first-use explanation,Explain fixed site adjustment and random-site sensitivity in reader language,Model formulas and roles unchanged,Formula and vocabulary checks
H05 result,Multiplicity language,mandatory vocabulary repair,Technical family language remains in some detail,Use FDR in reader displays and reserve the full method name for technical provenance,All 68-test families and decisions unchanged,No reader BH or internal family ID
H05 result,Em dashes,mandatory style repair,Several headings or prose lines use em dashes,Replace with punctuation or separate sentences,No content or missing-value symbol change,Prose-only dash scan
H05 result,Registration section,mandatory hierarchy preservation,Registration context is late but not integrated as a detailed record,Keep the anchor and all exact dynamic deviation links in the late detailed analysis record,All links and explanations unchanged,Link count and anchor resolution
