logical_order,document_set,task_id,current_task_status_2026_08_12,scientific_status_from_current_handoff,owned_reader_sources,handoff_path,handoff_read_complete,safe_execution_point_confirmed,instruction_sent,returned_owner_identity,first_adjustment_source_received,first_adjustment_render_received,harmonization_review_status,final_principal_output_approval,notes
00,"Shared landing, navigation, and deviation integration",019faf58-3df3-7383-8034-f715cdfdd154,idle_supplementary_information_order38_independently_accepted,"REPORT-014/015 are accepted; REPORT-016 / CHG-126 is centrally written and R-verified; the deviation page and final shared source integration are accepted. REPORT-018 Supplementary information source, target render, semantic classification, links, and visual integration are independently accepted.",_quarto-nathealth.yml; shared landing/context QMDs; central ledgers,audit/handoffs/report_harmonization_shared_change_request.md,yes,yes,yes,019faf58-3df3-7383-8034-f715cdfdd154,yes,yes,supplementary_information_source_target_semantic_links_and_visual_independently_accepted,not_applicable,"Current shared source hashes are index 86766c37 and config 80dd0557. REPORT-017 orders 00a and 00b produced the accepted deviation page c033c1b8 and index d4c79529; all 86 anchors and the corrected H01 preparation link resolve. Order 00c produced placement source b090bb87 and HTML 672ccfb7. H06_daily result 01213a19 and companion ef4fde67 are source-integrated but remain unrendered until their serial place. REPORT-018 order 38 rendered the unchanged Supplementary outline exactly once to HTML a0b5d097. The hook returned NO_GT, 37/37 source and HTML identities pass, all retained internal links resolve, desktop and 708-pixel QA pass, and server teardown plus post-QA stability pass. Independent R 4.6.1 verification reproduced the 31-row owner seal, navigation, reader-link, country-site, protected-pin, build-delta, and HTML contracts. The DOC-001 missing-target condition is resolved for the current corpus; final whole-corpus closure still requires the later integrated audit. The H02 companion is eligible for the next separate serial render order."
01,Descriptives,019fb87f-41b5-75c1-bc11-aa7fa233ef89,idle_after_accepted_target_render,Current reader report and publication displays are complete; display-only harmonization is permitted without scientific recomputation.,notebooks/descriptives.qmd,audit/handoffs/descriptives_worker_handoff.md,yes,yes,yes,019fb87f-41b5-75c1-bc11-aa7fa233ef89,yes,yes,source_and_target_render_accepted_visual_roles_provisional,pending_after_first_adjustment,"Source b631936d, config b9c10a09, and formatter 3b75ff59 produced accepted HTML 51c674b3 in one 51.851-second R 4.6.1/Quarto 1.9.37 target render after the normal-profile smoke gate passed. All 125 protected files remained byte- and metadata-identical; only the target HTML, search index, and sitemap changed content. Eight semantic endpoints, native-gt shapes, corrected reader language, all nine site labels, dynamic Preparation links, navigation, reader links, and zero error/warning elements pass. The resolution-aware focused test passes at 58c71f92. The main figure is readable at calibrated publication width. Participant, metric, visual-export, and figure-contract tables retain readable type through horizontal scrolling; this narrow-screen interaction and all principal-output roles remain provisional for author review. Stored participant PNG 875164c7 was not regenerated. DOC-001 remains open."
02,Preparation 01-07,019fbd2a-3d80-7ed0-b93e-96457a9e7f26,idle_after_preparations01_through07_accepted,Reader pages are complete; Preparation 03 and 04/06 retain documented provenance qualifications that must not be editorially resolved.,notebooks/preparation/01_import_state_alignment.qmd; notebooks/preparation/02_coverage_sample_flow.qmd; notebooks/preparation/03_reference_profiles.qmd; notebooks/preparation/04_metric_derivation.qmd; notebooks/preparation/05_model_input_acquisition.qmd; notebooks/preparation/06_model_ready_datasets.qmd; notebooks/preparation/07_example_days.qmd,audit/handoffs/preparation_reports_worker_handoff.md,yes,yes,yes,019fbd2a-3d80-7ed0-b93e-96457a9e7f26,yes,yes,preparations01_through07_source_target_render_and_visual_accepted,not_applicable,"Preparation 01 remains accepted at source 93869fb2 and HTML 6a312ee8. Preparation 02 source 572173e1 produced accepted HTML 0eeb0114 after the exact TB Mermaid repair; independent R 4.6.1, protected-identity, and secure-loopback checks pass. Preparation 03 source 4ec7a688 and HTML 43d82609 are independently accepted under record 24650c63 and 15-entry manifest 18688f79; its PREP-002/FIND-043 qualification remains visible. Preparation 04 source 6b7239ca and HTML 9dd7797e are independently accepted under record b1901a92 and 23-entry manifest f4f232c3. Exact LR-to-TB reverse substitution, focused R 4.6.1, 105 unchanged protected paths plus the authorized source delta, 14 native tables, semantic/link/navigation checks, desktop and 708-pixel secure-loopback checks, the contained 28-pixel Table 13 scroller, and final-size MDER figure all pass. The PREP-003/FIND-044 qualification remains visible and unchanged. H06_daily source-only profile placement remains accepted at config 5ccd16b0. Preparation 05 source 184c40b4 and HTML 53486a29 are independently accepted under record 3524e115 and 27-entry manifest 61bbb144. The focused R 4.6.1 test, 128 protected identities, nine native tables, semantic and dynamic-link checks, 12-point desktop and 7.23-point narrow Mermaid labels, desktop and narrow table readability, and loopback teardown all pass. The shared supplementary navigation target remains unbuilt by design and DOC-001 stays open. Preparation 06 source 23b201c4 and HTML 7306d9d5 are independently accepted under record 1d49139b and 15-entry manifest 87e42884. Exact LR-to-TB reverse substitution, focused R 4.6.1, 60 owner-manifest identities, 168 protected paths, 19 native tables, semantic/link/navigation checks, desktop and 708-pixel secure-loopback QA, contained narrow table scrolling, the exported site-composition PNG, recovery-ledger checks, and listener teardown all pass. The documented Preparation 06 qualifications remain visible. Order 25 stopped in setup before tables or figures because the sealed showcase manifest pins site-context SHA b0e8de53 while the accepted current RDS is 39ffe488. Record 1e482a14 and 23-entry manifest bb05d476 independently verify 15/15 protected paths, 829/829 unchanged build files, zero build delta, unchanged source/config/test/stale HTML/durable artifacts, no focused test, and no browser server. PREP07-PROV-001 audit 870cbb5d with 17-row evidence 0757fc17 and 2/2 seal 01a07b87 confirms exact scientific equivalence and a Low/Confirmed provenance-only report mismatch. The bounded source/test proposal was author-approved and order 26 applied the provenance source revision. Its focused test stopped only on four classification-stale literals already absent from the accepted source; stop record 9de292ad and 25-entry manifest 80bb383e pass. Order 26a applied the four-token repair and then stopped on one pre-existing newline-sensitive figure/source-data assertion. Stop record 8c784d8e and manifest 9e26c5e2 pass. An R 4.6.1 in-memory visible-to-visible_flat simulation passes the complete source-only test. Order 26b passes with final test 958cc944 and unchanged QMD ded8765f. Independent acceptance record 3708afb4 and 14-entry manifest 96481a17 pass. The coordinator approved exactly one Preparation 07 target render, and order 27 is dispatched. Every hypothesis render remains held pending independent Preparation 07 acceptance. Orders 27 and 28 produced bounded stopped renders and isolated the narrow Mermaid and figure-text display defects. Order 29 changed only four approved theme-size literals, producing QMD e5b89c62; order 29a changed only the stale typography assertion, producing test 9d3a19b7. Independent R 4.6.1 source-only verification passes, exact reverse substitutions reproduce both accepted pre-edit identities, 38/38 protected paths remain unchanged, and acceptance record 242210e5 with 16-entry manifest b1004200 is sealed. One fresh Preparation 07 target render is requested but not yet released. Every hypothesis render remains held. Coordinator concurrence released one exact rerender, and order 29b was dispatched under sealed order 48124c9c. Every hypothesis render remains held. Order 29b produced accepted Preparation 07 HTML 6ed53f85 from source e5b89c62 and focused test 9d3a19b7 under config 5ccd16b0. The R 4.6.1 focused test, 52/52 owner-manifest identities, 24/24 semantic checks, seven native tables, three figures with frozen source data, 38/38 protected paths, 817/817 post-QA build identities, dynamic links and navigation, desktop and 708-pixel secure-loopback QA, repaired 7.039-point narrow figure text, 9.211-point narrow TB Mermaid labels, and server teardown all pass. Final independent acceptance c731d4f4 and its non-circular manifest complete the Preparation 01 through 07 sequence. Every hypothesis render remains held pending coordinator release."
03,H01 result and preparation/provenance,019fb4ce-d84c-73d1-be48-dc244be5b5f0,idle_result_and_companion_accepted_awaiting_next_serial_release,"METRIC-011 production and reporting integration remain scientifically accepted. The H01 result and preparation/provenance companion sources, rendered HTML pages, semantic repair, links, protected inputs, and visual integration are independently accepted. No scientific or display-integration discrepancy is open.",notebooks/hypotheses/H01.qmd; audit/hypotheses/H01/H01_analysis_preparation.qmd,audit/handoffs/H01_worker_handoff.md,yes,yes,yes,019fb4ce-d84c-73d1-be48-dc244be5b5f0,yes,result_and_companion_yes,result_and_companion_independently_accepted_awaiting_h02_serial_release,pending_after_first_adjustment,"Order 32h result acceptance remains controlling. Order 32k accepts the existing order-32i companion HTML 5ab65874 after the source-test correction, five direct worker-manifest reseals, complete non-render checks, 20-table and two-figure semantic verification, and secure-loopback QA at desktop, narrow, 200-percent-equivalent, and native figure sizes. The 80-row owner completion manifest is exact, unique, and non-circular. Harmonizer acceptance is ba3804eb with 18-row manifest 261c4479. The accepted result source/HTML are 9448eacc/df78ac3c; companion source/HTML are ed12b623/5ab65874; profile is 80dd0557. Principal-output appearance remains provisional for final author approval. H02 may become the next serial target only through a separate coordinator release."
04,H02 result and preparation/provenance,019fb4d0-9d07-75a2-bb73-71cd6b2d0e44,idle_result_and_companion_accepted_awaiting_next_serial_release,"Accepted scientific analysis with no unresolved scientific or compute gate. The consolidated source rewrite, result and companion renders, semantic repairs, links, protected inputs, and visual integrations are independently accepted. Supplementary information is independently integrated. The four-literal live-input contract reconciliation is provenance-only and preserves all frozen H02 model frames and historical fit-time records.",notebooks/hypotheses/H02.qmd; audit/hypotheses/H02/H02_analysis_preparation.qmd,audit/handoffs/H02_worker_handoff.md,yes,yes,yes,019fb4d0-9d07-75a2-bb73-71cd6b2d0e44,yes,result_and_companion_yes,result_and_companion_independently_accepted_awaiting_h03_serial_release,pending_after_first_adjustment,"H02 result acceptance remains audit/report_harmonization/report018_h02_result_independent_acceptance.md, SHA 13a5121a, with source/HTML 4f431eab/736dc631. Order 39b accepts companion source/build QMD 92424e41 and HTML 966f5556 after the exact provenance-only contract repin 48fef63a. Independent R 4.6.1 replay passes the 22-row owner manifest, all four H02 tests, the 59-row live preparation manifest, and the 21-row semantic/link/build audit. The semantic hook records 16 tables, 80 IDs, 517 header references, and 597 reversible substitutions. Independent desktop, 708-pixel, 200-percent-equivalent, native-PNG, Mermaid, and table-scroller inspection passes; both loopback servers are stopped. Acceptance is audit/report_harmonization/report018_h02_companion_independent_acceptance.md SHA d3334682 with 25-row manifest SHA 122fae1b. Historical fit-time input records and every scientific artifact remain frozen. H03 result is the next eligible serial render target through a separate order."
05,H03 result and preparation/provenance,019fbe52-c067-7521-b2cf-62d9398d173b,idle_result_and_companion_accepted,H03-AUX-001 / CHG-139 keeps H03 scientifically closed and accepts the distinct auxiliary participant random-intercept assessment as descriptive supplementary evidence. The order 41 input-identity stop is reconciled as a provenance-only transition: R 4.6.1 reproduced all 10 frozen H03 frames and four model matrices plus responses and support sets and exact-zero counts from the current accepted base inputs without fitting models. No scientific discrepancy is open.,notebooks/hypotheses/H03.qmd; audit/hypotheses/H03/H03_analysis_preparation.qmd,audit/handoffs/H03_worker_handoff.md,yes,yes,yes,019fbe52-c067-7521-b2cf-62d9398d173b,yes,yes,report018_result_and_companion_accepted,pending_after_first_adjustment,"Accepted sources remain result 45ea5a00 and companion 59270288. REPORT-018 result HTML abe4be0b remains accepted. Order 41a reconciled only two current input SHA pins after checker ca746b91 reproduced all frozen H03 frames and support objects exactly without fitting models. The sole companion render completed to HTML 2583f765 with 27 native tables, four figures, one top-down Mermaid, 218 repaired IDs, 889 headers attributes, reciprocal links, protected-result preservation, and clean desktop, narrow, 200-percent-equivalent, native-PNG, and teardown checks. The historical direct HTML remains byte-exact at noncanonical recovery path H03_analysis_preparation 2.html and is classified as a nonblocking historical-output relocation. Independent acceptance 745a2c93, visual QA 1b93b0f0, and 19-row manifest bb5ead57 pass under R 4.6.1. H03 result and companion integration is accepted; H04 result is next eligible."
06,H04 result and preparation/provenance,019febf4-4868-72f3-bd97-31a85e86f8f0,idle_result_and_companion_accepted,Stages 1-4 and the owner-requested Mundlak and participant random-intercept sensitivity assessments are scientifically complete in H04-owned scope. The primary population-mean analysis remains unchanged. The consolidated source package and the two country-label source reflows are independently accepted. No scientific discrepancy is open.,notebooks/hypotheses/H04.qmd; audit/hypotheses/H04/H04_analysis_preparation.qmd,audit/handoffs/H04_worker_handoff.md,yes,yes,yes,019febf4-4868-72f3-bd97-31a85e86f8f0,yes,result_and_companion_rendered,report018_result_and_companion_accepted,pending_after_first_adjustment,"H04 result HTML da5f7f71 and companion HTML e5f0861e are independently accepted. Order 43 repaired 37 native tables, synchronized the website QMD, rebuilt 276 live-exact preparation-manifest rows, and passed the full preparation test. Order 43b corrected only the header-token count definition and passed once with 37 tables, four figures, one top-down Mermaid, 1,146 headers attributes, 1,968 resolved header-ID tokens, zero unresolved references, 836 build files, and no unclassified drift. Secure loopback desktop, narrow, 200-percent-equivalent, native-PNG, scroller, disclosure, navigation, teardown, and post-QA stability checks pass. Independent acceptance 9621bc7f and its 22-row manifest b2e6cf69 pass under R 4.6.1. H04 integration is complete; H05 result is the next eligible sole serial target."
07,H05 result and preparation/provenance,019fba35-6fd8-73c3-970f-e41f8b759bb6,idle_result_and_companion_accepted,Stage 4 is scientifically closed and current after METRIC-011. Every 68-test family retains zero FDR-supported associations and the four sleep-environment cells remain unfit for inference. The consolidated source rewrite and complete source-only verifier are independently accepted. No scientific discrepancy is open.,notebooks/hypotheses/H05.qmd; audit/hypotheses/H05/H05_analysis_preparation.qmd,audit/handoffs/H05_stage4_handoff.md,yes,yes,yes,019fba35-6fd8-73c3-970f-e41f8b759bb6,yes,result_and_companion_rendered,report018_result_and_companion_accepted,pending_after_first_adjustment,"H05 result QMD 7c20e166 and HTML a088e105 remain independently accepted. Order 45b repaired the accepted input-integrity classification and completed the sole companion render, semantic repair, helper, 142-row live manifest, and complete nonvisual checks. Companion source 843f60f8 and HTML 856dbd21 contain 22 native tables, three figures, one top-down Mermaid, resolved links and headers, active navigation, and no error nodes. Order 45c secure-loopback QA passes at desktop, narrow, 200-percent-equivalent, and complete figure views. All 22 tables are usable, the five wide narrow tables have working contained scrollers, all figures and the Mermaid are legible, disclosures work, no console warning or error appears, the server is stopped with no listener, and 836 build plus 158 protected identities are stable. The stale hard-coded HTML test expectation remains deferred as nonblocking under REPORT-018. H05 result and companion integration is accepted. H06 hourly result is the next eligible serial target after its bounded display-artifact prerequisite."
08,H06 hourly main result and preparation/provenance,019fbd4a-288b-7a72-ac70-2d17ba6d2f04,idle_result_and_companion_accepted,"The accepted, frozen hourly analysis is the controlling main H06 result; the accepted H06_daily analysis remains separate complementary evidence.",notebooks/hypotheses/H06.qmd; audit/hypotheses/H06/H06_analysis_preparation.qmd,audit/handoffs/H06_worker_handoff.md,yes,yes,yes,019fbd4a-288b-7a72-ac70-2d17ba6d2f04,yes,result_and_companion_rendered,report018_h06_result_and_companion_accepted,pending_after_first_adjustment,"Order 37a is independently source-accepted at result 468ecebe, unchanged companion f952d5ec, handoff 21b37d16, and verifier fd8b4b52. The single R 4.6.1 run passed 179 source-only checks; defect list ef13da8c contains only its header; all 106 non-circular manifest rows b8274e71 and 94 protected paths are exact. Exact two-step reverse evidence reconstructs stopped order 37 and the accepted pre-order sources. Orders 46, 46a, and 46b produced the complete artifact-only refresh for four baked reader-figure families and all 11 paired exports from eight frozen source CSVs. Independent R 4.6.1 verification passes 61/61 structural checks, 16/16 visual views, the exact 53-file candidate inventory, the 55-row owner seal, all 11 durable identities, 308 manifest rows with 13 updates and seven appends, and the complete focused verifier. The actual manifest differs from the rehearsal only in truthful runtime-generated written_utc values. Artifact acceptance a1e637bc and its 36-row non-circular manifest 9b709948 close the prerequisite. Order 47 releases only the hourly H06 result render with the semantic hook and complete loopback QA. The companion, H06 daily, H07, and every later render remain held pending independent result acceptance. Order 47 stopped before page generation because three contract hashes predated the accepted current METRIC-011 inputs. Stopped acceptance 1c37c4da and order 47a authorize exactly three provenance-only SHA repins plus one H06 result rerender; the companion and every later target remain held. Order 47a accepted the three current-input contract repins, then stopped at cell 40 of 41 on the sole computed if_else expression inside dplyr::select. Acceptance 26fd6a86 and order 47b authorize only select-to-transmute for that six-row display table plus one result rerender; the companion and later targets remain held. Order 47b completed all 41 cells and wrote fresh pre-hook HTML dc62f370, then the semantic hook correctly stopped because exactly two existing formula gt tables lacked tbl-* endpoints. Acceptance 3436599f and order 47c authorized only those two labels and captions plus one result rerender. Order 47c produced accepted result source d65c197c and HTML 8b5f1b0a. The semantic hook repaired all 13 tables through 64 ID and 340 headers substitutions, with an exact 404-row reverse ledger. All six figures, 1,710 internal links, four DEV anchors, active navigation, nine country-coded sites, 90 protected paths, and classified build changes pass. Desktop, 708-pixel, 200-percent-equivalent, and 170-mm exported-output QA pass, and the loopback server stopped with no listener. Independent acceptance 1e509750 and its 21-row non-circular manifest 920d3b38 accept the hourly result. Order 47d rendered and semantically repaired the companion once. The stale hard-coded-HTML test assertion remains deferred under REPORT-018, and the deterministic response-distribution PNG regeneration is centrally accepted. The no-rerender continuation passes 30 native tables, three figures, one top-down Mermaid, 1,142 resolved table-header tokens, 2,505 resolved internal links, desktop, 708-pixel, 200-percent-equivalent, and 170-mm visual QA. The loopback server stopped with no listener, and 821 build plus 469 protected paths stayed byte-identical. H06 hourly result and companion integration is accepted; H06_daily is the next eligible serial result target pending central concurrence."
09,H07 result and preparation/provenance,019fbe52-6781-7c32-bdcf-379c88ef1e78,idle_result_and_companion_accepted,"H07 Stage 4 is approved, resealed, rendered, and verified; shared-site integration remains coordinator-owned.",notebooks/hypotheses/H07.qmd; audit/hypotheses/H07/H07_analysis_preparation.qmd,audit/handoffs/H07_worker_handoff.md,yes,yes,yes,019fbe52-6781-7c32-bdcf-379c88ef1e78,yes,yes,report018_result_and_companion_accepted,pending_after_first_adjustment,"Final result c779c57f and companion a6c05e81 are accepted. The last follow-up added only the explicit companion deviation-section anchor; reverse substitution reproduced 23004484. DEV-016/033/034 and reciprocal anchors resolve; IMP-008 is absent. The exact three-part derivative rule, six-of-nine near-eye and seven-of-nine chest classifications, numeric tokens, endpoints, units, objects, stored paths, and no-ceiling conclusion are preserved. Every owner-owned corpus-link match is now clear. Seven baked PNGs remain deferred and are not part of REPORT-018 order 52. Central release 2310116b, 28-row seal dc1b187f, order 9c7977f9, and 35-row dispatch b981c8ef authorized one H07 result render. Order 52 produced accepted result HTML 78148604 with 11 native gt tables, two figures, 515 reversible semantic substitutions, clean desktop/narrow/200-percent-equivalent QA, and complete loopback teardown. Independent acceptance 7752009f and its 26-row non-circular manifest close the result-page gate. Companion release 4d394884, order 53 988d0773, and 29-row dispatch d5a405c2 authorize exactly one H07 companion render plus one dedicated helper execution. Order 53 rendered the companion once to canonical HTML 4c03a3e3, repaired 21 tables through 850 reversible substitutions, and rebuilt a 1,235-row live-exact manifest. It stopped before browser QA because Quarto removed the obsolete source-side HTML and its 15 local assets. Independent acceptance d57ef70a classifies that exact 16-path removal as expected canonical-output cleanup and all 405 applicable links pass. Order 53a completed no-rerender static and secure-loopback QA against the preserved canonical HTML. Independent final acceptance confirms 109/109 owner evidence files, 1,235/1,235 live manifest rows, all 21 tables, both figures, 850 semantic substitutions, 405 links, 851 build files, and 1,404 protected files. H07 result and companion integration is complete."
