"document","locus","classification","current_issue","consolidated_action","scientific_preservation","verification"
"H03 result","HTML format","mandatory accessibility repair","Dense figures lack a zoom affordance","Add lightbox: true","No asset regeneration or figure-content change","YAML parse and later desktop/narrow lightbox check"
"H03 result","Answer in brief","mandatory hierarchy repair","Seven category lines and six site-deviation lines make the opening callout too long","Keep a concise central answer and move the existing detailed inline lines to the late detailed analysis record","All inline values and scientific statements retained","Inline-expression set and visible detailed-line preservation"
"H03 result","Early support orientation","mandatory hierarchy repair","Two support tables precede the principal result","Keep a concise prose orientation early and move tbl-h03-overall-samples and tbl-h03-category-support to the late detailed record","All sample and support rows, values, captions, and IDs unchanged","First table endpoint and exact table-pipeline checks"
"H03 result","Principal endpoint order","mandatory hierarchy repair","Supplemental support tables are the first table endpoints","Make fig-h03-primary-estimates and tbl-h03-primary-results the first figure and table endpoints","Main-output content and all other endpoints unchanged","Exact first-endpoint assertions and endpoint set equality"
"H03 result","Site-interaction wording","mandatory vocabulary repair","Historical heterogeneity naming remains in code and one figure filename","Use category-by-site interaction in reader prose while retaining exact code-only filenames and object names","Model formula and estimand unchanged","Reader-text scan plus artifact-reference equality"
"H03 result","Shared site styling wording","mandatory vocabulary repair","One note refers to the submitted site palette","Use the shared country-coded site order and colours","All colours, order, sites, and values unchanged","Exact display-string change and country-code scan"
"H03 result","Participant random-intercept group labels","mandatory vocabulary repair","The table displays Participant heterogeneity","Display Participant-level variation","All rows and model-based values unchanged","Native-gt pipeline equality except approved labels"
"H03 result","Participant random-intercept companion link","mandatory cross-link repair","The accepted auxiliary result has no link to its preparation record","Add one dynamic relative .qmd link to #sec-h03-prep-participant-random-intercept","No scientific content change","Exact target and once-only anchor checks"
"H03 result","Primary model checks","optional progressive disclosure","A dense diagnostic table and figure interrupt the main interpretation","Keep the model-check conclusion visible and place tbl-h03-primary-diagnostics plus fig-h03-primary-diagnostics in Show detailed primary model checks","All values, captions, alt text, paths, and IDs unchanged","Endpoint once-only and disclosure source checks"
"H03 result","Sensitivity details","optional progressive disclosure","The detailed table is visually dense","Keep the overall conclusion visible and place tbl-h03-sensitivities in Show detailed sensitivity results","All scenarios, values, classifications, and caption unchanged","Endpoint once-only and table pipeline checks"
"H03 result","Exploratory time-of-day details","optional progressive disclosure","Several figures, tables, and checks dominate the main flow","Keep purpose, central interpretation, and limitations visible; place temporal endpoints in Show exploratory nonlinear time-of-day details","All GAM formulas, curves, values, checks, captions, alt text, and IDs unchanged","Endpoint set, formula, artifact, and inline-expression checks"
"H03 result","Exploratory latitude details","optional progressive disclosure","The detailed exploratory table and figure dominate the main flow","Keep ecological and non-causal qualification visible; place latitude endpoints in Show exploratory latitude details","All slopes, intervals, FDR decisions, captions, alt text, and IDs unchanged","Endpoint set, artifact, and numeric-token checks"
"H03 result","Detailed analysis record","mandatory structure repair","Samples, formulas, registration links, and provenance are split across the report","Create one late detailed record containing moved support tables, moved detailed opening lines, registration links, formulas, source data, and provenance","All endpoints, links, anchors, formulas, and content retained","Once-only endpoint/link checks and dynamic anchor resolution"
"H03 result","Preregistration entries","mandatory link preservation","Five entries are currently correct but must survive reordering","Keep DEV-013, DEV-014, DEV-022, DEV-023, and DEV-024 as exact dynamic links","All current disposition wording retained","Five IDs, five lower-case anchors, exact central resolution"
"H03 result","Prose punctuation","mandatory style repair","Reader prose contains em dashes","Replace prose em dashes with punctuation or separate sentences; retain missing-value dash symbols","No claim or value change","Protected-token and prose scan"
"H03 result","Endpoint preservation","mandatory structural gate","Reordering and disclosures could duplicate or drop endpoints","Preserve exactly 14 table and eight figure endpoints, with principal endpoints first","Every table and figure remains scientifically identical","Label set equality and once-only checks"
