classification,path,sha256,bytes,status
acceptance,audit/report_harmonization/report017_h01_order32i_stopped_independent_acceptance.md,be210834f9a7cda0f7400924a1ec0d34639b5839fd040674ebecd26f658e525d,4619,PASS
owner_stop,audit/hypotheses/H01/report017_order32i_preparation_render/order32i_stopped_state.md,b36ae6f42509d2dfd2c611473190b101b70d339a3c79c9029487b4075b16366d,6830,PASS
owner_evidence,audit/hypotheses/H01/report017_order32i_preparation_render/order32i_owner_evidence_manifest.csv,bdf00b7a3035308f743961d272b755c1df6901de4c75f493d487937f0fe20440,8146,PASS
owner_order,audit/report_harmonization/owner_orders/32i_h01_preparation_provenance_target_render.md,d8c0009a737db7aff3fd7249a6413a105002d1ebe2dfd395c41729844f19a4f0,6992,PASS
dispatch,audit/report_harmonization/report017_h01_order32i_dispatch_manifest.csv,e72890b110f0d2cb37a76fc7b8f21b9458e13b981fc02261dbacaedd49227a49,1920,PASS
accepted_source,audit/hypotheses/H01/H01_analysis_preparation.qmd,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,55827,PASS
stopped_output,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,5ab6587465f01f946fcf133f9f81a69168e08fa866f69830c2378e6c3cf250fe,727310,PASS
accepted_source,notebooks/hypotheses/H01.qmd,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,93260,PASS
accepted_output,_build/nathealth/notebooks/hypotheses/H01.html,df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007,1643915,PASS
profile,_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,PASS
accepted_test,tests/hypotheses/H01/test_h01_preparation_report.R,379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4,10993,PASS
current_manifest,artifacts/12_manifests/H01/H01_preparation_report_manifest.csv,69c2215a3c789e31b4b9e820ae1a1c90485a74ec106d4c09269a71d859cdffd5,13841,PASS
finalization_helper,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,0ff174f2127ac981d13b619038c16f286f0643a10372610def43f687048aa4ee,7163,PASS
semantic_evidence,audit/hypotheses/H01/report017_order32i_preparation_render/order32i_external_semantic_manifest.csv,40e54be2f4d846249d3426ba178afc4043d3d17916801a8f71554d7aa75bc36c,464,PASS
