"domain","check","observed","expected","status"
"stopped state","direct stop identities","6","6","PASS"
"stopped state","owner non-circular seal","58/58","58/58","PASS"
"stopped state","owner failure verification","17/17","17/17","PASS"
"Stage 3 manifest","live and historical rows","87+19","87+19","PASS"
"classification","closed 19-row authority set","19/19","19/19","PASS"
"downstream replay","all chunks including three later chunks","22/3","22/3 later","PASS"
"source contract","endpoints and reader targets","19/1/1","19/1/1","PASS"
"helper replay","prospective non-circular inventory","554","554 before render and 555 after one target asset","PASS"
"semantic replay","held-page repair and exact reverse","19/102/588/690","19/102/588/690","PASS"
"preservation","build, protected, and source-side baselines","851/545/16","851/545/16","PASS"
