role,path,sha256,bytes,note
repaired_source,index.qmd,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,91250,only RQ1 link target changed
preserved_config,_quarto-nathealth.yml,b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5,7031,unchanged
preserved_source,notebooks/preregistration_deviations.qmd,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,94061,unchanged
link_target_source,audit/hypotheses/H01/H01_analysis_preparation.qmd,962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8,54405,contains exact metric-contract table anchor
rendered_target,_build/nathealth/index.html,d4c795294e45b1c7badc9cb69c3b4162f30348449c22517eecb2ab802e4c1871,406136,index-only no-execute profile render
preserved_output,_build/nathealth/notebooks/preregistration_deviations.html,c033c1b8110e58375757e8ef8ac5c5d0dbf5f402a651454b247c1a622ded6880,160936,unchanged
resolved_target,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,667418,exact table anchor occurs once
restored_output,_build/nathealth/sitemap.xml,33b60141a091d90c06553ba98ea0bb272f8c44518eb337d382ebcce50901146e,5055,exact pre-render bytes restored
structural_manifest,audit/report_harmonization/phase4_corpus_manifest.csv,6728a9c8a86e6b762e46f8f51666078cf03beb51d7beca729c4de0ec1e0d5ad1,11198,35 accepted sources and 34 rendered HTML files
verification_record,audit/report_harmonization/report017_render_order_00b_verification.md,14be1395553e08e61697d231f62b6c5d27d31a8a0efa4c85dd299a5623eb1687,4253,non-circular verification record
