"document","locus","classification","current_issue","consolidated_action","scientific_preservation","verification"
"H04 result","HTML format","mandatory accessibility repair","Dense figures have no zoom affordance","Add lightbox: true","No asset regeneration or figure-content change","YAML parse and later desktop/narrow lightbox check"
"H04 result","Answer in brief","mandatory hierarchy repair","Five exact category lines delay the central interpretation","Keep a concise central answer and move the exact lines unchanged to the late detailed record","All inline values and claims retained","Inline-expression set and detailed-line preservation"
"H04 result","Opening orientation","mandatory hierarchy repair","Placement, outcome, multi-select, and estimand explanations are split across later sections","Create one short What was analysed orientation before the principal result","No sample, outcome, or estimand change","Protected-token and claim comparison"
"H04 result","Terms used below","mandatory clarity repair","Several recurring specialist terms are explained only after first use","Add a compact glossary for site-average estimate, activity-by-site interaction, 95% CI, FDR, random intercept, nonlinear GAM analysis, AR(1), Shapley allocation, and common sample","Definitions only; no claim change","Approved-vocabulary scan"
"H04 result","Principal endpoint order","mandatory hierarchy repair","Three support tables are the first table endpoints","Make fig-h04-primary-estimates and tbl-h04-primary-results the first figure and table endpoints","Main-output content and every endpoint retained","Exact first-endpoint and endpoint-set checks"
"H04 result","Principal figure","mandatory hierarchy repair","The main figure occurs after three support tables and the registration list","Move fig-h04-primary-estimates directly after the short orientation","Asset, caption, alt text, and source-data link unchanged","Figure-label, path, caption, and alt preservation"
"H04 result","Principal table","mandatory hierarchy repair","The main table occurs after supplemental support context","Move tbl-h04-primary-results directly after the main figure","Native gt pipeline, rows, values, units, caption, and notes unchanged","Native-gt source contract and first-table check"
"H04 result","Exact category lines","mandatory hierarchy repair","Detailed category values overfill the opening callout","Move all five existing inline category lines unchanged to a late detailed record or collapsed exact-estimates note after the main table","Every inline-R expression and scientific statement retained","Exact inline-expression multiset"
"H04 result","Sample tables","mandatory hierarchy repair","tbl-h04-overall-samples, tbl-h04-sample-flow, and tbl-h04-category-support precede the central result","Move the three tables to Sample and activity support after the main result or the late detailed record","Rows, order, values, captions, notes, and IDs unchanged","Table-pipeline and endpoint checks"
"H04 result","Preregistration changes","mandatory hierarchy repair","Registration details precede the principal result","Move the existing anchored section to the late detailed analysis record","All five links and explanations unchanged","Exact links, anchors, and text preservation"
"H04 result","Supporting contrasts","optional progressive disclosure","Detailed contrast and omnibus tables interrupt the central narrative","Place detailed endpoints in Show supporting contrasts and interaction tests while keeping the conclusion visible","All tests, values, p-values, captions, and IDs unchanged","Endpoint and source-pipeline equality"
"H04 result","Activity-by-site wording","mandatory vocabulary repair","Historical heterogeneity wording survives in reader prose and filenames","Use activity-by-site interaction in reader prose; retain code-only names and filenames","Model, formula, and estimand unchanged","Visible-text scan and artifact-reference equality"
"H04 result","Other/unspecified wording","mandatory vocabulary repair","Other is called a heterogeneous display category","Describe it as varied, display-only, and not a coherent scientific category","Display role and no-claim boundary unchanged","Visible-text scan"
"H04 result","Site-name wording","mandatory vocabulary repair","One paragraph says submitted country-coded names","Use country-coded study-site names from the shared registry","All names, country codes, order, and colours unchanged","Nine-site country-code check"
"H04 result","Site-specific context","optional progressive disclosure","A large site table, figure, and R² table create a long technical block","Place detailed endpoints in Show site-specific context and R² summaries while keeping the interaction conclusion visible","All cells, values, support rules, source links, and limitations unchanged","Endpoint and source-link checks"
"H04 result","Participant random intercept","mandatory scientific-role clarity","The new section is correct but specialist terms need a compact first-use bridge","Retain the section visibly; keep the plain random-intercept explanation and the explicit distinction from the primary and Mundlak models","All stored values, formula, checks, and caveats unchanged","Formula, numeric-token, link, and role checks"
"H04 result","Primary model checks","optional progressive disclosure","The full table and figure dominate the result flow","Place the detailed endpoints in Show detailed primary model checks and keep the acceptable-with-limitation conclusion visible","All model checks and limitations unchanged","Endpoint and visible-conclusion checks"
"H04 result","Sensitivity analyses","optional progressive disclosure","The full sensitivity and Mundlak tables interrupt the narrative","Place detailed tables in Show detailed sensitivity results and keep the stability and observational conclusions visible","All branches, samples, estimates, decisions, and caveats unchanged","Sensitivity token and endpoint checks"
"H04 result","Common-sample comparison","mandatory clarity repair","Common-sample appears before a plain explanation","First state that the comparison uses the same participants and participant-hours at both sensor positions; then use common sample","Matched keys and estimand unchanged","Required first-use phrase and source-link checks"
"H04 result","Exploratory GAM first use","mandatory clarity repair","The technical temporal structure is dense","Retain nonlinear GAM analysis and explain that activity- and site-associated patterns may bend across clock time","Formula, fitted outputs, and exploratory role unchanged","Formula and first-use checks"
"H04 result","AR(1) first use","mandatory clarity repair","AR(1) appears with only a construction description","Explain once that adjacent residuals are allowed to be more alike than distant residuals","rho, boundaries, and claims unchanged","Approved first-use phrase"
"H04 result","Shapley allocation first use","mandatory clarity repair","The allocation is defined technically but not consistently","Explain that Shapley allocation distributes shared fitted-model information instead of summing overlapping contributions","All allocations and non-causal limits unchanged","First-use and numeric-token checks"
"H04 result","Temporal details","optional progressive disclosure","Five detailed temporal endpoints create a long exploratory section","Place detailed endpoints in Show exploratory nonlinear time-of-day details and retain the purpose, main pattern, and limitations outside","All figures, tables, curves, checks, and claims unchanged","Endpoint and source-data checks"
"H04 result","Interpretation","mandatory vocabulary repair","Other is again called heterogeneous","Use the approved display-only no-substantive-claim language","Scientific interpretation unchanged","Visible-text scan"
"H04 result","Technical formulas","optional progressive disclosure","Exact formulas remain fully expanded at the end of the result","Keep tbl-h04-formulas in the late detailed record","Formula strings and table unchanged","Exact formula and endpoint checks"
