"document","table_candidates","native_gt_current","conversion_required","conversion_labels","nonconforming_identifier_count","nonconforming_identifiers","semantic_core_current","publication_structure_current","structure_change_required","final_requirement"
"Descriptives",8,4,4,"tbl-descriptive-sample-flow | tbl-descriptive-comparison-summary | tbl-descriptive-visual-export-comparison | tbl-descriptive-figure-contract",0,"",8,4,4,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H01",36,36,0,"",0,"",36,36,0,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H02",15,15,0,"",0,"",15,15,0,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H03",13,13,0,"",0,"",13,13,0,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H04",15,15,0,"",0,"",15,15,0,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H05",30,30,0,"",0,"",30,30,0,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H06",11,11,0,"",11,"exact-samples | multiplicity-registry | primary-effects | primary-site-heterogeneity | site-specific-significance-table | gap-effect-comparisons | key-sensitivities | influence-summary | core-diagnostic-summary | exploratory-diary-effects | figure-readability-qa",11,0,11,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H07",11,11,0,"",0,"",11,11,0,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H08",15,14,1,"tbl-h08-formulas",0,"",14,14,1,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H09",11,11,0,"",0,"",11,11,0,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H10",14,14,0,"",0,"",14,14,0,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
"H11",16,16,0,"",0,"",16,16,0,"Every main and supplemental table is a native gt_tbl printed from a labelled knitr cell."
