"authority","project_relative_path","bytes","sha256","role"
"central","audit/report_harmonization/brown_stage3_stage4_language_harmonization_dispatch.md",3293,"68308548cad52cf79b54bc39b1d458d55c4682bcd08cdbca6a627d137a3c3a97","dispatch_record"
"central","audit/report_harmonization/owner_orders/brown_stage3_stage4_language_harmonization_source_only_proposed_dispatch.md",9363,"d0c015860627efbdd4802fbd23f2119c74087053684d476c2e535fcc486ad345","approved_owner_order"
"central","audit/report_harmonization/brown_stage3_stage4_paired_language_read_only_audit.md",9189,"4c28cebece937a0d8f34f5c1a41b3272fdfaf9c916e9cd0885fa91bc17bc44f2","approved_read_only_audit"
"central","audit/report_harmonization/brown_stage3_stage4_language_change_matrix.csv",29488,"4f684d62236658b3bc7ae6fdfc37984fcb2bfc727e151842144e53e83c8aafae","approved_34_action_matrix"
"central","scripts/report_harmonization/check_brown_stage3_stage4_paired_language_audit.R",14787,"bf335549abbcf6966a09684351dfec973f63732e74bcf65877d87688d7d08d9f","approved_checker"
"central","audit/report_harmonization/brown_stage3_stage4_paired_language_audit_manifest.csv",5657,"392d5d8d65cccb8281353e4c8a7c5f41a71863c9c50baa95b6f84e73315432d3","approved_28_row_seal"
"central","audit/decisions/brown_adherence_cross_state_stage4_acceptance_and_language_harmonization_transition.md",7972,"3bf604c4ad60a8ef3efb452626598306f5e473b341781e89a84218b6eb9a7583","controlling_transition"
"central","audit/report_harmonization/owner_orders/brown_stage3_stage4_language_harmonization_source_only.md",7229,"4b1f1857e66cb486fcc94fe1e65bbc47cda39e7cd33f34efbf79081b9e24a89a","queued_source_authority"
"central","audit/report_harmonization/coordination_matrix.csv",33424,"8a98ad1997b8b25f46434a5b0376217ed58383e61dd1f7bddace48b15ed5b330","dispatch_time_hypothesis_matrix"
"central","audit/report_harmonization/report018_h06_daily_order49c_independent_acceptance.md",4606,"69a7eccb5d214761896ea6d0e04b13034bdf65787bd83831252139aa80c564cc","serial_safe_point"
"central","audit/report_harmonization/report018_h06_daily_order49c_independent_acceptance_manifest.csv",5510,"f5f883bd829dbd843d4878999349a8d78bed62468ae0824a3009a27846859d72","serial_safe_point_seal"
"brown","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",52506,"80bd2167095dfcf025de7f79baa495c111641cbd02622345e9c5641225aa0997","stage3_source"
"brown","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.html",4808772,"9a4f89f2291eaa8926a429a1e12acdc4d7de8d9ca47d37db5801fbd4d5b35fe0","stage3_html"
"brown","audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",24147,"642a004048182d18225c34f6f06819838f801f5c23c03fd03bf52119f5430d29","stage4_source"
"brown","audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.html",4340432,"c32f4a20da7533e1ae722b0bbad6b4e822889ac14bbbddf0ef0303a8ea1e9f3f","stage4_html"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/fallback_candidate_recovery/final_manifest.csv",44950,"69033a670469ba3c511afdd0dce0caa9cf55bc946af548d795584043442e3a21","stage3_accepted_manifest"
"brown","audit/analyses/brown_adherence/stage4_cross_state_association/stage4_final_manifest.csv",54203,"80490b61df19ba5f20fdcb013fea6e6de3d28a337fae1db30aa0f7b7fcf040c2","stage4_accepted_manifest"
"brown","renv.lock",603493,"3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350","brown_lockfile"
