path,sha256,bytes,role,classification
audit/manuscript_nature_health/manuscript_figure_table_selection.qmd,7bf0c39745e6828201e955514712faea0a26031edb26606f165830ca04cb66ee,48022,current_selection_source,current
audit/manuscript_nature_health/manuscript_figure_table_selection.html,4639b6f27608cb818bb4125851d7b297b64fa8e1d7f1fcabd463bb5c1e0d73d1,27417440,current_selection_html,current_visual_stop
scripts/report_harmonization/build_manuscript_figure_table_selection.R,52fcf891e153c45587e247c658f906b6e586a9082db4ecde6a8363ebb256e40f,64834,current_builder,current
scripts/report_harmonization/check_manuscript_figure_table_selection.R,5a308c34057d12abe181e028555291437c781fa6108fb60298a6a157f8246cd9,15285,current_checker,current
audit/manuscript_nature_health/figure_table_selection_assets/selection_asset_manifest.csv,a6cb974b2393f55827fd98b7c153bedefb592fed9fb179f815540674b71a8647,6472,current_asset_manifest,current
audit/manuscript_nature_health/figure_table_selection_assets/table_preview_semantic_summary.csv,d5d87330b0234ed444a01c30466985a91d23381053338b29eed56c5f149aebef,6569,current_semantic_summary,current
audit/manuscript_nature_health/figure_table_selection_assets/table_preview_semantic_ledger.csv,c2fe2c0678e6cfc7d2fd22ab4a866cb0e678cff3731641536d7d28fc936ce153,454826,current_semantic_ledger,current
audit/manuscript_nature_health/figure_table_selection_qa/structural_checks.csv,6d1fde7fc15627e82ed0d43359e319ea913e126b0ba6b559e51499324e22de4e,2380,current_32_check_record,current
audit/manuscript_nature_health/manuscript_figure_table_selection_manifest.csv,48943b351304cf53adbef411291231586972d8d1dc1ed6e4eabd79e3bf1ab77f,7991,earlier_package_manifest,historical
audit/manuscript_nature_health/figure_table_selection_qa/render_and_visual_qa.md,a0f892a4bcc195c1bc3bf5ff1eaf6207b731a2791d230d35e42f5bc743cf0530,2877,earlier_qa_record,historical
"audit/manuscript_nature_health/figure_table_selection_qa/render_and_visual_qa 2.md",b91e3fccd5e07f50027bdd2215f3b74ef56fdd7604136f61970ab4a9986b15f5,3160,earlier_qa_record,historical
audit/descriptives/sample_count_contract.csv,034e449164d617431e149b9ab28867ba4cc52830620e7acd606e756de61f1dd3,492,accepted_sample_count_contract,current_input
audit/report_harmonization/report018_manuscript_figure_table_selection_independent_review.md,4a58d5acf303101e1ae8b6dc6448c212a33d35e496e12d3e2d828c0516235496,5941,independent_review,current_evidence
audit/report_harmonization/report018_manuscript_figure_table_selection_independent_checks.csv,bed3fe840583bfe37ed7fee8f958b7ebba129c312ba148acc4352ce985113479,2964,independent_checks,current_evidence
audit/report_harmonization/report018_manuscript_figure_table_selection_visual_qa.csv,3a879ef6a18bcd89a6a113a152c2460db0aa6469a6719a2c26c7fd91806b43d7,733,independent_visual_qa,current_evidence
audit/report_harmonization/report018_manuscript_figure_table_selection_historical_records.csv,fae785a7526d70ab811101473392534e543e7b5ae00dda56015dac98fe29fd7e,851,historical_record_classification,current_evidence
