"document","hypothesis","type","label","source_line","caption","alt_text","source_qmd","render_path","artifact_path","source_data_hint","current_dimensions","current_style","proposed_role","polish_status","identifier_conforms"
"Descriptives","Descriptives","table","tbl-descriptive-sample-flow",131,"Updated descriptive sample after each fixed coverage step.",,"notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#tbl-descriptive-sample-flow",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"Descriptives","Descriptives","figure","fig-descriptive-overview",194,"Study protocol, country-coded sites, collection dates, observed civil photoperiod, and the pooled primary near eye 48-hour profile.","Five-panel study overview showing the protocol, country-coded study sites and coordinates, roster-wide collection dates, site photoperiod distributions, and a repeated 15-minute 48-hour primary near eye melEDI profile with central 50% and 90% value bands.","notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#fig-descriptive-overview","artifacts/10_figures/descriptives/descriptive_overview.png",,"descriptive_overview.png: 4725 x 4500 px; 300.000 dpi","figure generated in report chunk","proposed main descriptives figure","highly polished; visually reviewed; small harmonization only",TRUE
"Descriptives","Descriptives","table","tbl-participant-site",221,"Participant, site, collection, sleep, chronotype, and wear characteristics.",,"notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#tbl-participant-site",,,"semantic HTML table; responsive width","semantic gt HTML table","proposed main descriptives table","publication-formatted; retain semantic table styling",TRUE
"Descriptives","Descriptives","table","tbl-participant-site-manuscript",237,"Reduced participant and site characteristics.",,"notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#tbl-participant-site-manuscript",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"Descriptives","Descriptives","table","tbl-near-eye-metrics",270,"Primary near eye melEDI metric distributions overall and by site.",,"notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#tbl-near-eye-metrics",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"Descriptives","Descriptives","figure","fig-near-eye-site-profiles",292,"Pooled primary near eye melEDI profiles by site, with each 24-hour cycle repeated once.","Nine country-coded site panels repeat pooled 15-minute primary near eye 24-hour melEDI profiles across 48 hours with nested central 50%, 75%, and 95% value bands and average civil-night and sleep periods.","notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#fig-near-eye-site-profiles","artifacts/10_figures/descriptives/near_eye_site_profiles.png",,"near_eye_site_profiles.png: 3011 x 3100 px; 450.000 dpi","figure generated in report chunk","supplement: detailed result or context","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"Descriptives","Descriptives","figure","fig-chest-site-profiles",306,"Complementary chest melEDI profiles by available site, with each 24-hour cycle repeated once.","Eight country-coded site panels repeat complementary 15-minute chest 24-hour melEDI profiles across 48 hours with nested central 50%, 75%, and 95% value bands and average civil-night and sleep periods. Tübingen (DE) is absent because there are no eligible chest days at MPI.","notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#fig-chest-site-profiles","artifacts/10_figures/descriptives/chest_site_profiles.png",,"chest_site_profiles.png: 3011 x 2480 px; 450.000 dpi","figure generated in report chunk","supplement: complementary chest result","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"Descriptives","Descriptives","figure","fig-near-eye-metric-distributions",324,"Sixteen primary near eye melEDI metric distributions by site.","A four-by-four grid of duration, dynamics, dose, level, spectrum, and circular timing metric distributions. Each panel contains labelled site ridges and white boxplots; red lines mark site medians.","notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#fig-near-eye-metric-distributions","artifacts/10_figures/descriptives/near_eye_metric_distributions.png",,"near_eye_metric_distributions.png: 3011 x 3011 px; 450.000 dpi","figure generated in report chunk","supplement: detailed result or context","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"Descriptives","Descriptives","figure","fig-time-series-to-metrics",341,"Seven fixed examples link stored 30-minute primary near eye melEDI series to daily duration above 250 lx during daytime.","Four panels connect five protocol weekdays of stored 30-minute primary near eye light samples for seven fixed participants to TAT250 values calculated from those displayed daytime samples, using participant boxplots, weekday boxplots, and a participant-by-weekday bubble grid.","notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#fig-time-series-to-metrics","artifacts/10_figures/descriptives/time_series_to_metrics.png",,"time_series_to_metrics.png: 2007 x 1807 px; 300.000 dpi","figure generated in report chunk","supplement: detailed result or context","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"Descriptives","Descriptives","figure","fig-latitude-photoperiod",365,"Observed civil photoperiod and theoretical bounds by absolute latitude for primary near eye participant-days.","Observed civil photoperiod distributions are plotted against absolute study-site latitude for 816 primary near eye participant-days, with black ribbons marking impossible photoperiods and a country-coded, registered-colour legend identifying the nine sites.","notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#fig-latitude-photoperiod","artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.png",,"latitude_photoperiod_diagnostic.png: 2007 x 2007 px; 300.000 dpi","figure generated in report chunk","supplement: detailed result or context","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
