check,observed,expected,status
owner manifest shape,rows=91 unique=TRUE non_circular=TRUE,rows=91 unique=TRUE non_circular=TRUE,PASS
owner manifest identities,91/91 exact,91/91 exact,PASS
fixed stopped-state identities,14/14 exact,14/14 exact,PASS
sole render execution,rows=1 attempt=1 exit=1,rows=1 attempt=1 exit=1,PASS
render failure classification,5/5 required tokens,5/5 required tokens,PASS
one-time durable promotion,count=1 files=8 exact=TRUE,count=1 files=8 exact=TRUE,PASS
candidate typography,figures=4 min170=7.224097 min643=7.229497,figures=4 minima>=7,PASS
stopped build reconciliation,851/851 exact,851/851 exact,PASS
stopped protected reconciliation,275/275 exact,275/275 exact,PASS
stopped process probe,0,0,PASS
semantic output before HTML,0,0,PASS
existing Quarto Sass cache,exists=TRUE bytes=36864 owner_uid=501,exists=TRUE bytes=36864 owner=current_user,PASS
