display,role,current_endpoint,current_format,gt_status,action
Table 1,main,tbl-participant-site-manuscript.html,HTML fragment,native gt,retain and verify
Table 2,main,tbl-plan-brown-main-adherence.html,HTML fragment,native gt,retain and verify
Table 3,main,tbl-plan-h01-metric-synthesis.html,HTML fragment,native gt,replace with accepted revised native gt candidate
Supplementary Table S1,supplementary,tbl-plan-descriptive-sample-flow.html,HTML fragment,native gt,retain and verify
Supplementary Table S2,supplementary,tbl-near-eye-metrics.html,HTML fragment,native gt,retain and verify
Supplementary Table S3,supplementary,tbl-recommendation-context.html,HTML fragment,native gt,retain and verify
Supplementary Table S4,supplementary,tbl-plan-brown-cross-window-associations.html,HTML fragment,native gt,retain and verify
Supplementary Table S5,supplementary,tbl-plan-h02-glasses-variation-shapley.html,static HTML table,not gt,convert to native gt
Supplementary Table S6,supplementary,tbl-plan-h02-chest-variation-shapley.html,static HTML table,not gt,convert to native gt
H01 detailed table,supplementary,tbl-h01-primary-publication-summary.html,HTML fragment,native gt,retain and verify
H07 detailed table,supplementary,tbl-h07-near-results.html,HTML fragment,native gt,retain and verify
Hourly H06 table,supplementary,tbl-h06-primary-effects.html,HTML fragment,native gt,retain and verify
Supplementary Table S7,supplementary,tbl-h06-daily-primary-matrix.html,HTML fragment,native gt,retain and verify; display scope separately held
Supplementary Table S8,supplementary,inline Markdown table,Markdown,not gt,convert to native gt
Supplementary Table S9,supplementary,tbl-h05-near-results-a.html + tbl-h05-near-results-b.html,HTML fragments,native gt,retain as one logical continued gt table and verify
Supplementary Table S10,supplementary,tbl-h08-near-eye-results.html,HTML fragment,native gt,retain and verify
Supplementary Table S11,supplementary,tbl-h09-near-eye-results.html,HTML fragment,native gt,retain and verify
Supplementary Table S12,supplementary,tbl-h10-main-results.html,HTML fragment,native gt,retain and verify
Supplementary Table S13,supplementary,tbl-h11-global-tests.html,HTML fragment,native gt,retain and verify
