"document","source_qmd","source_sha256","source_line","chunk_end_line","label","caption","label_option_count","caption_option_count","label_conforms","caption_nonempty","source_native_gt_static","native_gt_evidence","prohibited_output_calls","duplicate_caption_call","backend_specific_markup_present","local_gt_tbl_assertion","manuscript_role","source_contract_complete"
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",683,745,"tbl-h06-daily-analysis-roles","Analysis roles and exact fitted-sample ranges.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",779,826,"tbl-h06-daily-fdr-families","Twelve fixed 15-slot FDR families.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",879,885,"tbl-h06-daily-primary-matrix","Primary near-eye predictor-specific participant-day associations.",1,1,TRUE,TRUE,TRUE,"gt helper: primary_matrix_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",911,968,"tbl-h06-daily-primary-site-interactions","Site-average contrasts and site adjustment factors for primary interaction blocks retained by the global FDR rule.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",1004,1010,"tbl-h06-daily-placement-work-free","Near-eye, chest, and paired/common estimates for Free versus Work day.",1,1,TRUE,TRUE,TRUE,"gt helper: placement_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",1014,1020,"tbl-h06-daily-placement-activity","Near-eye, chest, and paired/common estimates for Active versus Sedentary status.",1,1,TRUE,TRUE,TRUE,"gt helper: placement_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",1024,1030,"tbl-h06-daily-placement-sleep","Near-eye, chest, and paired/common estimates per additional hour of previous-night sleep.",1,1,TRUE,TRUE,TRUE,"gt helper: placement_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",1046,1112,"tbl-h06-daily-gap-decision-changes","Primary versus gap-timing-unaware association decisions that crossed the FDR threshold.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",1150,1184,"tbl-h06-daily-joint-family-summary","Exploratory mutually adjusted daily-model FDR families.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",1195,1257,"tbl-h06-daily-joint-stability-limitations","Covariate-adjustment shifts of at least one common-sample standard error.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",1277,1322,"tbl-h06-daily-joint-site-interactions","Site-specific contrasts for conditionally supported exploratory interaction blocks.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",1367,1415,"tbl-h06-daily-temporal-gamm","Exploratory primary near-eye 30-minute GAMM summaries.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",1441,1500,"tbl-h06-daily-main-comparison","Selected main hourly H06 versus daily mean-melEDI associations.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H06_daily","notebooks/hypotheses/H06_daily.qmd","01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08",1549,1571,"tbl-h06-daily-diagnostic-summary","Model-check and sensitivity classifications.",1,1,TRUE,TRUE,TRUE,"gt helper: compact_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
