"document","manuscript_role","label","caption","source_qmd","source_line","render_html","render_anchor","html_exists","anchor_count","rendered_table_count","rendered_gt_table_count","rendered_non_gt_table_count","caption_count","figcaption_count","table_caption_count","rendered_caption","caption_matches_source","reference_resolved","aria_describedby_count","caption_relation_valid","render_locator","identifier_conforms","thead_count","tbody_count","column_header_count","body_row_count","body_cell_count","stub_cell_count","row_group_count","spanner_count","footnote_block_count","source_note_block_count","semantic_core_present","quarto_caption_owned","current_implementation","native_gt_current","publication_structure_current","manual_visual_accessibility_review_required","manual_review_scope","target_implementation","conversion_required","required_action","evidence"
"Descriptives","supplemental-table candidate","tbl-descriptive-sample-flow","Updated descriptive sample after each fixed coverage step.","notebooks/descriptives.qmd",142,"_build/nathealth/notebooks/descriptives.html","tbl-descriptive-sample-flow",TRUE,1,1,0,1,1,1,0,"Table 1: Updated descriptive sample after each fixed coverage step.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,5,8,40,0,0,0,0,0,TRUE,TRUE,"non-gt: knitr::kable",FALSE,FALSE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",TRUE,"Convert the existing display to native gt without changing prepared input, values, units, missingness, row/column order, or caption.","QMD source location plus current targeted Nature Health HTML"
"Descriptives","main-table component","tbl-participant-site","Participant, site, collection, sleep, chronotype, and wear characteristics using updated verified data.","notebooks/descriptives.qmd",172,"_build/nathealth/notebooks/descriptives.html","tbl-participant-site",TRUE,1,1,1,0,1,1,0,"Table 2: Participant, site, collection, sleep, chronotype, and wear characteristics using updated verified data.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,11,25,245,22,3,0,10,0,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"Descriptives","supplemental-table candidate","tbl-participant-site-manuscript","Submitted-manuscript Table 1 row selection reproduced with updated verified data.","notebooks/descriptives.qmd",189,"_build/nathealth/notebooks/descriptives.html","tbl-participant-site-manuscript",TRUE,1,1,1,0,1,1,0,"Table 3: Submitted-manuscript Table 1 row selection reproduced with updated verified data.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,11,18,168,15,3,0,8,0,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"Descriptives","supplemental-table candidate","tbl-near-eye-metrics","Near-eye melEDI metric distributions overall and by site using updated verified metric artifacts.","notebooks/descriptives.qmd",236,"_build/nathealth/notebooks/descriptives.html","tbl-near-eye-metrics",TRUE,1,1,1,0,1,1,0,"Table 4: Near-eye melEDI metric distributions overall and by site using updated verified metric artifacts.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,14,23,244,17,6,0,4,0,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"Descriptives","supplemental-table candidate","tbl-recommendation-context","Fractions of updated main near-eye minutes in the Brown et al. light-context ranges, with explicit denominators.","notebooks/descriptives.qmd",382,"_build/nathealth/notebooks/descriptives.html","tbl-recommendation-context",TRUE,1,1,1,0,1,1,0,"Table 5: Fractions of updated main near-eye minutes in the Brown et al. light-context ranges, with explicit denominators.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,11,11,99,11,0,2,6,0,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"Descriptives","supplemental-table candidate","tbl-descriptive-comparison-summary","Complete cell-level comparison with the earlier manuscript-generating tables.","notebooks/descriptives.qmd",407,"_build/nathealth/notebooks/descriptives.html","tbl-descriptive-comparison-summary",TRUE,1,1,0,1,1,1,0,"Table 6: Complete cell-level comparison with the earlier manuscript-generating tables.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,3,6,18,0,0,0,0,0,TRUE,TRUE,"non-gt: knitr::kable",FALSE,FALSE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",TRUE,"Convert the existing display to native gt without changing prepared input, values, units, missingness, row/column order, or caption.","QMD source location plus current targeted Nature Health HTML"
"Descriptives","supplemental-table candidate","tbl-descriptive-visual-export-comparison","Original and rebuilt visual exports available for side-by-side comparison.","notebooks/descriptives.qmd",464,"_build/nathealth/notebooks/descriptives.html","tbl-descriptive-visual-export-comparison",TRUE,1,1,0,1,1,1,0,"Table 7: Original and rebuilt visual exports available for side-by-side comparison.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,6,10,60,0,0,0,0,0,TRUE,TRUE,"non-gt: knitr::kable",FALSE,FALSE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",TRUE,"Convert the existing display to native gt without changing prepared input, values, units, missingness, row/column order, or caption.","QMD source location plus current targeted Nature Health HTML"
"Descriptives","supplemental-table candidate","tbl-descriptive-figure-contract","Deterministic dimensions and formats for the replicated descriptive figures.","notebooks/descriptives.qmd",516,"_build/nathealth/notebooks/descriptives.html","tbl-descriptive-figure-contract",TRUE,1,1,0,1,1,1,0,"Table 8: Deterministic dimensions and formats for the replicated descriptive figures.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,12,6,72,0,0,0,0,0,TRUE,TRUE,"non-gt: knitr::kable",FALSE,FALSE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",TRUE,"Convert the existing display to native gt without changing prepared input, values, units, missingness, row/column order, or caption.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-deviations","H01 deviations from the preregistered or otherwise expected specification.","notebooks/hypotheses/H01.qmd",1116,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-deviations",TRUE,1,1,1,0,1,1,0,"Table 1: H01 deviations from the preregistered or otherwise expected specification.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,4,23,92,0,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-metric-registry","H01 response package and fitted response families.","notebooks/hypotheses/H01.qmd",1159,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-metric-registry",TRUE,1,1,1,0,1,1,0,"Table 2: H01 response package and fitted response families.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,4,23,74,17,6,0,0,0,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
