"role","relative_path","sha256","bytes"
"result_acceptance","audit/report_harmonization/report018_h09_order56b_result_independent_acceptance.md","4748b3b18e6ca0589e00e629490cca97aa72507589be6165e1893640d08b5288",4049
"result_acceptance_manifest","audit/report_harmonization/report018_h09_order56b_result_independent_acceptance_manifest.csv","cf3e85d447a6e4523e647a29e6989d678d29bed6af7c18f11523db0208175df3",5458
"result_acceptance_checker","scripts/report_harmonization/check_report018_h09_order56b_result_acceptance.R","b0fd0d497930875605e48c9d5aa2b60c8645562ab56235fc1d43b1ee8d5c1828",14529
"result_acceptance_verification","audit/report_harmonization/report018_h09_order56b_result_independent_verification.csv","03ee9fb855190c7efcfa4a230e4c3db4a0d845dfe06f6e4b2cb84fbbbfa6928a",1226
"result_owner_completion","audit/hypotheses/H09/report018_order56b_environment_retry/ORDER56B_ACCEPTANCE.md","a44988f7e9afae9ca4064ae3f7ec971a7e48a3dc47bb5056aef6992b3b845cdd",1201
"result_owner_manifest","audit/hypotheses/H09/report018_order56b_environment_retry/order56b_evidence_manifest.csv","2b4e45d93120364f4b9589184e93d92f2e247a749226667c75ce00e46779ce2a",27931
"result_owner_verifier","audit/hypotheses/H09/report018_order56b_environment_retry/verify_order56b_h09_result.R","fbe3d789ce587f5ad3616fc9091cd4c7d8732b9da8e47632c8c76900c0dc3965",1806
"result_source","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",36970
"result_html","_build/nathealth/notebooks/hypotheses/H09.html","901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127
"companion_source","audit/hypotheses/H09/H09_analysis_preparation.qmd","7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46",47901
"stale_build_companion_source","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.qmd","4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c",43562
"historical_source_side_companion_html","audit/hypotheses/H09/H09_analysis_preparation.html","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181
"stale_companion_html","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181
"historical_source_side_figure","audit/hypotheses/H09/H09_analysis_preparation_files/figure-html/fig-h09-prep-sample-support-1.png","3116032e2bab0ad904a5cca5cb6353b5c0554e576cf076596671e31ed2caa775",129472
"companion_manifest_helper","scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","c7a320367e0115aee221a3a6ba5228a9a27ba55f734bd07881455b3159cebf56",9753
"historical_companion_test","tests/hypotheses/H09/test_h09_preparation_report.R","9a243e391de7069179fcd0ccb7cc6813a5e779b1ae1bf7fcb52706349553dfe7",12824
"historical_result_test","tests/hypotheses/H09/test_h09_stage3_reader_report.R","a0309e55d305b13be7571e404eb9650154f0ffc494c44b4512c833aa579d2bd1",17786
"current_preparation_manifest","artifacts/12_manifests/H09/H09_preparation_report_manifest.csv","8e1d633262b33df64e45f0fc3fd677f4bb1e8a69120cb76a9b152509b94f0aaf",35323
"historical_stage3_manifest","artifacts/12_manifests/H09/H09_stage3_artifacts.csv","0103aad8bf3b2424358fc139b85b95564054745b180a80d1e12c27ff72e1bef2",24678
"current_figure_manifest","artifacts/12_manifests/H09/H09_figure_manifest.csv","74c0f444f5670ec86b319f09836e2fb670ebba768f81b0bbdeeaf989159f15ce",4360
"result_refresh_script","scripts/hypotheses/H09/refresh_h09_order56_figures.R","ceaf4771c8a8e3248f690930325cd7ecc2522e2bee464a321e783395029f1ffe",19346
"result_display_test","tests/hypotheses/H09/test_h09_order56_display_repair.R","eefa3e278abdb2208181cdc1e70529dbb5295b1a58cf0d1d5b4fcbe98b925642",21431
"accepted_contract","scripts/hypotheses/H09/h09_contract.R","458dc3c08f0cd74acecc790d30226d930839b3f8f252a3018085e35611de3cd1",16374
"companion_figure_source","artifacts/06_model_data/H09/H09_model_frame_index.csv","5a0fb42c30fa03d7f86c598d74455d7fca3bd8c3d4af957ae014f870e029fadb",39838
"handoff","audit/handoffs/H09_worker_handoff.md","f6a596f9c2ac8ad295e13d2283026c5068da57af36914cccb662620da861fcf4",20162
"profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480
"semantic_wrapper","scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453
"semantic_engine","scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747
"lockfile","renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493
"phase4_manifest","audit/report_harmonization/phase4_corpus_manifest.csv","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937
"source_order","audit/report_harmonization/owner_orders/11_h09.md","40c944619286e50252bd169246ae9fc2695888851f743f39317cbb8b7db47ff5",13926
"provenance_contract","scripts/pipeline/hypothesis_preparation_provenance_contract.R","6afff45a29a0bb96a49dbf46e611fce15dfd1618b4699da40d4b1f15cdbed026",13175
"metric_registry","config/metric_display_registry.csv","c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0",3203
"site_registry","config/site_display_registry.csv","3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809",295
