logical_order,document_set,owner_task,source_hash,exact_reader_ids,link_placement,status,rationale_or_exception
00,"Shared index, supplementary information, placement, and navigation",019faf58-3df3-7383-8034-f715cdfdd154,"index bde8b03095bc4d4a47a8398f4cf565b1d1aa6f1d1dc4989b81d91b9453898022; deviation page b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d; config b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5","","Use notebooks/preregistration_deviations.qmd as the dynamic page route; add exact entry anchors only where a shared page retains a specific deviation statement.",accepted_source_only,"The shared route and all authorized inbound source links pass the 35-QMD/86-anchor contract. The index scientific/content hold otherwise remains, and the stale historical _deviations.qmd narrative stays outside the reader corpus."
02,"Preparation 02 and 06",019fbd2a-3d80-7ed0-b93e-96457a9e7f26,"02 1bc72ab367443ef48727c7069ad9f58d950b00264e7ea78b5a72d05b4a979c50; 06 2067db45d46b49bec34985f68eb9e10d5e35377548c5103218321261d50f4c5b","DEV-055; DEV-056","Preparation 02 daily-denominator paragraph -> DEV-055; Preparation 06 identifier-correction paragraph -> DEV-056.",accepted,"Both link-only follow-ups are independently accepted; all pre-existing prose and executable chunks remain byte-identical."
03,"H01 result and companion",019fb4ce-d84c-73d1-be48-dc244be5b5f0,"result 5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9; companion 962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8","DEV-001; DEV-003; DEV-004; DEV-005; DEV-006; DEV-007; DEV-008; DEV-009; DEV-017; DEV-018; DEV-049; DEV-050; DEV-052; DEV-053; DEV-054; DEV-055; DEV-057; DEV-058; IMP-001; IMP-002; IMP-003; IMP-004; IMP-010; IMP-012; IMP-014; IMP-015; IMP-016; IMP-017; IMP-018; IMP-019; IMP-020; IMP-023; IMP-024; REP-001; REP-002; REP-003","Hide the unlinked local-ID display column; add the exact literal topic-to-record list and reciprocal companion link.",accepted,"CHG-130 resolved RH-SCI-001; 40 literal links resolve to 36 unique central anchors, the corrected CSV is unchanged, H01-001 through H01-008 remain absent, and the generic navigation label no longer creates an indirect deviation mention."
04,"H02 result and companion",019fb4d0-9d07-75a2-bb73-71cd6b2d0e44,"result 56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20; companion 3d298f2f45165107bc69bbc3b35f1414a5d0cb905d8aa09c839d1e862618e808","DEV-001; REP-001; REP-002; DEV-005; DEV-010; DEV-011; DEV-012; DEV-019; DEV-021; DEV-049; DEV-050; DEV-057; IMP-002; IMP-005; IMP-012; IMP-015; IMP-017; REP-003","Add a concise literal topic-to-record list after the unchanged deviation tables; repeat only material links in the companion.",accepted,"All 18 unique anchors and 22 literal occurrences resolve; the frozen deviation tables and scientific content remain unchanged. The generic first-table caption now says changes relative to the registered analysis."
05,"H03 result and companion",019fbe52-c067-7521-b2cf-62d9398d173b,"result 84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093; companion b7671d848544228088df9bbe179a172fd7402e7fa18c3029be9b499d0ef2f760","DEV-013; DEV-014; DEV-022; DEV-023; DEV-024","Replace the single unlinked preregistration-deviation paragraph with one concise linked list matching the five direct H03 records; companion links only where it states the same changes.",accepted,"All five exact anchors and the reciprocal section link resolve; no scientific content changed. The generic companion navigation label now names the linked registration-record summary without creating an indirect deviation mention."
06,"H04 result and companion",019febf4-4868-72f3-bd97-31a85e86f8f0,"result 3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837; companion 616015f7dca943eb26a06dd9a03a0c7a646991710fa5785459a5ac3847207b77","DEV-013; DEV-014; DEV-025; DEV-026; DEV-027","Add a concise exact-record sentence beside the current model/category definitions.",accepted,"All five direct current anchors resolve; resolved-history IMP-021 was correctly omitted because the reader sources do not retain that historical screen."
07,"H05 result and companion",019fba35-6fd8-73c3-970f-e41f8b759bb6,"result b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c; companion f7d7d3ef4bdf9b29403e85592b7dd2737f7e3c9dcfdc0ff7275eeefa7735c28f","DEV-001; REP-001; REP-002; DEV-028; DEV-029; DEV-054; DEV-058; IMP-001; IMP-006","Add a concise literal mapping after the unchanged model/data clarification tables; link only entries actually described by the accepted rows.",accepted,"All nine anchors resolve. Current MDER wording agrees with DEV-058; IMP-001 and IMP-006 are visibly separated as resolved implementation history. The generic table caption and companion navigation label no longer create indirect deviation mentions."
08,"Main hourly H06 result and companion",019fbd4a-288b-7a72-ac70-2d17ba6d2f04,"result 692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459; companion 205eac1ee6d878353a2b23c3741e18ef7480765882d6e0baad0808963b3aa731","DEV-015; DEV-030; DEV-031; DEV-032","Use the concise exact-entry section in the result and repeat the same four links where the companion explains those choices.",accepted,"All four IDs occur once per document and resolve to the central anchors; the reciprocal result-section link resolves, the generic companion navigation label is no longer an indirect deviation mention, and H06_daily remains separate and deferred."
09,"H07 result and companion",019fbe52-6781-7c32-bdcf-379c88ef1e78,"result c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226; companion a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","DEV-016; DEV-033; DEV-034","Use the anchored result section and repeat each exact current-science link where the companion explains the corresponding choice.",accepted,"Each ID occurs once per document and all anchors resolve. The companion deviation heading has one explicit unique anchor. IMP-008 is absent; the accepted derivative rule and explicit no-ceiling interpretation are preserved."
10,"H08 result and companion",019fbdb6-b6a8-7e53-8e84-7a2967af9ea5,"result 1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1; companion 3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d","DEV-035; DEV-036","Use the anchored result section and repeat each exact link where the companion explains the separated estimands and complete FDR families.",accepted,"Each ID occurs once per source and all anchors resolve. DOC-001 is absent; formulas and scientific results remain unchanged."
