"historical_path","canonical_path","sha256","bytes","historical_absent","canonical_exact","status"
"audit/hypotheses/H09/H09_analysis_preparation_files/figure-html/fig-h09-prep-sample-support-1.png","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/figure-html/fig-h09-prep-sample-support-1.png","3116032e2bab0ad904a5cca5cb6353b5c0554e576cf076596671e31ed2caa775",129472,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap-138a6193a3bd40baf1e627da441a4734.min.css","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap-138a6193a3bd40baf1e627da441a4734.min.css","a20d3d44875fd0fbe2eadf1dc56573a7a052bd9bd9eddb1d4965d913189ad5ec",430952,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap-icons.css","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap-icons.css","01253947f506e030589e4f33fc7ec7ccdfb9505e2e596dedf16445f12e243c0a",99464,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap-icons.woff","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap-icons.woff","f55513b7b591cb84a3b87ff0e34ea24d4831d6fedc22e54b911ca64b5b544a15",180288,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap.min.js","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap.min.js","d2ea6c1e0cabca20d18e924b25a1cd0187c38ba7c33f60ab06e1b0402b9bcdb5",80668,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/clipboard/clipboard.min.js","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/clipboard/clipboard.min.js","e17a1d816e13c0826e0ed7febfabc3277f45571234bde0bf9120829a7169edc9",9160,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-diagram/mermaid-init.js","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-diagram/mermaid-init.js","a68a1b7deabddb8dafadefbeec74f61f0e0c549539547843a3189a2665f3ea7a",14113,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-diagram/mermaid.css","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-diagram/mermaid.css","7cde9e49bfab3857c4bd590b86c15c2f46d4b4bdc4af4c9cc3e0480cbd249562",281,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-diagram/mermaid.min.js","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-diagram/mermaid.min.js","07e37dfa97b337ccc85365d57eddf99b9706f09db3b59b260d0333b23b343c4b",2748992,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/anchor.min.js","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/anchor.min.js","69098e105d990f834cff1b7886d873444228ff63c590e5ff834d568f1115ed8b",5888,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/popper.min.js","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/popper.min.js","4d50586b184724d39ddfe0f6582861664eddd5e806e5a79e0dbaa832361414d0",20084,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css","96d688dbd4c2de66404fd9b0e75d5b62573cbece9ee7011ca24d8bce1bbe044c",3678,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/quarto.js","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/quarto.js","4ecb60f215d96b2af0fe9d985c71e32863b1c993a64725a416ac18b5991c59c6",26830,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/tabsets/tabsets.js","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/tabsets/tabsets.js","a9c226bf70e82eaf5476f619cecfb70b4446b87ce4d1634d6404b0b2ba006d15",2882,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/tippy.css","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/tippy.css","5969f497d9158d7682f8219c6f13fa67269cdf5bf50a3931d95327151dee5678",1409,TRUE,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/tippy.umd.min.js","_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation_files/libs/quarto-html/tippy.umd.min.js","41181eeec6d7ba64cb9165f0e95563e34e026bde79e7c13aeec83270429b6fae",24033,TRUE,TRUE,"PASS"
