"check","observed","expected","status","r_version","digest_version","prospective_manifest_rows"
"release pin rows","34","34","PASS","4.6.1","0.6.39",258
"release pin paths unique","34","34","PASS","4.6.1","0.6.39",258
"release pin set non-circular","0","0","PASS","4.6.1","0.6.39",258
"release pin identities","34","34","PASS","4.6.1","0.6.39",258
"result acceptance manifest","31/31","31/31","PASS","4.6.1","0.6.39",258
"R chunks","24","24","PASS","4.6.1","0.6.39",258
"R chunk parse","24","24","PASS","4.6.1","0.6.39",258
"table endpoint order","tbl-h08-prep-input-identities|tbl-h08-prep-integrity-checks|tbl-h08-prep-score-audit|tbl-h08-prep-metric-contract|tbl-h08-prep-availability|tbl-h08-prep-primary-samples|tbl-h08-prep-site-support|tbl-h08-prep-exact-formulas|tbl-h08-prep-model-settings|tbl-h08-prep-family-audit|tbl-h08-prep-response-gate|tbl-h08-prep-site-influence|tbl-h08-prep-sensitivity-map|tbl-h08-prep-boundary|tbl-h08-prep-metric011|tbl-h08-prep-module-map|tbl-h08-prep-script-map|tbl-h08-prep-output-identities|tbl-h08-prep-environment","tbl-h08-prep-input-identities|tbl-h08-prep-integrity-checks|tbl-h08-prep-score-audit|tbl-h08-prep-metric-contract|tbl-h08-prep-availability|tbl-h08-prep-primary-samples|tbl-h08-prep-site-support|tbl-h08-prep-exact-formulas|tbl-h08-prep-model-settings|tbl-h08-prep-family-audit|tbl-h08-prep-response-gate|tbl-h08-prep-site-influence|tbl-h08-prep-sensitivity-map|tbl-h08-prep-boundary|tbl-h08-prep-metric011|tbl-h08-prep-module-map|tbl-h08-prep-script-map|tbl-h08-prep-output-identities|tbl-h08-prep-environment","PASS","4.6.1","0.6.39",258
"figure endpoint order","fig-h08-prep-vlsq-distribution|fig-h08-prep-sample-support|fig-h08-prep-site-range","fig-h08-prep-vlsq-distribution|fig-h08-prep-sample-support|fig-h08-prep-site-range","PASS","4.6.1","0.6.39",258
"top-down Mermaid","1","1","PASS","4.6.1","0.6.39",258
"forbidden scientific calls","","none","PASS","4.6.1","0.6.39",258
"dynamic result links","../../../notebooks/hypotheses/H08.qmd|../../../notebooks/hypotheses/H08.qmd|../../../notebooks/hypotheses/H08.qmd#h08-preregistration-deviations","../../../notebooks/hypotheses/H08.qmd|../../../notebooks/hypotheses/H08.qmd|../../../notebooks/hypotheses/H08.qmd#h08-preregistration-deviations","PASS","4.6.1","0.6.39",258
"relative reader targets resolve","25/25","25/25","PASS","4.6.1","0.6.39",258
"profile adjacency","39/40","single adjacent entries","PASS","4.6.1","0.6.39",258
"stale build QMD","1a3c9ee012f58647556a5f397d8945e03633b7966522dc6996a23c231e30596d","source differs before helper","PASS","4.6.1","0.6.39",258
"held companion HTML","675700/95f5ba0aede0ee6cf0d1b65fcdc53623d52810f8316c846cb214b4fb34a5f135","675700/95f5ba0aede0ee6cf0d1b65fcdc53623d52810f8316c846cb214b4fb34a5f135","PASS","4.6.1","0.6.39",258
"source-side HTML absent","FALSE","FALSE","PASS","4.6.1","0.6.39",258
"current preparation manifest rows","125","125","PASS","4.6.1","0.6.39",258
"current preparation manifest uniqueness","125","125","PASS","4.6.1","0.6.39",258
"current preparation manifest exact rows","121","121","PASS","4.6.1","0.6.39",258
"current preparation manifest expected mismatches","_build/nathealth/notebooks/hypotheses/H08.html|_quarto-nathealth.yml|audit/hypotheses/H08/H08_analysis_preparation.qmd|notebooks/hypotheses/H08.qmd","_build/nathealth/notebooks/hypotheses/H08.html|_quarto-nathealth.yml|audit/hypotheses/H08/H08_analysis_preparation.qmd|notebooks/hypotheses/H08.qmd","PASS","4.6.1","0.6.39",258
"held stale HTML assertion classification","TRUE/FALSE","TRUE/FALSE","PASS","4.6.1","0.6.39",258
"helper confinement and non-circularity","3/3","3/3","PASS","4.6.1","0.6.39",258
"prospective helper inventory","258/TRUE","complete/unique","PASS","4.6.1","0.6.39",258
"frozen source-data rows","18/24/9/153/17/56","18/24/9/153/17/56","PASS","4.6.1","0.6.39",258
"FDR family preservation","8/72/0","8/72/0","PASS","4.6.1","0.6.39",258
"companion figure physical-size baseline","3/8/3","3/>=7/3","PASS","4.6.1","0.6.39",258
"scientific preservation phrases","9/9","9/9","PASS","4.6.1","0.6.39",258
"phase4 H08 historical classification","2/2","2/2","PASS","4.6.1","0.6.39",258
"build files","851","851","PASS","4.6.1","0.6.39",258
"build symlinks","0","0","PASS","4.6.1","0.6.39",258
"Quarto version","1.9.37","1.9.37","PASS","4.6.1","0.6.39",258
