"path","observed_path","role","sha256","bytes","r_version","observed_sha256","observed_bytes","status"
"durable:build_delta_postrender.csv","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H09/report018_order57c_companion_retry/build_delta_postrender.csv","durable order57c fail-closed evidence","ad566206c32747dcf8db4ebbd8fd9450799e4663ce01ff7e0e51d758baab700e",212506,"4.6.1","ad566206c32747dcf8db4ebbd8fd9450799e4663ce01ff7e0e51d758baab700e",212506,"PASS"
"durable:build_order57c_fail_closed_manifest.R","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H09/report018_order57c_companion_retry/build_order57c_fail_closed_manifest.R","durable order57c fail-closed evidence","be08b154c1dd167a2c3143e85c7ed07442205e48ebbe61cab92cca6d790eef17",4555,"4.6.1","be08b154c1dd167a2c3143e85c7ed07442205e48ebbe61cab92cca6d790eef17",4555,"PASS"
"durable:controlling_and_preservation_pins.csv","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H09/report018_order57c_companion_retry/controlling_and_preservation_pins.csv","durable order57c fail-closed evidence","425f5b2796daa7a9f3726aafa29dcb8b391e36596958c3eb9e2f7a4ac5545e08",3683,"4.6.1","425f5b2796daa7a9f3726aafa29dcb8b391e36596958c3eb9e2f7a4ac5545e08",3683,"PASS"
"durable:helper_inventory_transition.csv","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H09/report018_order57c_companion_retry/helper_inventory_transition.csv","durable order57c fail-closed evidence","da7209fbffdbad9f200d044162ec08fb66950f0c8174a0a866b03ae11b7f7f9f",4740,"4.6.1","da7209fbffdbad9f200d044162ec08fb66950f0c8174a0a866b03ae11b7f7f9f",4740,"PASS"
"durable:ORDER57C_FAIL_CLOSED.md","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H09/report018_order57c_companion_retry/ORDER57C_FAIL_CLOSED.md","durable order57c fail-closed evidence","87f92fe75d8c7378275ec5a51147ae580166f1ebc228ce7ae59f98adc09b3bd4",5195,"4.6.1","87f92fe75d8c7378275ec5a51147ae580166f1ebc228ce7ae59f98adc09b3bd4",5195,"PASS"
"durable:order57c_failure_verification.csv","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H09/report018_order57c_companion_retry/order57c_failure_verification.csv","durable order57c fail-closed evidence","7caf24d61a247522d8488c5b8b792d9c6972d5c40f9b1a2a936f635043265a87",1350,"4.6.1","7caf24d61a247522d8488c5b8b792d9c6972d5c40f9b1a2a936f635043265a87",1350,"PASS"
"durable:order57c_invocation_ledger.csv","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H09/report018_order57c_companion_retry/order57c_invocation_ledger.csv","durable order57c fail-closed evidence","31d3c84f072ae468a4c66e0ed3526c95d890dc6cc137392ac2397ea2f4121d62",547,"4.6.1","31d3c84f072ae468a4c66e0ed3526c95d890dc6cc137392ac2397ea2f4121d62",547,"PASS"
"durable:owner_pre_process_inventory.csv","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H09/report018_order57c_companion_retry/owner_pre_process_inventory.csv","durable order57c fail-closed evidence","fed05c082dc355f42d64db19508412a7d8901c4d95fdb726fb0068d52d292b98",58,"4.6.1","fed05c082dc355f42d64db19508412a7d8901c4d95fdb726fb0068d52d292b98",58,"PASS"
"durable:owner_pre_verification.csv","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H09/report018_order57c_companion_retry/owner_pre_verification.csv","durable order57c fail-closed evidence","86c010f7ecb93e483efd9bee00118152c0d59771f414e0f5099b6d76a01c1733",1319,"4.6.1","86c010f7ecb93e483efd9bee00118152c0d59771f414e0f5099b6d76a01c1733",1319,"PASS"
"durable:preparation_manifest_553_live_audit.csv","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H09/report018_order57c_companion_retry/preparation_manifest_553_live_audit.csv","durable order57c fail-closed evidence","8fc0e3dc81efe78f093eb5a0ebe9e67ca16d882e2478b5caf384bfaf5f0342e6",173815,"4.6.1","8fc0e3dc81efe78f093eb5a0ebe9e67ca16d882e2478b5caf384bfaf5f0342e6",173815,"PASS"
