"root","path","sha256","bytes","role"
"coordinator","audit/decisions/brown_adherence_ba_m_reader_label_reopening.md","946f5b0f5b816aee6f2c186512cffd838a1a9cbc39a0128a5476e16955b3c2a0",7136,"reopening_authority"
"coordinator","audit/report_harmonization/brown_ba_m_reader_label_audit.csv","0ba2818076b3df6e2d89bae00526b3922daf16b264d0f36eaa5c192d2848c725",3393,"reader_surface_audit"
"coordinator","audit/report_harmonization/brown_ba_m_reader_label_change_matrix.csv","9cea128f062270a0f9d9707395b8d96d9c3a02c1fd9226e76e52f590995b670b",7701,"exact_change_matrix"
"coordinator","audit/report_harmonization/brown_ba_m_reader_label_display_candidate_audit.csv","e6117bf607c72c6818eb4ca6079c87d1da2836c44a21ad39cb9e1f4db316cac1",2786,"display_candidate_audit"
"coordinator","scripts/report_harmonization/check_brown_ba_m_reader_label_reopening.R","c9dccc798865d5e2173956edca6257e7146c4ca0be5bd6b8af014f17d90a1d85",29887,"central_read_only_checker"
"coordinator","audit/report_harmonization/owner_orders/brown_stage3_stage4_ba_m_reader_label_source_and_display_repair.md","bbb8a2d4864de994e5bbe9ac64eeccd914cfddab7674dd8e12debca759f3942f",7513,"sealed_owner_order"
"coordinator","audit/report_harmonization/coordination_matrix.csv","63b5f469c0270cd0c8d5570591e69f1b35c0b96e291ffb28c879ada95c43a582",44977,"dispatch_time_coordination_evidence"
"coordinator","audit/decisions/brown_adherence_stage3_stage4_language_harmonization_source_independent_acceptance.md","eb7da424f42cc7e2e953c45a4e559fcff8c1375ec6e64f000520c4753580d6ca",4908,"accepted_paired_source_authority"
"coordinator","audit/decisions/brown_adherence_stage3_order50_independent_acceptance.md","cc5f751f7f86ce2ec1cd930f60bea19cca8e6bdfd2b33113c978694a6357a7be",3779,"accepted_stage3_render_authority"
"coordinator","audit/decisions/brown_adherence_stage4_order51_environment_retry_independent_acceptance.md","9890452d0d970e37ed929823939898f2d13a8fbce910ad13912bc94568c54bd0",3524,"accepted_stage4_render_authority"
"brown_worktree","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","2b3de9594e748f34753a03e8f0e8925e8aae8918d000cb2680392e98b7b49a43",55426,"current_stage3_source"
"brown_worktree","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.html","3ab7bdd7b86d513d66528b57cab1410de3c48902ce1386d17bca876d63a0926d",4825090,"frozen_stage3_html"
"brown_worktree","audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd","628b3f4dc54180180477d248cbb329a5fba6c92dc01190452efda47a80ff3475",24416,"current_stage4_source"
"brown_worktree","audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.html","54e85fe7873a8b54772341ce95241e5dc93ec7ab14aef99f0b1b72773b0f5954",4341698,"frozen_stage4_html"
"brown_worktree","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/00_build_ba_m6_display.R","b361b4492f5f2203ef117d8186163047140eab2fe6ea6d981dcd051500151404",17802,"current_figure_builder"
"brown_worktree","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/figures/main_site_free_work_forest_with_ba_m6.png","c2c58e3c8119457975d57e94b062ddba41ca828ad4326b1e1e6ac19bb7f1151a",350620,"accepted_png_preimage"
"brown_worktree","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/figures/main_site_free_work_forest_with_ba_m6.svg","126acff6b1794864fc5b5797915046f884cc0890d445adc2aa437058f6d90fe0",32059,"accepted_svg_preimage"
"brown_worktree","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/source_data/main_site_free_work_forest_with_ba_m6_source.csv","4c2d18282cd222930f91edac6606fd0a98ee313c975728a0cfe372ded565c1fc",19620,"frozen_figure_source"
"brown_worktree","audit/analyses/brown_adherence/stage4_cross_state_association/source_data/multiplicity_registry.csv","19925dc988c3dc650cea6a63b537138b1315df0d7ee44a6e76dff7ac967ee21f",1276,"frozen_multiplicity_registry"
